gene_symbol,Howard_pvalue,gene_name,Ramaker.Gene,Labonte.Gene,Ding.Gene,Match Across Studies?
CELF4,8.7511e-10,CUGBP Elav-like family member 4,CELF4,CELF4,BRUNOL4,FALSE
DLST,8.8708e-10,dihydrolipoamide S-succinyltransferase,DLST,DLST,NA,FALSE
NRG1,9.6427e-10,neuregulin 1,NRG1,NRG1,NRG1,TRUE
SGCZ,9.7578e-10,sarcoglycan zeta,SGCZ,SGCZ,unused,FALSE
OR12D3,1.202e-9,olfactory receptor family 12 subfamily D member 3,OR12D3,NA,unused,FALSE
RAB27B,1.3862e-9,"RAB27B, member RAS oncogene family",RAB27B,RAB27B,unused,FALSE
IGSF6,1.5616e-9,immunoglobulin superfamily member 6,IGSF6,IGSF6,unused,FALSE
GPC6,1.5958e-9,glypican 6,GPC6,GPC6,GPC6,TRUE
PAX6,1.6677e-9,paired box 6,PAX6,PAX6,PAX6,TRUE
SGIP1,1.6751e-9,SH3GL interacting endocytic adaptor 1,SGIP1,SGIP1,SGIP1,TRUE
KDM3A,1.7641e-9,lysine demethylase 3A,KDM3A,KDM3A,NA,FALSE
C16orf45,1.8617e-9,NA,C16orf45,C16orf45,C16orf45,FALSE
DCDC5,2.4868e-9,NA,NA,NA,NA,NA
ESR2,2.6731e-9,estrogen receptor 2,ESR2,ESR2,unused,FALSE
LRP1B,2.7253e-9,LDL receptor related protein 1B,LRP1B,LRP1B,LRP1B,TRUE
EMILIN3,3.3685e-9,elastin microfibril interfacer 3,EMILIN3,EMILIN3,EMILIN3,TRUE
TRMT61A,3.682e-9,tRNA methyltransferase 61A,TRMT61A,TRMT61A,NA,FALSE
XRCC3,3.7865e-9,X-ray repair cross complementing 3,XRCC3,XRCC3,unused,FALSE
SOX5,3.7918e-9,SRY-box transcription factor 5,SOX5,SOX5,unused,FALSE
CNTNAP5,3.889e-9,contactin associated protein family member 5,CNTNAP5,CNTNAP5,unused,FALSE
SEMA6D,4.0971e-9,semaphorin 6D,SEMA6D,SEMA6D,SEMA6D,TRUE
ANKK1,5.1735e-9,ankyrin repeat and kinase domain containing 1,ANKK1,UNUSED,unused,FALSE
ZFHX4,5.2705e-9,zinc finger homeobox 4,ZFHX4,ZFHX4,ZFHX4,TRUE
LST1,5.4242e-9,leukocyte specific transcript 1,LST1,LST1,LST1,TRUE
PRSS16,6.4148e-9,serine protease 16,PRSS16,UNUSED,unused,FALSE
TYR,6.9688e-9,tyrosinase,TYR,NA,unused,FALSE
RFWD2,7.0007e-9,NA,NA,NA,NA,NA
PQLC2L,7.0543e-9,NA,PQLC2L,PQLC2L,unused,FALSE
BTN1A1,7.3965e-9,butyrophilin subfamily 1 member A1,BTN1A1,NA,unused,FALSE
DCDC1,7.4612e-9,doublecortin domain containing 1,DCDC1,DCDC1,unused,FALSE
DCDC1,7.4612e-9,doublecortin domain containing 1,DCDC1,DCDC1,unused,FALSE
ZDHHC21,7.4997e-9,zinc finger DHHC-type palmitoyltransferase 21,ZDHHC21,ZDHHC21,ZDHHC21,TRUE
TTC12,8.3834e-9,tetratricopeptide repeat domain 12,TTC12,TTC12,unused,FALSE
SDK1,9.1946e-9,sidekick cell adhesion molecule 1,SDK1,SDK1,unused,FALSE
APOPT1,9.2647e-9,NA,APOPT1,APOPT1,NA,FALSE
VRK2,9.9697e-9,VRK serine/threonine kinase 2,VRK2,VRK2,VRK2,TRUE
CABP1,1.014e-8,calcium binding protein 1,CABP1,CABP1,CABP1,TRUE
ZKSCAN3,1.1575e-8,zinc finger with KRAB and SCAN domains 3,ZKSCAN3,ZKSCAN3,unused,FALSE
SAMD5,1.2098e-8,sterile alpha motif domain containing 5,SAMD5,SAMD5,SAMD5,TRUE
ADCK3,1.4274e-8,NA,NA,NA,NA,NA
DENND1B,1.4541e-8,DENN domain containing 1B,DENND1B,DENND1B,DENND1B,TRUE
TAOK3,1.4896e-8,TAO kinase 3,TAOK3,TAOK3,TAOK3,TRUE
HS6ST3,1.6614e-8,heparan sulfate 6-O-sulfotransferase 3,HS6ST3,HS6ST3,HS6ST3,TRUE
MYRF,1.6847e-8,myelin regulatory factor,MYRF,MYRF,C11orf9,FALSE
RTN1,1.7109e-8,reticulon 1,RTN1,RTN1,RTN1,TRUE
PSORS1C1,1.7445e-8,psoriasis susceptibility 1 candidate 1,PSORS1C1,UNUSED,unused,FALSE
CKB,1.7557e-8,creatine kinase B,CKB,CKB,CKB,TRUE
SF3B1,1.7831e-8,splicing factor 3b subunit 1,SF3B1,SF3B1,SF3B1,TRUE
FADS2,1.9429e-8,fatty acid desaturase 2,FADS2,FADS2,FADS2,TRUE
GTF2IRD1,2.1525e-8,GTF2I repeat domain containing 1,GTF2IRD1,GTF2IRD1,GTF2IRD1,TRUE
NRD1,2.6643e-8,NA,NA,NA,NA,NA
ZC3H7B,2.9108e-8,zinc finger CCCH-type containing 7B,ZC3H7B,ZC3H7B,ZC3H7B,TRUE
AREL1,3.0386e-8,apoptosis resistant E3 ubiquitin protein ligase 1,AREL1,AREL1,KIAA0317,FALSE
RANGAP1,3.067e-8,Ran GTPase activating protein 1,RANGAP1,RANGAP1,RANGAP1,TRUE
ZNF184,3.3378e-8,zinc finger protein 184,ZNF184,ZNF184,ZNF184,TRUE
ZDHHC5,3.4657e-8,zinc finger DHHC-type palmitoyltransferase 5,ZDHHC5,ZDHHC5,ZDHHC5,TRUE
HIST1H2BF,3.5839e-8,NA,HIST1H2BF,HIST1H2BF,unused,FALSE
FAM120A,3.6663e-8,family with sequence similarity 120A,FAM120A,FAM120A,FAM120A,TRUE
KIF15,3.6765e-8,kinesin family member 15,KIF15,KIF15,unused,FALSE
NKAPL,3.8381e-8,NFKB activating protein like,NKAPL,NKAPL,unused,FALSE
FCF1,4.3278e-8,FCF1 rRNA-processing protein,FCF1,FCF1,unused,FALSE
SORBS3,4.4593e-8,sorbin and SH3 domain containing 3,SORBS3,SORBS3,SORBS3,TRUE
PCDHA2,4.5699e-8,protocadherin alpha 2,PCDHA2,PCDHA2,unused,FALSE
PCDHA1,5.4415e-8,protocadherin alpha 1,PCDHA1,PCDHA1,NA,FALSE
PRR34,5.588e-8,PRR34 long non-coding RNA,PRR34,PRR34,unused,FALSE
SCYL1,6.1112e-8,SCY1 like pseudokinase 1,SCYL1,SCYL1,SCYL1,TRUE
MR1,6.2536e-8,"major histocompatibility complex, class I-related",MR1,MR1,MR1,TRUE
BTN3A3,6.5955e-8,butyrophilin subfamily 3 member A3,BTN3A3,BTN3A3,BTN3A3,TRUE
TCTEX1D1,6.7014e-8,Tctex1 domain containing 1,TCTEX1D1,TCTEX1D1,unused,FALSE
CELF2,7.5152e-8,CUGBP Elav-like family member 2,CELF2,CELF2,CUGBP2,FALSE
CTNND1,7.753e-8,catenin delta 1,CTNND1,CTNND1,CTNND1,TRUE
HSPA1A,8.134e-8,heat shock protein family A (Hsp70) member 1A,HSPA1A,HSPA1A,HSPA1A,TRUE
ASCC3,8.9097e-8,activating signal cointegrator 1 complex subunit 3,ASCC3,ASCC3,ASCC3,TRUE
ELAVL2,9.0043e-8,ELAV like RNA binding protein 2,ELAVL2,ELAVL2,ELAVL2,TRUE
HIST1H2BO,9.6505e-8,NA,HIST1H2BO,NA,unused,FALSE
RPS6KL1,1.0121e-7,ribosomal protein S6 kinase like 1,RPS6KL1,RPS6KL1,RPS6KL1,TRUE
PCDHA3,1.056e-7,protocadherin alpha 3,PCDHA3,PCDHA3,unused,FALSE
TRMT10C,1.0772e-7,"tRNA methyltransferase 10C, mitochondrial RNase P subunit",TRMT10C,TRMT10C,RG9MTD1,FALSE
ABT1,1.1641e-7,activator of basal transcription 1,ABT1,ABT1,ABT1,TRUE
SCAI,1.1937e-7,suppressor of cancer cell invasion,SCAI,SCAI,NA,FALSE
FADS1,1.2518e-7,fatty acid desaturase 1,FADS1,FADS1,FADS1,TRUE
CTTNBP2,1.261e-7,cortactin binding protein 2,CTTNBP2,CTTNBP2,CTTNBP2,TRUE
KMT2A,1.2822e-7,lysine methyltransferase 2A,KMT2A,KMT2A,MLL,FALSE
BEND4,1.2982e-7,BEN domain containing 4,BEND4,BEND4,NA,FALSE
ESRRG,1.3144e-7,estrogen related receptor gamma,ESRRG,ESRRG,ESRRG,TRUE
BAZ2B,1.3215e-7,bromodomain adjacent to zinc finger domain 2B,BAZ2B,BAZ2B,BAZ2B,TRUE
GPC5,1.3483e-7,glypican 5,GPC5,GPC5,GPC5,TRUE
IQCJ-SCHIP1,1.3667e-7,IQCJ-SCHIP1 readthrough,IQCJ-SCHIP1,IQCJ-SCHIP1,NA,FALSE
TCAIM,1.3974e-7,"T cell activation inhibitor, mitochondrial",TCAIM,TCAIM,C3orf23,FALSE
TMX2,1.4874e-7,thioredoxin related transmembrane protein 2,TMX2,TMX2,NA,FALSE
SLC17A3,1.6689e-7,solute carrier family 17 member 3,SLC17A3,NA,unused,FALSE
MED19,1.7536e-7,mediator complex subunit 19,MED19,MED19,MED19,TRUE
ZNF638,1.8282e-7,zinc finger protein 638,ZNF638,ZNF638,NA,FALSE
CDH22,1.8821e-7,cadherin 22,CDH22,CDH22,CDH22,TRUE
GRIK5,2.0552e-7,glutamate ionotropic receptor kainate type subunit 5,GRIK5,GRIK5,GRIK5,TRUE
HARS,2.1021e-7,NA,HARS,HARS,HARS,TRUE
HSPE1-MOB4,2.2874e-7,HSPE1-MOB4 readthrough,HSPE1-MOB4,NA,NA,FALSE
EP300,2.3037e-7,E1A binding protein p300,EP300,EP300,EP300,TRUE
HLA-DQB1,2.3306e-7,"major histocompatibility complex, class II, DQ beta 1",HLA-DQB1,HLA-DQB1,NA,FALSE
PCNP,2.3346e-7,PEST proteolytic signal containing nuclear protein,PCNP,PCNP,PCNP,TRUE
ZHX3,2.344e-7,zinc fingers and homeoboxes 3,ZHX3,ZHX3,ZHX3,TRUE
BCHE,2.3883e-7,butyrylcholinesterase,BCHE,BCHE,BCHE,TRUE
CRB1,2.4995e-7,crumbs cell polarity complex component 1,CRB1,CRB1,CRB1,TRUE
C3orf84,2.5336e-7,chromosome 3 open reading frame 84,C3orf84,NA,NA,FALSE
MICB,2.6156e-7,MHC class I polypeptide-related sequence B,MICB,MICB,unused,FALSE
SLC30A9,2.6189e-7,solute carrier family 30 member 9,SLC30A9,SLC30A9,SLC30A9,TRUE
MARK3,2.6768e-7,microtubule affinity regulating kinase 3,MARK3,MARK3,MARK3,TRUE
FHIT,2.736e-7,fragile histidine triad diadenosine triphosphatase,FHIT,FHIT,FHIT,TRUE
MARCH10,2.7587e-7,NA,MARCH10,MARCH10,NA,FALSE
CDK14,2.9335e-7,cyclin dependent kinase 14,CDK14,CDK14,PFTK1,FALSE
PLCG1,2.9372e-7,phospholipase C gamma 1,PLCG1,PLCG1,PLCG1,TRUE
PSORS1C2,2.9773e-7,psoriasis susceptibility 1 candidate 2,PSORS1C2,NA,unused,FALSE
AP3B1,3.1457e-7,adaptor related protein complex 3 subunit beta 1,AP3B1,AP3B1,AP3B1,TRUE
POGZ,3.1579e-7,pogo transposable element derived with ZNF domain,POGZ,POGZ,POGZ,TRUE
TRAF3,3.1737e-7,TNF receptor associated factor 3,TRAF3,TRAF3,TRAF3,TRUE
CSMD1,3.3077e-7,CUB and Sushi multiple domains 1,CSMD1,CSMD1,CSMD1,TRUE
TMEM67,3.3829e-7,transmembrane protein 67,TMEM67,TMEM67,unused,FALSE
PCDHA4,3.5744e-7,protocadherin alpha 4,PCDHA4,PCDHA4,NA,FALSE
TOPAZ1,3.5999e-7,testis and ovary specific PAZ domain containing 1,TOPAZ1,TOPAZ1,NA,FALSE
PMFBP1,3.6451e-7,polyamine modulated factor 1 binding protein 1,PMFBP1,PMFBP1,unused,FALSE
CNTN5,3.6605e-7,contactin 5,CNTN5,CNTN5,unused,FALSE
INPP4B,3.7112e-7,inositol polyphosphate-4-phosphatase type II B,INPP4B,INPP4B,INPP4B,TRUE
ZNF322,3.7203e-7,zinc finger protein 322,ZNF322,ZNF322,ZNF322A,FALSE
ASIC2,3.7694e-7,acid sensing ion channel subunit 2,ASIC2,ASIC2,unused,FALSE
PLA2R1,3.9805e-7,phospholipase A2 receptor 1,PLA2R1,PLA2R1,unused,FALSE
CHMP3,4.004e-7,charged multivesicular body protein 3,CHMP3,CHMP3,VPS24,FALSE
SOX6,4.167e-7,SRY-box transcription factor 6,SOX6,SOX6,unused,FALSE
PCDHA5,4.2994e-7,protocadherin alpha 5,PCDHA5,PCDHA5,unused,FALSE
FANCL,4.5809e-7,FA complementation group L,FANCL,FANCL,FANCL,TRUE
ZNF35,4.6635e-7,zinc finger protein 35,ZNF35,ZNF35,ZNF35,TRUE
TMEM42,4.8697e-7,transmembrane protein 42,TMEM42,TMEM42,NA,FALSE
KIAA1143,4.9967e-7,KIAA1143,KIAA1143,KIAA1143,KIAA1143,TRUE
C11orf31,5.1084e-7,NA,NA,NA,NA,NA
ACVR1B,5.281e-7,activin A receptor type 1B,ACVR1B,ACVR1B,ACVR1B,TRUE
ZNF501,5.3546e-7,zinc finger protein 501,ZNF501,ZNF501,unused,FALSE
RFTN2,5.4058e-7,raftlin family member 2,RFTN2,RFTN2,RFTN2,TRUE
TMEM258,5.5471e-7,transmembrane protein 258,TMEM258,TMEM258,C11orf10,FALSE
TAL1,5.7321e-7,"TAL bHLH transcription factor 1, erythroid differentiation factor",TAL1,TAL1,unused,FALSE
NICN1,5.9884e-7,nicolin 1,NICN1,NICN1,NICN1,TRUE
HLA-DQA1,6.0561e-7,"major histocompatibility complex, class II, DQ alpha 1",HLA-DQA1,HLA-DQA1,NA,FALSE
ACTL8,6.0564e-7,actin like 8,ACTL8,NA,unused,FALSE
MOB4,6.0861e-7,"MOB family member 4, phocein",MOB4,MOB4,NA,FALSE
CCDC36,6.5734e-7,NA,CCDC36,CCDC36,unused,FALSE
PCDHA6,6.7865e-7,protocadherin alpha 6,PCDHA6,PCDHA6,unused,FALSE
STK19,7.0576e-7,serine/threonine kinase 19,STK19,STK19,STK19,TRUE
RHOA,7.1031e-7,ras homolog family member A,RHOA,RHOA,RHOA,TRUE
MAP9,7.1456e-7,microtubule associated protein 9,MAP9,MAP9,MAP9,TRUE
FNIP2,7.2185e-7,folliculin interacting protein 2,FNIP2,FNIP2,NA,FALSE
RBMS3,7.3116e-7,RNA binding motif single stranded interacting protein 3,RBMS3,RBMS3,unused,FALSE
PLCL1,7.7924e-7,phospholipase C like 1 (inactive),PLCL1,PLCL1,PLCL1,TRUE
SLC44A4,7.984e-7,solute carrier family 44 member 4,SLC44A4,NA,unused,FALSE
LTBP3,8.1362e-7,latent transforming growth factor beta binding protein 3,LTBP3,LTBP3,LTBP3,TRUE
SPRY2,8.2557e-7,sprouty RTK signaling antagonist 2,SPRY2,SPRY2,SPRY2,TRUE
C7orf72,8.2601e-7,NA,NA,NA,NA,NA
HTT,8.8516e-7,huntingtin,HTT,HTT,NA,FALSE
UBE2M,8.888e-7,ubiquitin conjugating enzyme E2 M,UBE2M,UBE2M,UBE2M,TRUE
OTX2,8.9134e-7,orthodenticle homeobox 2,OTX2,UNUSED,unused,FALSE
BAG5,9.1836e-7,BAG cochaperone 5,BAG5,BAG5,BAG5,TRUE
CDH9,9.6964e-7,cadherin 9,CDH9,CDH9,CDH9,TRUE
LPIN3,1.0105e-6,lipin 3,LPIN3,LPIN3,unused,FALSE
EPHB2,1.0438e-6,EPH receptor B2,EPHB2,EPHB2,EPHB2,TRUE
HMGN4,1.0652e-6,high mobility group nucleosomal binding domain 4,HMGN4,HMGN4,HMGN4,TRUE
PPP6C,1.0969e-6,protein phosphatase 6 catalytic subunit,PPP6C,PPP6C,PPP6C,TRUE
NOX4,1.1568e-6,NADPH oxidase 4,NOX4,NOX4,unused,FALSE
PRR16,1.185e-6,proline rich 16,PRR16,PRR16,unused,FALSE
EXT1,1.2011e-6,exostosin glycosyltransferase 1,EXT1,EXT1,EXT1,TRUE
MGAT4C,1.2237e-6,MGAT4 family member C,MGAT4C,MGAT4C,MGAT4C,TRUE
EYS,1.3196e-6,eyes shut homolog,EYS,EYS,NA,FALSE
STAU1,1.335e-6,staufen double-stranded RNA binding protein 1,STAU1,STAU1,STAU1,TRUE
HARS2,1.3511e-6,"histidyl-tRNA synthetase 2, mitochondrial",HARS2,HARS2,HARS2,TRUE
BAD,1.3523e-6,BCL2 associated agonist of cell death,BAD,BAD,BAD,TRUE
MYBPC3,1.3929e-6,myosin binding protein C3,MYBPC3,NA,MYBPC3,FALSE
ETFDH,1.4397e-6,electron transfer flavoprotein dehydrogenase,ETFDH,ETFDH,ETFDH,TRUE
SIM1,1.468e-6,SIM bHLH transcription factor 1,SIM1,NA,unused,FALSE
FH,1.4717e-6,fumarate hydratase,FH,FH,FH,TRUE
ANKS1B,1.5029e-6,ankyrin repeat and sterile alpha motif domain containing 1B,ANKS1B,ANKS1B,ANKS1B,TRUE
ITPR3,1.551e-6,"inositol 1,4,5-trisphosphate receptor type 3",ITPR3,ITPR3,unused,FALSE
RABEPK,1.5581e-6,Rab9 effector protein with kelch motifs,RABEPK,RABEPK,RABEPK,TRUE
RHOBTB1,1.5668e-6,Rho related BTB domain containing 1,RHOBTB1,RHOBTB1,RHOBTB1,TRUE
BSN,1.6089e-6,bassoon presynaptic cytomatrix protein,BSN,BSN,BSN,TRUE
RAB3B,1.6111e-6,"RAB3B, member RAS oncogene family",RAB3B,RAB3B,RAB3B,TRUE
ZNF536,1.6243e-6,zinc finger protein 536,ZNF536,ZNF536,ZNF536,TRUE
TOP1,1.6562e-6,DNA topoisomerase I,TOP1,TOP1,TOP1,TRUE
CAMKK2,1.8833e-6,calcium/calmodulin dependent protein kinase kinase 2,CAMKK2,CAMKK2,CAMKK2,TRUE
MANEA,1.8836e-6,mannosidase endo-alpha,MANEA,MANEA,MANEA,TRUE
ARHGEF25,1.902e-6,Rho guanine nucleotide exchange factor 25,ARHGEF25,ARHGEF25,NA,FALSE
VPS41,1.9375e-6,VPS41 subunit of HOPS complex,VPS41,VPS41,VPS41,TRUE
ATP1A3,2.027e-6,ATPase Na+/K+ transporting subunit alpha 3,ATP1A3,ATP1A3,ATP1A3,TRUE
ITGB6,2.0305e-6,integrin subunit beta 6,ITGB6,UNUSED,unused,FALSE
ASXL3,2.0589e-6,ASXL transcriptional regulator 3,ASXL3,ASXL3,ASXL3,TRUE
ANKHD1,2.0799e-6,ankyrin repeat and KH domain containing 1,ANKHD1,ANKHD1,unused,FALSE
PCDHA7,2.2519e-6,protocadherin alpha 7,PCDHA7,PCDHA7,NA,FALSE
PTPRS,2.2969e-6,protein tyrosine phosphatase receptor type S,PTPRS,PTPRS,PTPRS,TRUE
CCS,2.3011e-6,copper chaperone for superoxide dismutase,CCS,CCS,CCS,TRUE
PHF2,2.3153e-6,PHD finger protein 2,PHF2,PHF2,PHF2,TRUE
IK,2.3173e-6,IK cytokine,IK,IK,IK,TRUE
KYNU,2.379e-6,kynureninase,KYNU,KYNU,unused,FALSE
PPID,2.4066e-6,peptidylprolyl isomerase D,PPID,PPID,PPID,TRUE
FAM120AOS,2.4238e-6,family with sequence similarity 120A opposite strand,FAM120AOS,FAM120AOS,NA,FALSE
ZMAT2,2.4426e-6,zinc finger matrin-type 2,ZMAT2,ZMAT2,ZMAT2,TRUE
SERPING1,2.4511e-6,serpin family G member 1,SERPING1,SERPING1,SERPING1,TRUE
USP3,2.4852e-6,ubiquitin specific peptidase 3,USP3,USP3,USP3,TRUE
CACNA2D1,2.5214e-6,calcium voltage-gated channel auxiliary subunit alpha2delta 1,CACNA2D1,CACNA2D1,CACNA2D1,TRUE
ANKHD1-EIF4EBP3,2.5326e-6,ANKHD1-EIF4EBP3 readthrough,ANKHD1-EIF4EBP3,ANKHD1-EIF4EBP3,NA,FALSE
GINM1,2.537e-6,glycoprotein integral membrane 1,GINM1,GINM1,C6orf72,FALSE
C1QTNF7,2.6076e-6,C1q and TNF related 7,C1QTNF7,C1QTNF7,unused,FALSE
MIER1,2.6167e-6,MIER1 transcriptional regulator,MIER1,MIER1,unused,FALSE
SLC4A9,2.6577e-6,solute carrier family 4 member 9,SLC4A9,SLC4A9,unused,FALSE
PSEN2,2.6771e-6,presenilin 2,PSEN2,PSEN2,PSEN2,TRUE
