gene_symbol,Previous_Symbol,Updated_Symbol,Labonte_genes,Ding_genes,Ramaker_genes
EEF1E1,AIMP3,EEF1E1,EEF1E1,EEF1E1,EEF1E1
EEF1E1,P18,EEF1E1,EEF1E1,EEF1E1,EEF1E1
SLC35B3,C6orf196,SLC35B3,SLC35B3,SLC35B3,SLC35B3
SLC35B3,CGI-19,SLC35B3,SLC35B3,SLC35B3,SLC35B3
SLC35B3,PAPST2,SLC35B3,SLC35B3,SLC35B3,SLC35B3
OFCC1,MRDS1,OFCC1,NA,NA,OFCC1
OFCC1,OPO,OFCC1,NA,NA,OFCC1
TFAP2A,AP-2,TFAP2A,NA,NA,TFAP2A
TFAP2A,AP-2ALPHA,TFAP2A,NA,NA,TFAP2A
TFAP2A,AP2TF,TFAP2A,NA,NA,TFAP2A
TFAP2A,BOFS,TFAP2A,NA,NA,TFAP2A
TFAP2A,TFAP2,TFAP2A,NA,NA,TFAP2A
GCNT2,CCAT,GCNT2,GCNT2,NA,GCNT2
GCNT2,CTRCT13,GCNT2,GCNT2,NA,GCNT2
GCNT2,GCNT2C,GCNT2,GCNT2,NA,GCNT2
GCNT2,GCNT5,GCNT2,GCNT2,NA,GCNT2
GCNT2,IGNT,GCNT2,GCNT2,NA,GCNT2
GCNT2,II,GCNT2,GCNT2,NA,GCNT2
GCNT2,NACGT1,GCNT2,GCNT2,NA,GCNT2
GCNT2,NAGCT1,GCNT2,GCNT2,NA,GCNT2
GCNT2,ULG3,GCNT2,GCNT2,NA,GCNT2
GCNT2,BA360O19.2,GCNT2,GCNT2,NA,GCNT2
GCNT2,BA421M1.1,GCNT2,GCNT2,NA,GCNT2
C6orf52,-,C6orf52,C6orf52,C6orf52,C6orf52
PAK1IP1,MAK11,PAK1IP1,PAK1IP1,PAK1IP1,PAK1IP1
PAK1IP1,PIP1,PAK1IP1,PAK1IP1,PAK1IP1,PAK1IP1
PAK1IP1,WDR84,PAK1IP1,PAK1IP1,PAK1IP1,PAK1IP1
PAK1IP1,BA421M1.5,PAK1IP1,PAK1IP1,PAK1IP1,PAK1IP1
PAK1IP1,HPIP1,PAK1IP1,PAK1IP1,PAK1IP1,PAK1IP1
TMEM14C,C6orf53,TMEM14C,TMEM14C,TMEM14C,TMEM14C
TMEM14C,HSPC194,TMEM14C,TMEM14C,TMEM14C,TMEM14C
TMEM14C,MSTP073,TMEM14C,TMEM14C,TMEM14C,TMEM14C
TMEM14C,NET26,TMEM14C,TMEM14C,TMEM14C,TMEM14C
TMEM14C,BA421M1.6,TMEM14C,TMEM14C,TMEM14C,TMEM14C
TMEM14B,-,TMEM14B,TMEM14B,TMEM14B,TMEM14B
MAK,RP62,MAK,NA,NA,MAK
GCM2,GCMB,GCM2,NA,NA,GCM2
GCM2,HRPT4,GCM2,NA,NA,GCM2
GCM2,HGCMB,GCM2,NA,NA,GCM2
SYCP2L,C6orf177,SYCP2L,SYCP2L,NA,SYCP2L
SYCP2L,NO145,SYCP2L,SYCP2L,NA,SYCP2L
SYCP2L,DJ62D2.1,SYCP2L,SYCP2L,NA,SYCP2L
ELOVL2,SSC2,ELOVL2,ELOVL2,ELOVL2,ELOVL2
SMIM13,C6orf228,SMIM13,SMIM13,NA,SMIM13
ERVFRD-1,ERVFRDE1,ERVFRD-1,NA,NA,ERVFRD-1
ERVFRD-1,GLLL6191,ERVFRD-1,NA,NA,ERVFRD-1
ERVFRD-1,HERV-FRD,ERVFRD-1,NA,NA,ERVFRD-1
ERVFRD-1,HERV-W/FRD,ERVFRD-1,NA,NA,ERVFRD-1
ERVFRD-1,UNQ6191,ERVFRD-1,NA,NA,ERVFRD-1
ERVFRD-1,ENVFRD,ERVFRD-1,NA,NA,ERVFRD-1
NEDD9,CAS-L,NEDD9,NEDD9,NEDD9,NEDD9
NEDD9,CAS2,NEDD9,NEDD9,NEDD9,NEDD9
NEDD9,CASL,NEDD9,NEDD9,NEDD9,NEDD9
NEDD9,CASS2,NEDD9,NEDD9,NEDD9,NEDD9
NEDD9,HEF1,NEDD9,NEDD9,NEDD9,NEDD9
TMEM170B,-,TMEM170B,TMEM170B,NA,TMEM170B
ADTRP,AIG1L,ADTRP,ADTRP,NA,ADTRP
ADTRP,C6orf105,ADTRP,ADTRP,NA,ADTRP
ADTRP,DJ413H6.1,ADTRP,ADTRP,NA,ADTRP
HIVEP1,CIRIP,HIVEP1,HIVEP1,HIVEP1,HIVEP1
HIVEP1,CRYBP1,HIVEP1,HIVEP1,HIVEP1,HIVEP1
HIVEP1,GAAP,HIVEP1,HIVEP1,HIVEP1,HIVEP1
HIVEP1,MBP-1,HIVEP1,HIVEP1,HIVEP1,HIVEP1
HIVEP1,PRDII-BF1,HIVEP1,HIVEP1,HIVEP1,HIVEP1
HIVEP1,SCHNURRI-1,HIVEP1,HIVEP1,HIVEP1,HIVEP1
HIVEP1,ZAS1,HIVEP1,HIVEP1,HIVEP1,HIVEP1
HIVEP1,ZNF40,HIVEP1,HIVEP1,HIVEP1,HIVEP1
HIVEP1,ZNF40A,HIVEP1,HIVEP1,HIVEP1,HIVEP1
EDN1,ARCND3,EDN1,EDN1,EDN1,EDN1
EDN1,ET1,EDN1,EDN1,EDN1,EDN1
EDN1,HDLCQ7,EDN1,EDN1,EDN1,EDN1
EDN1,PPET1,EDN1,EDN1,EDN1,EDN1
EDN1,QME,EDN1,EDN1,EDN1,EDN1
PHACTR1,EIEE70,PHACTR1,PHACTR1,PHACTR1,PHACTR1
PHACTR1,RPEL,PHACTR1,PHACTR1,PHACTR1,PHACTR1
PHACTR1,RPEL1,PHACTR1,PHACTR1,PHACTR1,PHACTR1
PHACTR1,DJ257A7.2,PHACTR1,PHACTR1,PHACTR1,PHACTR1
LOC100130357,-,LOC100130357,NA,NA,NA
TBC1D7,MGCPH,TBC1D7,TBC1D7,TBC1D7,TBC1D7
TBC1D7,PIG51,TBC1D7,TBC1D7,TBC1D7,TBC1D7
TBC1D7,TBC7,TBC1D7,TBC1D7,TBC1D7,TBC1D7
GFOD1,ADG-90,GFOD1,GFOD1,GFOD1,GFOD1
GFOD1,C6orf114,GFOD1,GFOD1,GFOD1,GFOD1
SIRT5,SIR2L5,SIRT5,SIRT5,SIRT5,SIRT5
NOL7,C6orf90,NOL7,NOL7,NOL7,NOL7
NOL7,PQBP3,NOL7,NOL7,NOL7,NOL7
NOL7,RARG-1,NOL7,NOL7,NOL7,NOL7
NOL7,DJ223E5.2,NOL7,NOL7,NOL7,NOL7
RANBP9,BPM-L,RANBP9,RANBP9,RANBP9,RANBP9
RANBP9,BPM90,RANBP9,RANBP9,RANBP9,RANBP9
RANBP9,RANBPM,RANBP9,RANBP9,RANBP9,RANBP9
RANBP9,RANBP7,RANBP9,RANBP9,RANBP9,RANBP9
MCUR1,C6orf79,MCUR1,MCUR1,CCDC90A,MCUR1
MCUR1,CCDC90A,MCUR1,MCUR1,CCDC90A,MCUR1
MCUR1,FMP32,MCUR1,MCUR1,CCDC90A,MCUR1
RNF182,-,RNF182,RNF182,NA,RNF182
CD83,BL11,CD83,CD83,CD83,CD83
CD83,HB15,CD83,CD83,CD83,CD83
JARID2,JMJ,JARID2,JARID2,JARID2,JARID2
DTNBP1,BLOC1S8,DTNBP1,DTNBP1,DTNBP1,DTNBP1
DTNBP1,DBND,DTNBP1,DTNBP1,DTNBP1,DTNBP1
DTNBP1,HPS7,DTNBP1,DTNBP1,DTNBP1,DTNBP1
DTNBP1,MY031,DTNBP1,DTNBP1,DTNBP1,DTNBP1
DTNBP1,SDY,DTNBP1,DTNBP1,DTNBP1,DTNBP1
MYLIP,IDOL,MYLIP,MYLIP,MYLIP,MYLIP
MYLIP,MIR,MYLIP,MYLIP,MYLIP,MYLIP
GMPR,GMPR 1,GMPR,GMPR,NA,GMPR
GMPR,GMPR1,GMPR,GMPR,NA,GMPR
ATXN1,ATX1,ATXN1,ATXN1,ATXN1,ATXN1
ATXN1,D6S504E,ATXN1,ATXN1,ATXN1,ATXN1
ATXN1,SCA1,ATXN1,ATXN1,ATXN1,ATXN1
LOC101928433,NA,LOC101928433,NA,NA,NA
STMND1,-,STMND1,NA,NA,STMND1
RBM24,RNPC6,RBM24,RBM24,RBM24,RBM24
RBM24,DJ259A10.1,RBM24,RBM24,RBM24,RBM24
CAP2,-,CAP2,CAP2,CAP2,CAP2
FAM8A1,AHCP,FAM8A1,FAM8A1,FAM8A1,FAM8A1
NUP153,HNUP153,NUP153,NUP153,NUP153,NUP153
NUP153,N153,NUP153,NUP153,NUP153,NUP153
KIF13A,RBKIN,KIF13A,KIF13A,NA,KIF13A
KIF13A,BA500C11.2,KIF13A,KIF13A,NA,KIF13A
NHLRC1,EPM2A,NHLRC1,NHLRC1,EPM2A,NHLRC1
NHLRC1,EPM2B,NHLRC1,NHLRC1,EPM2A,NHLRC1
NHLRC1,MALIN,NHLRC1,NHLRC1,EPM2A,NHLRC1
NHLRC1,BA204B7.2,NHLRC1,NHLRC1,EPM2A,NHLRC1
TPMT,TPMTD,TPMT,TPMT,TPMT,TPMT
KDM1B,AOF1,KDM1B,KDM1B,NA,KDM1B
KDM1B,C6orf193,KDM1B,KDM1B,NA,KDM1B
KDM1B,LSD2,KDM1B,KDM1B,NA,KDM1B
DEK,D6S231E,DEK,DEK,DEK,DEK
RNF144B,IBRDC2,RNF144B,RNF144B,NA,RNF144B
RNF144B,PIR2,RNF144B,RNF144B,NA,RNF144B
RNF144B,BA528A10.3,RNF144B,RNF144B,NA,RNF144B
RNF144B,P53RFP,RNF144B,RNF144B,NA,RNF144B
ID4,IDB4,ID4,ID4,ID4,ID4
ID4,BHLHB27,ID4,ID4,ID4,ID4
MBOAT1,LPEAT1,MBOAT1,MBOAT1,NA,MBOAT1
MBOAT1,LPLAT,MBOAT1,MBOAT1,NA,MBOAT1
MBOAT1,LPLAT 1,MBOAT1,MBOAT1,NA,MBOAT1
MBOAT1,LPSAT,MBOAT1,MBOAT1,NA,MBOAT1
MBOAT1,OACT1,MBOAT1,MBOAT1,NA,MBOAT1
MBOAT1,DJ434O11.1,MBOAT1,MBOAT1,NA,MBOAT1
E2F3,E2F-3,E2F3,E2F3,E2F3,E2F3
CDKAL1,-,CDKAL1,CDKAL1,NA,CDKAL1
SOX4,CSS10,SOX4,SOX4,SOX4,SOX4
SOX4,EVI16,SOX4,SOX4,SOX4,SOX4
PRL,GHA1,PRL,NA,NA,PRL
HDGFL1,HRP-1,HDGFL1,NA,HDGFL1,HDGFL1
HDGFL1,HDGFRP1,HDGFL1,NA,HDGFL1,HDGFL1
HDGFL1,PWWP1,HDGFL1,NA,HDGFL1,HDGFL1
HDGFL1,DJ309H15.1,HDGFL1,NA,HDGFL1,HDGFL1
NRSN1,VMP,NRSN1,NRSN1,NRSN1,NRSN1
NRSN1,P24,NRSN1,NRSN1,NRSN1,NRSN1
DCDC2,DCDC2A,DCDC2,DCDC2,NA,DCDC2
DCDC2,DFNB66,DCDC2,DCDC2,NA,DCDC2
DCDC2,NPHP19,DCDC2,DCDC2,NA,DCDC2
DCDC2,NSC,DCDC2,DCDC2,NA,DCDC2
DCDC2,RU2,DCDC2,DCDC2,NA,DCDC2
DCDC2,RU2S,DCDC2,DCDC2,NA,DCDC2
KAAG1,RU2AS,KAAG1,NA,NA,KAAG1
MRS2,HPT,MRS2,MRS2,MRS2,MRS2
MRS2,MRS2L,MRS2,MRS2,MRS2,MRS2
GPLD1,GPIPLD,GPLD1,GPLD1,NA,GPLD1
GPLD1,GPIPLDM,GPLD1,GPLD1,NA,GPLD1
GPLD1,PIGPLD,GPLD1,GPLD1,NA,GPLD1
GPLD1,PIGPLD1,GPLD1,GPLD1,NA,GPLD1
GPLD1,PLD,GPLD1,GPLD1,NA,GPLD1
ALDH5A1,SSADH,ALDH5A1,ALDH5A1,ALDH5A1,ALDH5A1
ALDH5A1,SSDH,ALDH5A1,ALDH5A1,ALDH5A1,ALDH5A1
KIAA0319,AAVR,KIAA0319,KIAA0319,KIAA0319,KIAA0319
KIAA0319,DYLX2,KIAA0319,KIAA0319,KIAA0319,KIAA0319
KIAA0319,DYX2,KIAA0319,KIAA0319,KIAA0319,KIAA0319
KIAA0319,NMIG,KIAA0319,KIAA0319,KIAA0319,KIAA0319
TDP2,AD022,TDP2,TDP2,TTRAP,TDP2
TDP2,EAP2,TDP2,TDP2,TTRAP,TDP2
TDP2,EAPII,TDP2,TDP2,TTRAP,TDP2
TDP2,TTRAP,TDP2,TDP2,TTRAP,TDP2
TDP2,DJ30M3.3,TDP2,TDP2,TTRAP,TDP2
TDP2,HTDP2,TDP2,TDP2,TTRAP,TDP2
ACOT13,HT012,ACOT13,ACOT13,NA,ACOT13
ACOT13,PNAS-27,ACOT13,ACOT13,NA,ACOT13
ACOT13,THEM2,ACOT13,ACOT13,NA,ACOT13
C6orf62,NBLA00237,C6orf62,C6orf62,C6orf62,C6orf62
C6orf62,XTP12,C6orf62,C6orf62,C6orf62,C6orf62
C6orf62,DJ30M3.2,C6orf62,C6orf62,C6orf62,C6orf62
GMNN,GEM,GMNN,GMNN,GMNN,GMNN
GMNN,MGORS6,GMNN,GMNN,GMNN,GMNN
C6orf229,NA,ARMH2,NA,NA,C6orf229
FAM65B,NA,RIPOR2,RIPOR2,NA,FAM65B
LRRC16A,NA,CARMIL1,CARMIL1,NA,LRRC16A
SCGN,CALBL,SCGN,NA,NA,SCGN
SCGN,DJ501N12.8,SCGN,NA,NA,SCGN
SCGN,SECRET,SCGN,NA,NA,SCGN
SCGN,SEGN,SCGN,NA,NA,SCGN
SCGN,SETAGIN,SCGN,NA,NA,SCGN
HIST1H2AA,NA,H2AC1,NA,NA,HIST1H2AA
HIST1H2BA,NA,H2BC1,NA,NA,HIST1H2BA
SLC17A4,KAIA2138,SLC17A4,NA,NA,SLC17A4
SLC17A1,NAPI-1,SLC17A1,NA,NA,SLC17A1
SLC17A1,NPT-1,SLC17A1,NA,NA,SLC17A1
SLC17A1,NPT1,SLC17A1,NA,NA,SLC17A1
SLC17A3,GOUT4,SLC17A3,NA,NA,SLC17A3
SLC17A3,NPT4,SLC17A3,NA,NA,SLC17A3
SLC17A3,UAQTL4,SLC17A3,NA,NA,SLC17A3
SLC17A2,NPT3,SLC17A2,NA,NA,SLC17A2
SLC17A2,NPT3,SLC34A1,NA,NA,SLC17A2
TRIM38,RNF15,TRIM38,TRIM38,NA,TRIM38
TRIM38,RORET,TRIM38,TRIM38,NA,TRIM38
HIST1H1A,NA,H1-1,HIST1H1A,NA,HIST1H1A
HIST1H3A,NA,H3C1,HIST1H3A,NA,HIST1H3A
HIST1H4A,NA,H4C1,HIST1H4A,NA,HIST1H4A
HIST1H4B,NA,H4C2,HIST1H4B,NA,HIST1H4B
HIST1H3B,NA,H3C2,NA,NA,HIST1H3B
HIST1H2AB,NA,H2AC4,HIST1H2AB,NA,HIST1H2AB
HIST1H3C,NA,H3C3,NA,NA,HIST1H3C
HIST1H1C,NA,H1-2,HIST1H1C,HIST1H1C,HIST1H1C
HFE,HFE1,HFE,HFE,NA,HFE
HFE,HH,HFE,HFE,NA,HFE
HFE,HLA-H,HFE,HFE,NA,HFE
HFE,MVCD7,HFE,HFE,NA,HFE
HFE,TFQTL2,HFE,HFE,NA,HFE
HIST1H4C,NA,H4C3,HIST1H4C,HIST1H4C,HIST1H4C
HIST1H1T,NA,H1-6,NA,NA,HIST1H1T
HIST1H2BC,NA,H2BC4,HIST1H2BC,NA,HIST1H2BC
HIST1H2AC,NA,H2AC6,HIST1H2AC,HIST1H2AC,HIST1H2AC
HIST1H1E,NA,H1-4,HIST1H1E,NA,HIST1H1E
HIST1H2BD,NA,H2BC5,HIST1H2BD,HIST1H2BD,HIST1H2BD
HIST1H2BE,NA,H2BC6,HIST1H2BE,NA,HIST1H2BE
HIST1H3D,NA,H3C4,HIST1H3D,NA,HIST1H3D
HIST1H2AD,NA,H2AC7,NA,NA,HIST1H2AD
HIST1H2BF,NA,H2BC7,HIST1H2BF,NA,HIST1H2BF
HIST1H4E,NA,H4C5,HIST1H4E,NA,HIST1H4E
HIST1H2BG,NA,H2BC8,HIST1H2BG,NA,HIST1H2BG
HIST1H3E,NA,H3C6,HIST1H3E,NA,HIST1H3E
HIST1H1D,NA,H1-3,HIST1H1D,NA,HIST1H1D
HIST1H4F,NA,H4C6,HIST1H4F,NA,HIST1H4F
HIST1H4G,NA,H4C7,NA,NA,HIST1H4G
HIST1H2BH,NA,H2BC9,NA,NA,HIST1H2BH
HIST1H3G,NA,H3C8,NA,NA,HIST1H3G
HIST1H4H,NA,H4C8,HIST1H4H,NA,HIST1H4H
BTN3A2,BT3.2,BTN3A2,BTN3A2,BTN3A2,BTN3A2
BTN3A2,BTF4,BTN3A2,BTN3A2,BTN3A2,BTN3A2
BTN3A2,BTN3.2,BTN3A2,BTN3A2,BTN3A2,BTN3A2
BTN3A2,CD277,BTN3A2,BTN3A2,BTN3A2,BTN3A2
BTN2A2,BT2.2,BTN2A2,BTN2A2,NA,BTN2A2
BTN2A2,BTF2,BTN2A2,BTN2A2,NA,BTN2A2
BTN2A2,BTN2.2,BTN2A2,BTN2A2,NA,BTN2A2
BTN3A1,BT3.1,BTN3A1,BTN3A1,BTN3A1,BTN3A1
BTN3A1,BTF5,BTN3A1,BTN3A1,BTN3A1,BTN3A1
BTN3A1,BTN3.1,BTN3A1,BTN3A1,BTN3A1,BTN3A1
BTN3A1,CD277,BTN3A1,BTN3A1,BTN3A1,BTN3A1
BTN3A3,BTF3,BTN3A3,BTN3A3,BTN3A3,BTN3A3
BTN3A3,BTN3.3,BTN3A3,BTN3A3,BTN3A3,BTN3A3
BTN2A1,BK14H9.1,BTN2A1,BTN2A1,BTN2A1,BTN2A1
BTN2A1,BT2.1,BTN2A1,BTN2A1,BTN2A1,BTN2A1
BTN2A1,BTF1,BTN2A1,BTN2A1,BTN2A1,BTN2A1
BTN2A1,BTN2.1,BTN2A1,BTN2A1,BTN2A1,BTN2A1
BTN2A1,DJ3E1.1,BTN2A1,BTN2A1,BTN2A1,BTN2A1
BTN1A1,BT,BTN1A1,NA,NA,BTN1A1
BTN1A1,BTN,BTN1A1,NA,NA,BTN1A1
BTN1A1,BTN1,BTN1A1,NA,NA,BTN1A1
HMGN4,HMG17L3,HMGN4,HMGN4,HMGN4,HMGN4
HMGN4,NHC,HMGN4,HMGN4,HMGN4,HMGN4
ABT1,ESF2,ABT1,ABT1,ABT1,ABT1
ABT1,HABT1,ABT1,ABT1,ABT1,ABT1
ZNF322,HCG12,ZNF322,ZNF322,ZNF322A,ZNF322
ZNF322,HCG12,ZNF322P1,ZNF322,ZNF322A,ZNF322
ZNF322,ZNF322A,ZNF322,ZNF322,ZNF322A,ZNF322
ZNF322,ZNF322A,ZNF322P1,ZNF322,ZNF322A,ZNF322
ZNF322,ZNF388,ZNF322,ZNF322,ZNF322A,ZNF322
ZNF322,ZNF388,ZNF322P1,ZNF322,ZNF322A,ZNF322
ZNF322,ZNF489,ZNF322,ZNF322,ZNF322A,ZNF322
ZNF322,ZNF489,ZNF322P1,ZNF322,ZNF322A,ZNF322
HIST1H2BJ,NA,H2BC11,HIST1H2BJ,NA,HIST1H2BJ
HIST1H2BK,NA,H2BC12,HIST1H2BK,HIST1H2BK,HIST1H2BK
HIST1H4I,NA,H4C9,HIST1H4I,NA,HIST1H4I
HIST1H2AH,NA,H2AC12,HIST1H2AH,NA,HIST1H2AH
PRSS16,TSSP,PRSS16,NA,NA,PRSS16
POM121L2,POM121-L,POM121L2,NA,NA,POM121L2
POM121L2,POM121L,POM121L2,NA,NA,POM121L2
ZNF391,DJ153G14.3,ZNF391,ZNF391,NA,ZNF391
ZNF184,KR-ZNF3,ZNF184,ZNF184,ZNF184,ZNF184
HIST1H2BL,NA,H2BC13,HIST1H2BL,NA,HIST1H2BL
HIST1H3H,NA,H3C10,NA,NA,HIST1H3H
HIST1H2BM,NA,H2BC14,HIST1H2BM,NA,HIST1H2BM
HIST1H4J,NA,H4C11,HIST1H4J,NA,HIST1H4J
HIST1H2BN,NA,H2BC15,HIST1H2BN,NA,HIST1H2BN
HIST1H2AL,NA,H2AC16,NA,NA,HIST1H2AL
HIST1H1B,NA,H1-5,NA,NA,HIST1H1B
HIST1H3I,NA,H3C11,NA,NA,HIST1H3I
HIST1H4L,NA,H4C13,NA,NA,HIST1H4L
HIST1H3J,NA,H3C12,NA,NA,HIST1H3J
HIST1H2BO,NA,H2BC17,NA,NA,HIST1H2BO
OR2B2,OR2B2Q,OR2B2,NA,NA,OR2B2
OR2B2,OR2B9,OR2B2,NA,NA,OR2B2
OR2B2,OR6-1,OR2B2,NA,NA,OR2B2
OR2B2,DJ193B12.4,OR2B2,NA,NA,OR2B2
OR2B2,HS6M1-10,OR2B2,NA,NA,OR2B2
OR2B6,OR2B1,OR2B6,NA,NA,OR2B6
OR2B6,OR2B1P,OR2B6,NA,NA,OR2B6
OR2B6,OR2B5,OR2B6,NA,NA,OR2B6
OR2B6,OR2B6P,OR2B6,NA,NA,OR2B6
OR2B6,OR5-40,OR2B6,NA,NA,OR2B6
OR2B6,OR5-41,OR2B6,NA,NA,OR2B6
OR2B6,OR6-31,OR2B6,NA,NA,OR2B6
OR2B6,DJ408B20.2,OR2B6,NA,NA,OR2B6
ZNF165,CT53,ZNF165,ZNF165,NA,ZNF165
ZNF165,LD65,ZNF165,ZNF165,NA,ZNF165
ZNF165,ZSCAN7,ZNF165,ZNF165,NA,ZNF165
ZSCAN16,ZNF392,ZSCAN16,ZSCAN16,NA,ZSCAN16
ZSCAN16,ZNF435,ZSCAN16,ZSCAN16,NA,ZSCAN16
ZSCAN16,DJ265C24.3,ZSCAN16,ZSCAN16,NA,ZSCAN16
ZKSCAN8,LD5-1,ZKSCAN8,ZKSCAN8,NA,ZKSCAN8
ZKSCAN8,ZNF192,ZKSCAN8,ZKSCAN8,NA,ZKSCAN8
ZKSCAN8,ZSCAN40,ZKSCAN8,ZKSCAN8,NA,ZKSCAN8
ZSCAN9,PRD51,ZSCAN9,ZSCAN9,NA,ZSCAN9
ZSCAN9,ZNF193,ZSCAN9,ZSCAN9,NA,ZSCAN9
ZKSCAN4,P1P373C6,ZKSCAN4,ZKSCAN4,ZKSCAN4,ZKSCAN4
ZKSCAN4,ZNF307,ZKSCAN4,ZKSCAN4,ZKSCAN4,ZKSCAN4
ZKSCAN4,ZNF427,ZKSCAN4,ZKSCAN4,ZKSCAN4,ZKSCAN4
ZKSCAN4,ZSCAN36,ZKSCAN4,ZKSCAN4,ZKSCAN4,ZKSCAN4
NKAPL,C6orf194,NKAPL,NKAPL,NA,NKAPL
NKAPL,BA424I5.1,NKAPL,NKAPL,NA,NKAPL
ZSCAN26,SRE-ZBP,ZSCAN26,ZSCAN26,ZNF187,ZSCAN26
ZSCAN26,SREZBP,ZSCAN26,ZSCAN26,ZNF187,ZSCAN26
ZSCAN26,ZNF187,ZSCAN26,ZSCAN26,ZNF187,ZSCAN26
PGBD1,HUCEP-4,PGBD1,PGBD1,PGBD1,PGBD1
PGBD1,SCAND4,PGBD1,PGBD1,PGBD1,PGBD1
PGBD1,DJ874C20.4,PGBD1,PGBD1,PGBD1,PGBD1
ZSCAN31,ZNF20-LP,ZSCAN31,ZSCAN31,ZNF323,ZSCAN31
ZSCAN31,ZNF310P,ZSCAN31,ZSCAN31,ZNF323,ZSCAN31
ZSCAN31,ZNF323,ZSCAN31,ZSCAN31,ZNF323,ZSCAN31
ZKSCAN3,ZF47,ZKSCAN3,ZKSCAN3,NA,ZKSCAN3
ZKSCAN3,ZFP306,ZKSCAN3,ZKSCAN3,NA,ZKSCAN3
ZKSCAN3,ZNF306,ZKSCAN3,ZKSCAN3,NA,ZKSCAN3
ZKSCAN3,ZNF309,ZKSCAN3,ZKSCAN3,NA,ZKSCAN3
ZKSCAN3,ZSCAN13,ZKSCAN3,ZKSCAN3,NA,ZKSCAN3
ZKSCAN3,ZSCAN35,ZKSCAN3,ZKSCAN3,NA,ZKSCAN3
ZKSCAN3,ZFP47,ZKSCAN3,ZKSCAN3,NA,ZKSCAN3
ZKSCAN3,DJ874C20.1,ZKSCAN3,ZKSCAN3,NA,ZKSCAN3
ZKSCAN3,DJ874C20.1.,ZKSCAN3,ZKSCAN3,NA,ZKSCAN3
ZKSCAN3,ZFP-47,ZKSCAN3,ZKSCAN3,NA,ZKSCAN3
ZSCAN12,ZFP96,ZSCAN12,ZSCAN12,NA,ZSCAN12
ZSCAN12,ZNF29K1,ZSCAN12,ZSCAN12,NA,ZSCAN12
ZSCAN12,ZNF305,ZSCAN12,ZSCAN12,NA,ZSCAN12
ZSCAN12,ZNF96,ZSCAN12,ZSCAN12,NA,ZSCAN12
ZSCAN12,DJ29K1.2,ZSCAN12,ZSCAN12,NA,ZSCAN12
ZSCAN23,ZNF390,ZSCAN23,ZSCAN23,NA,ZSCAN23
ZSCAN23,ZNF453,ZSCAN23,ZSCAN23,NA,ZSCAN23
ZSCAN23,DJ29K1.3,ZSCAN23,ZSCAN23,NA,ZSCAN23
ZSCAN23,DJ29K1.3.1,ZSCAN23,ZSCAN23,NA,ZSCAN23
GPX6,GPX5P,GPX6,NA,NA,GPX6
GPX6,GPXP3,GPX6,NA,NA,GPX6
GPX6,GPX-6,GPX6,NA,NA,GPX6
GPX6,GSHPX-6,GPX6,NA,NA,GPX6
GPX6,DJ1186N24,GPX6,NA,NA,GPX6
GPX6,DJ1186N24.1,GPX6,NA,NA,GPX6
GPX5,EGLP,GPX5,NA,NA,GPX5
GPX5,GPX-5,GPX5,NA,NA,GPX5
GPX5,GSHPX-5,GPX5,NA,NA,GPX5
GPX5,HEL-S-75P,GPX5,NA,NA,GPX5
ZBED9,BUSTER4,ZBED9,ZBED9,NA,ZBED9
ZBED9,SCAND3,ZBED9,ZBED9,NA,ZBED9
ZBED9,ZFP38-L,ZBED9,ZBED9,NA,ZBED9
ZBED9,ZNF305P2,ZBED9,ZBED9,NA,ZBED9
ZBED9,ZNF452,ZBED9,ZBED9,NA,ZBED9
ZBED9,DJ1186N24.3,ZBED9,ZBED9,NA,ZBED9
TRIM27,RFP,TRIM27,TRIM27,TRIM27,TRIM27
TRIM27,RNF76,TRIM27,TRIM27,TRIM27,TRIM27
ZNF311,ZF31,ZNF311,ZNF311,NA,ZNF311
OR12D3,HS6M1-27,OR12D3,NA,NA,OR12D3
OR12D2,DJ994E9.8,OR12D2,NA,NA,OR12D2
OR12D2,HS6M1-20,OR12D2,NA,NA,OR12D2
OR11A1,6M1-18,OR11A1,NA,NA,OR11A1
OR11A1,OR11A2,OR11A1,NA,NA,OR11A1
OR11A1,DJ994E9.6,OR11A1,NA,NA,OR11A1
OR11A1,HS6M1-18,OR11A1,NA,NA,OR11A1
OR10C1,OR10C1P,OR10C1,NA,NA,OR10C1
OR10C1,OR10C2,OR10C1,NA,NA,OR10C1
OR10C1,OR6-31,OR10C1,NA,NA,OR10C1
OR10C1,HS6M1-17,OR10C1,NA,NA,OR10C1
OR2H1,6M1-16,OR2H1,NA,NA,OR2H1
OR2H1,HS6M1-16,OR2H1,NA,NA,OR2H1
OR2H1,OLFR42A-9004-14,OR2H1,NA,NA,OR2H1
OR2H1,OLFR42A-9004.14/9026.2,OR2H1,NA,NA,OR2H1
OR2H1,OR2H6,OR2H1,NA,NA,OR2H1
OR2H1,OR2H8,OR2H1,NA,NA,OR2H1
OR2H1,OR6-2,OR2H1,NA,NA,OR2H1
OR2H1,DJ994E9.4,OR2H1,NA,NA,OR2H1
UBD,FAT10,UBD,GABBR1,GABBR1,UBD
UBD,GABBR1,UBD,GABBR1,GABBR1,UBD
UBD,UBD-3,UBD,GABBR1,GABBR1,UBD
OR2H2,FAT11,OR2H2,NA,NA,OR2H2
OR2H2,OLFR2,OR2H2,NA,NA,OR2H2
