gene_symbol,Howard_pvalue,gene_name,RamakerDir,LabonteDir,DingDir,meta_meta_higher_in_MDD_pvalue,meta_meta_lower_in_MDD_pvalue,meta_direction,meta_p,minp,Corrected_p,Bonferroni_meta_p,Spearman_corr,Spearman_p
ZMAT2,2.4426e-6,zinc finger matrin-type 2,--,++++,+-,0.033502012881900106,0.7170357959956043,+,0.067,0.024694837,18,1,-0.0363,0.554
ZHX3,2.344e-7,zinc fingers and homeoboxes 3,++,----,--,0.9573049551939626,0.03484708707383351,-,0.0697,0.017922949,18.7,1,-0.0363,0.554
RTN1,1.7109e-8,reticulon 1,++,-+++,++,0.03680156826736134,0.9985359647900376,+,0.0736,0.174708052,19.8,1,-0.0363,0.554
IGSF6,1.5616e-9,immunoglobulin superfamily member 6,-+,++++,Filtered_Out,0.03748503030261309,0.9531321708149159,+,0.075,0.044139254,20.2,1,-0.0363,0.554
TMEM42,4.8697e-7,transmembrane protein 42,--,++++,NA,0.03812199840576648,0.8958376963312538,+,0.0762,0.025265131,20.5,1,-0.0363,0.554
PCDH9,3.5314e-10,protocadherin 9,++,++--,++,0.03927200342710744,0.6334485768715696,+,0.0785,0.03246236,21.1,1,-0.0363,0.554
GPC5,1.3483e-7,glypican 5,++,++--,+-,0.783415705766032,0.03942138326899615,-,0.0788,0.026207921,21.2,1,-0.0363,0.554
RBFOX1,6.0939e-17,RNA binding fox-1 homolog 1,++,-+++,+-,0.03943441222153172,0.9110053000977121,+,0.0789,0.039337266,21.2,1,-0.0363,0.554
ZNF165,1.9547e-12,zinc finger protein 165,-+,+-++,Filtered_Out,0.03946970800295338,0.9067917342607423,+,0.0789,0.058737725,21.2,1,-0.0363,0.554
PLA2R1,3.9805e-7,phospholipase A2 receptor 1,-+,+-+-,Filtered_Out,0.8663008848410594,0.04031767963657016,-,0.0806,0.001639741,21.7,1,-0.0363,0.554
NEGR1,3.5506e-15,neuronal growth regulator 1,++,-++-,++,0.04051593661941401,0.9591643894449113,+,0.081,0.12303118,21.8,1,-0.0363,0.554
LTBP3,8.1362e-7,latent transforming growth factor beta binding protein 3,--,---+,--,0.8921059414790407,0.040687450613508584,-,0.0814,0.038740918,21.9,1,-0.0363,0.554
EXT1,1.2011e-6,exostosin glycosyltransferase 1,++,--+-,+-,0.30689707885514067,0.041243241274153415,-,0.0825,0.012901779,22.2,1,-0.0363,0.554
BTN1A1,7.3965e-9,butyrophilin subfamily 1 member A1,++,NA,Filtered_Out,0.04151480470214189,0.9584851952978581,+,0.083,0.08302960940428378,22.3,1,-0.0363,0.554
FADS1,1.2518e-7,fatty acid desaturase 1,+-,+---,--,0.9623379717767057,0.04220489708050952,-,0.0844,0.08903169,22.7,1,-0.0363,0.554
ZFHX4,5.2705e-9,zinc finger homeobox 4,--,+---,-+,0.6061837758564211,0.04281934978412502,-,0.0856,0.025295412,23,1,-0.0363,0.554
ASXL3,2.0589e-6,ASXL transcriptional regulator 3,++,--+-,+-,0.3273433978567214,0.0448749050930177,-,0.0897,0.002256491,24.1,1,-0.0363,0.554
HIST1H3I,6.378e-10,NA,++,NA,Filtered_Out,0.04609924190470913,0.9539007580952908,+,0.0922,0.09219848380941827,24.8,1,-0.0363,0.554
TAOK3,1.4896e-8,TAO kinase 3,--,----,+-,0.9345702787121535,0.048335566544953204,-,0.0967,0.027363222,26,1,-0.0363,0.554
POGZ,3.1579e-7,pogo transposable element derived with ZNF domain,++,+---,-+,0.8315123515862323,0.04911461939550835,-,0.0982,0.023772846,26.4,1,-0.0363,0.554
RANGAP1,3.067e-8,Ran GTPase activating protein 1,--,++++,+-,0.049893065751566025,0.3129406106368368,+,0.0998,0.026652004,26.8,1,-0.0363,0.554
HSPA1A,8.134e-8,heat shock protein family A (Hsp70) member 1A,--,+---,-+,0.9876153770946128,0.051503682874289504,-,0.103,0.074291107,27.7,1,-0.0363,0.554
RHOBTB1,1.5668e-6,Rho related BTB domain containing 1,-+,+++-,--,0.7147667864451402,0.05182038180486277,-,0.104,0.003864981,27.9,1,-0.0363,0.554
C7orf72,8.2601e-7,NA,NA,NA,NA,0.9481396549203759,0.051860345079624115,-,0.104,0.10372069015924823,27.9,1,-0.0363,0.554
FADS2,1.9429e-8,fatty acid desaturase 2,+-,+---,--,0.9658363480184777,0.05312356125399529,-,0.106,0.098074813,28.6,1,-0.0363,0.554
ASCC3,8.9097e-8,activating signal cointegrator 1 complex subunit 3,++,+---,++,0.057118675452818186,0.42104083983454144,+,0.114,0.032353184,30.7,1,-0.0363,0.554
ZKSCAN4,7.5101e-14,zinc finger with KRAB and SCAN domains 4,++,+-++,-+,0.057574459127853264,0.8923540990895118,+,0.115,0.019839794,31,1,-0.0363,0.554
STAU1,1.335e-6,staufen double-stranded RNA binding protein 1,+-,++++,++,0.0597471680166702,0.9644582679623384,+,0.119,0.100044126,32.1,1,-0.0363,0.554
HIST1H2BN,6.9e-17,NA,--,--++,Filtered_Out,0.05980166536589516,0.6993517943197742,+,0.12,0.005129735,32.2,1,-0.0363,0.554
HARS,2.1021e-7,NA,--,+-++,++,0.061257867006753286,0.8066709737074969,+,0.123,0.076324813,33,1,-0.0363,0.554
BEND4,1.2982e-7,BEN domain containing 4,++,-+--,NA,0.7266042666360355,0.06129290610935747,-,0.123,0.003839183,33,1,-0.0363,0.554
SOX6,4.167e-7,SRY-box transcription factor 6,++,+---,Filtered_Out,0.6817610805268511,0.06130205287118417,-,0.123,0.068401631,33,1,-0.0363,0.554
FNIP2,7.2185e-7,folliculin interacting protein 2,++,-++-,NA,0.06424562872462095,0.9307410792676699,+,0.128,0.076117337,34.6,1,-0.0363,0.554
NICN1,5.9884e-7,nicolin 1,--,--++,+-,0.640028676916202,0.06530654016956962,-,0.131,0.06256078913085429,35.1,1,-0.0363,0.554
HLA-B,4.3342e-11,"major histocompatibility complex, class I, B",--,++++,--,0.06561070038444017,0.0711478543874356,+,0.131,0.005617603,35.3,1,-0.0363,0.554
PTPRS,2.2969e-6,protein tyrosine phosphatase receptor type S,+-,-+++,--,0.834587746220555,0.06582328557855148,-,0.132,0.066284551,35.4,1,-0.0363,0.554
ACTL8,6.0564e-7,actin like 8,--,NA,Filtered_Out,0.9334720453419412,0.06652795465805884,-,0.133,0.1330559093161177,35.8,1,-0.0363,0.554
ZKSCAN8,2.0086e-13,zinc finger with KRAB and SCAN domains 8,++,+---,Filtered_Out,0.7769176043523186,0.06928873108519856,-,0.139,0.037615917,37.3,1,-0.0363,0.554
TMEM161B,4.7697e-14,transmembrane protein 161B,++,+---,-+,0.43035375559722694,0.0692969002047024,-,0.139,0.022864065,37.3,1,-0.0363,0.554
HIST1H2BL,3.5412e-12,NA,++,+++-,NA,0.07061034927825323,0.8462202676543942,+,0.141,0.05860949,38,1,-0.0363,0.554
NOX4,1.1568e-6,NADPH oxidase 4,+-,+++-,Filtered_Out,0.0707953118410355,0.5634606359740915,+,0.142,0.036399682,38.1,1,-0.0363,0.554
ZSCAN9,8.2837e-13,zinc finger and SCAN domain containing 9,++,+-++,Filtered_Out,0.0713670876985601,0.9548853910863286,+,0.143,0.077200373,38.4,1,-0.0363,0.554
PPP6C,1.0969e-6,protein phosphatase 6 catalytic subunit,++,++--,--,0.2630307981273504,0.07232311688368515,-,0.145,0.005052903,38.9,1,-0.0363,0.554
YLPM1,3.52e-10,YLP motif containing 1,+-,---+,NA,0.9868503122238684,0.07243949584543341,-,0.145,0.130352745,39,1,-0.0363,0.554
CDH22,1.8821e-7,cadherin 22,--,--++,+-,0.1987170598215168,0.07438703339442432,-,0.149,0.012128409,40,1,-0.0363,0.554
CSMD1,3.3077e-7,CUB and Sushi multiple domains 1,++,--+-,--,0.6318964407285731,0.07511608092050506,-,0.15,0.048293727,40.4,1,-0.0363,0.554
FAM120A,3.6663e-8,family with sequence similarity 120A,-+,--+-,++,0.07856557150344122,0.25316575662158736,+,0.157,0.037996298,42.3,1,-0.0363,0.554
ZDHHC21,7.4997e-9,zinc finger DHHC-type palmitoyltransferase 21,++,----,-+,0.3116134378504549,0.0795342228050844,-,0.159,0.016135211,42.8,1,-0.0363,0.554
RPS6KL1,1.0121e-7,ribosomal protein S6 kinase like 1,--,--++,--,0.3892299903583114,0.07970142604595538,-,0.159,0.008210583,42.9,1,-0.0363,0.554
TOPAZ1,3.5999e-7,testis and ovary specific PAZ domain containing 1,++,++-+,NA,0.08046437482434658,0.9569186076780111,+,0.161,0.101384327,43.3,1,-0.0363,0.554
DENND1A,1.5351e-14,DENN domain containing 1A,-+,--++,+-,0.36568396081276855,0.08402869021885609,-,0.168,0.007451938,45.2,1,-0.0363,0.554
PHF2,2.3153e-6,PHD finger protein 2,+-,+-++,+-,0.08772644629385346,0.42310065666213326,+,0.175,0.014930993,47.2,1,-0.0363,0.554
CHMP3,4.004e-7,charged multivesicular body protein 3,++,++++,++,0.09092698903950318,0.9828299886423427,+,0.182,0.059323219,48.9,1,-0.0363,0.554
KYNU,2.379e-6,kynureninase,-+,++++,Filtered_Out,0.0929018859004212,0.8780817800830116,+,0.186,0.067972359,50,1,-0.0363,0.554
TYR,6.9688e-9,tyrosinase,-+,NA,Filtered_Out,0.09311391517678157,0.9068860848232184,+,0.186,0.18622783035356313,50.1,1,-0.0363,0.554
MEF2C,1.5763e-12,myocyte enhancer factor 2C,++,-++-,+-,0.0943081332190269,0.9142188671407205,+,0.189,0.082265069,50.7,1,-0.0363,0.554
DENND1B,1.4541e-8,DENN domain containing 1B,++,+---,-+,0.7651521740429656,0.09437167735289158,-,0.189,0.097467592,50.8,1,-0.0363,0.554
TMX2,1.4874e-7,thioredoxin related transmembrane protein 2,+-,++-+,NA,0.09573099708279584,0.8093734193020493,+,0.191,0.035077353,51.5,1,-0.0363,0.554
RFTN2,5.4058e-7,raftlin family member 2,--,++--,-+,0.5546704233666433,0.09805480914911102,-,0.196,0.039374167,52.8,1,-0.0363,0.554
TMEM67,3.3829e-7,transmembrane protein 67,-+,+---,Filtered_Out,0.5745921474177338,0.09899146334241349,-,0.198,0.075254204,53.3,1,-0.0363,0.554
MARCH10,2.7587e-7,NA,+-,++-+,NA,0.651991274255115,0.09944981181776694,-,0.199,0.05027855622847544,53.5,1,-0.0363,0.554
RABEPK,1.5581e-6,Rab9 effector protein with kelch motifs,--,+-++,--,0.3796772869025356,0.10067447729955964,-,0.201,0.08361995,54.2,1,-0.0363,0.554
KIAA1143,4.9967e-7,KIAA1143,+-,+++-,-+,0.10111738186753327,0.5389690755954564,+,0.202,0.044607779,54.4,1,-0.0363,0.554
PCDHA7,2.2519e-6,protocadherin alpha 7,++,--+-,NA,0.10259245617125058,0.7113925281040547,+,0.205,0.053543035311651846,55.2,1,-0.0363,0.554
CHD6,1.3778e-10,chromodomain helicase DNA binding protein 6,++,++++,+-,0.10262619454664174,0.8715713315276172,+,0.205,0.01774485,55.2,1,-0.0363,0.554
ACVR1B,5.281e-7,activin A receptor type 1B,++,-+++,+-,0.10463743260505279,0.7520582493389223,+,0.209,0.081818165,56.3,1,-0.0363,0.554
ASTN2,2.1867e-11,astrotactin 2,+-,+-++,++,0.10696542808175005,0.7290054877759546,+,0.214,0.059048783,57.5,1,-0.0363,0.554
CDH9,9.6964e-7,cadherin 9,++,--+-,++,0.10858505555921412,0.8538838530063271,+,0.217,0.085973372,58.4,1,-0.0363,0.554
OR12D3,1.202e-9,olfactory receptor family 12 subfamily D member 3,++,NA,Filtered_Out,0.10924114091868715,0.8907588590813129,+,0.218,0.2184822818373743,58.8,1,-0.0363,0.554
IQCJ-SCHIP1,1.3667e-7,IQCJ-SCHIP1 readthrough,-+,--+-,NA,0.6617791880549397,0.11038619112865698,-,0.221,0.058049956,59.4,1,-0.0363,0.554
FCF1,4.3278e-8,FCF1 rRNA-processing protein,--,++++,Filtered_Out,0.11587621405148597,0.866671509439656,+,0.232,0.050312127,62.3,1,-0.0363,0.554
ZDHHC5,3.4657e-8,zinc finger DHHC-type palmitoyltransferase 5,+-,--+-,+-,0.9788576602210111,0.11718634007070608,-,0.234,0.141815918,63,1,-0.0363,0.554
PRR34,5.588e-8,PRR34 long non-coding RNA,--,++++,Filtered_Out,0.2770833334921432,0.12051088342461759,-,0.241,0.031395216,64.8,1,-0.0363,0.554
SLC30A9,2.6189e-7,solute carrier family 30 member 9,++,+++-,+-,0.12066362895976346,0.9825953671164795,+,0.241,0.090189898,64.9,1,-0.0363,0.554
ANKS1B,1.5029e-6,ankyrin repeat and sterile alpha motif domain containing 1B,++,----,-+,0.12092827718230724,0.20928041336470415,+,0.242,0.03551685141941831,65.1,1,-0.0363,0.554
ZNF322,3.7203e-7,zinc finger protein 322,++,++++,+-,0.12181971638281548,0.9161446904619608,+,0.244,0.051821349,65.5,1,-0.0363,0.554
B3GALTL,5.6953e-12,NA,NA,NA,NA,0.9426950018760105,0.12255474686188218,-,0.245,0.229519101,65.9,1,-0.0363,0.554
MAP9,7.1456e-7,microtubule associated protein 9,++,-+--,++,0.12355791986935613,0.9487523866748717,+,0.247,0.132613256,66.5,1,-0.0363,0.554
LRFN5,2.0372e-12,leucine rich repeat and fibronectin type III domain containing 5,++,----,+-,0.5299453613420273,0.12435473417478048,-,0.249,0.070474956,66.9,1,-0.0363,0.554
ZNF501,5.3546e-7,zinc finger protein 501,+-,+---,Filtered_Out,0.8638460001950508,0.12645581425266098,-,0.253,0.064347101,68,1,-0.0363,0.554
MR1,6.2536e-8,"major histocompatibility complex, class I-related",++,++--,-+,0.12867408139076875,0.4111585840042048,+,0.257,0.079773764,69.2,1,-0.0363,0.554
CAMKK2,1.8833e-6,calcium/calmodulin dependent protein kinase kinase 2,+-,-+++,+-,0.13043041417068035,0.4983336194938923,+,0.261,0.036785527,70.2,1,-0.0363,0.554
RAB27B,1.3862e-9,"RAB27B, member RAS oncogene family",++,-++-,Filtered_Out,0.1332857154239386,0.9561060423035328,+,0.267,0.146900342,71.7,1,-0.0363,0.554
AP3B1,3.1457e-7,adaptor related protein complex 3 subunit beta 1,+-,++-+,-+,0.368372989013277,0.1395828985131768,-,0.279,0.028254588,75.1,1,-0.0363,0.554
OLFM4,1.6990999999999999e-12,olfactomedin 4,++,-++-,Filtered_Out,0.14618833300256934,0.914120905835726,+,0.292,0.055471378,78.6,1,-0.0363,0.554
FH,1.4717e-6,fumarate hydratase,+-,+++-,+-,0.14753844224209714,0.863794292723249,+,0.295,0.101872141,79.4,1,-0.0363,0.554
STK19,7.0576e-7,serine/threonine kinase 19,--,---+,--,0.9551705527913067,0.15544612478472425,-,0.311,0.065077223,83.6,1,-0.0363,0.554
EPHB2,1.0438e-6,EPH receptor B2,--,-++-,+-,0.6086157420580791,0.15619739530763022,-,0.312,0.064315918,84,1,-0.0363,0.554
ZNF184,3.3378e-8,zinc finger protein 184,+-,--+-,+-,0.2670124908790442,0.1572327285276761,-,0.314,0.016954203,84.6,1,-0.0363,0.554
ZKSCAN3,1.1575e-8,zinc finger with KRAB and SCAN domains 3,++,+-++,Filtered_Out,0.1613121954358118,0.9247483168982815,+,0.323,0.064166739,86.8,1,-0.0363,0.554
TAL1,5.7321e-7,"TAL bHLH transcription factor 1, erythroid differentiation factor",-+,++++,Filtered_Out,0.16602861811598565,0.8016287946598959,+,0.332,0.089993282,89.3,1,-0.0363,0.554
ETFDH,1.4397e-6,electron transfer flavoprotein dehydrogenase,++,+---,-+,0.1805285071029767,0.3962829413953671,+,0.361,0.043701404,97.1,1,-0.0363,0.554
PCDHA2,4.5699e-8,protocadherin alpha 2,++,+--+,Filtered_Out,0.18256546146179886,0.5004486420222929,+,0.365,0.056372446,98.2,1,-0.0363,0.554
SERPING1,2.4511e-6,serpin family G member 1,++,-+++,++,0.18261282623567482,0.9880212306270368,+,0.365,0.149488185005626,98.2,1,-0.0363,0.554
ZNF445,3.5346e-10,zinc finger protein 445,+-,+---,++,0.39833197905326134,0.1844201765702726,-,0.369,0.031563494,99.2,1,-0.0363,0.554
PCDHA3,1.056e-7,protocadherin alpha 3,++,+++-,Filtered_Out,0.1852718878218977,0.7502345622501342,+,0.371,0.160689465,99.7,1,-0.0363,0.554
SGIP1,1.6751e-9,SH3GL interacting endocytic adaptor 1,++,----,+-,0.7478005764178195,0.19021485669265747,-,0.38,0.037415407,102,1,-0.0363,0.554
EMILIN3,3.3685e-9,elastin microfibril interfacer 3,++,--++,+-,0.19221337360606466,0.8780132485609133,+,0.384,0.045639419,103,1,-0.0363,0.554
PCNP,2.3346e-7,PEST proteolytic signal containing nuclear protein,++,-+-+,--,0.3309815196443581,0.1927605936205914,-,0.386,0.041608989,104,1,-0.0363,0.554
ESRRG,1.3144e-7,estrogen related receptor gamma,+-,----,+-,0.9206523499173013,0.1974912430925001,-,0.395,0.112173408,106,1,-0.0363,0.554
ERBB4,1.2937e-13,erb-b2 receptor tyrosine kinase 4,++,----,-+,0.3798058873824853,0.19949966062905317,-,0.399,0.04356264,107,1,-0.0363,0.554
GTF2IRD1,2.1525e-8,GTF2I repeat domain containing 1,--,--++,+-,0.7941366079462433,0.19966773576579486,-,0.399,0.055660393,107,1,-0.0363,0.554
PROX2,7.5512e-10,prospero homeobox 2,-+,Missing_P_Values,NA,0.2000483808313276,0.7999516191686724,+,0.4,0.4000967616626552,108,1,-0.0363,0.554
HIST1H4L,6.1718e-11,NA,--,NA,Filtered_Out,0.7998988883354186,0.2001011116645814,-,0.4,0.4002022233291628,108,1,-0.0363,0.554
CACNA2D1,2.5214e-6,calcium voltage-gated channel auxiliary subunit alpha2delta 1,++,-++-,-+,0.20049824196818244,0.6372860723507311,+,0.401,0.080146995,108,1,-0.0363,0.554
CACNA1E,2.8558e-11,calcium voltage-gated channel subunit alpha1 E,++,-+--,-+,0.2006544150693211,0.475295375134503,+,0.401,0.022634176,108,1,-0.0363,0.554
AREL1,3.0386e-8,apoptosis resistant E3 ubiquitin protein ligase 1,++,----,+-,0.8864592733357632,0.20183276905433667,-,0.404,0.180425,109,1,-0.0363,0.554
PGBD1,5.9534e-14,piggyBac transposable element derived 1,+-,+---,-+,0.20860109149877706,0.7785270707895747,+,0.417,0.026048315,112,1,-0.0363,0.554
MOB4,6.0861e-7,"MOB family member 4, phocein",++,++--,NA,0.21191403159906733,0.9083348223322527,+,0.424,0.160268535,114,1,-0.0363,0.554
CTNNA3,1.6889e-10,catenin alpha 3,--,++-+,Filtered_Out,0.33685212027174993,0.2121921023899018,-,0.424,0.064947203,114,1,-0.0363,0.554
DCC,2.5652e-14,DCC netrin 1 receptor,++,----,Filtered_Out,0.5606155425918793,0.2140041158517827,-,0.428,0.088550193,115,1,-0.0363,0.554
ZNF536,1.6243e-6,zinc finger protein 536,--,++-+,-+,0.48881587293807777,0.2153385945049555,-,0.431,0.11595103,116,1,-0.0363,0.554
ANKK1,5.1735e-9,ankyrin repeat and kinase domain containing 1,--,Missing_P_Values,Filtered_Out,0.7830777252692818,0.21692227473071823,-,0.434,0.43384454946143647,117,1,-0.0363,0.554
PSORS1C2,2.9773e-7,psoriasis susceptibility 1 candidate 2,--,NA,Filtered_Out,0.7813511748735884,0.21864882512641154,-,0.437,0.4372976502528231,118,1,-0.0363,0.554
TCAIM,1.3974e-7,"T cell activation inhibitor, mitochondrial",++,+---,++,0.22347022417539175,0.41195321394311346,+,0.447,0.059828325,120,1,-0.0363,0.554
PRR16,1.185e-6,proline rich 16,+-,+---,Filtered_Out,0.929914394187539,0.22503986757937655,-,0.45,0.135622246,121,1,-0.0363,0.554
SLC4A9,2.6577e-6,solute carrier family 4 member 9,--,+--+,Filtered_Out,0.5488813985837957,0.22594427639919556,-,0.452,0.071057266,122,1,-0.0363,0.554
TCTEX1D1,6.7014e-8,Tctex1 domain containing 1,++,+---,Filtered_Out,0.22778475143010882,0.5187475246581326,+,0.456,0.14825554132623822,123,1,-0.0363,0.554
CABP1,1.014e-8,calcium binding protein 1,--,--++,+-,0.22930521157481706,0.49695947038967136,+,0.459,0.031571787,123,1,-0.0363,0.554
ZNF660,2.4714e-10,zinc finger protein 660,++,----,Filtered_Out,0.6456631500360962,0.23008954605713153,-,0.46,0.128692417,124,1,-0.0363,0.554
EP300,2.3037e-7,E1A binding protein p300,++,---+,+-,0.8922535224143289,0.23250103687787893,-,0.465,0.238945934,125,1,-0.0363,0.554
ESR2,2.6731e-9,estrogen receptor 2,++,++--,Filtered_Out,0.23889474902897181,0.8082656683736402,+,0.478,0.261188279,129,1,-0.0363,0.554
CTTNBP2,1.261e-7,cortactin binding protein 2,++,+---,-+,0.576613366425997,0.24587564812174836,-,0.492,0.092887547,132,1,-0.0363,0.554
