gene_symbol,Howard_pvalue,gene_name.x,RamakerDir,LabonteDir,DingDir,meta_meta_higher_in_MDD_pvalue,meta_meta_lower_in_MDD_pvalue,meta_direction,meta_p,signed_log_p,minp,min_p_study,Corrected_p,Bonferroni_meta_p,Spearman_corr,Spearman_p,DE_Prior_Rank,gene_name.y,brain_region,region_location,slim_region_location,cns_cell_type_taxon,cns_cell_type_taxon_zscore,cell_type_taxon,cell_type_taxon_zscore
ARHGEF25,1.902e-06,Rho guanine nucleotide exchange factor 25,+-++,+---++++,Not_Available,0.00202120802627725,0.94647330642184,+,0.00404,2.39335899017008,0.00242952,Labonte,1.09,1,-0.0416,0.496,0.292,Rho guanine nucleotide exchange factor 25,VI paravermis,VI paravermis <  VI  <  Posterior Lobe  <  cerebellar hemispheres  <  cerebellar cortex  <  cerebellum  <  metencephalon  < gray matter,VI paravermis <  VI  <  Posterior Lobe  <  cerebellar hemispheres  < cerebellar cortex,Telencephalon projecting excitatory neurons,3.01383272171116,Peripheral sensory neurofilament neurons,2.86825843392875
C16orf45,1.8617e-09,Not_Available,+-+-,---+++++,--++-+,0.0021886074934173,0.722103065624748,+,0.00438,2.35880212249746,0.000958753,Labonte,1.18,1,-0.0416,0.496,0.584,Not_Available,dentate gyrus,dentate gyrus <  hippocampal formation  <  limbic lobe  <  cerebral cortex  <  telencephalon  < gray matter,dentate gyrus <  hippocampal formation  < limbic lobe,Cholinergic and monoaminergic neurons,2.84324967130112,Cholinergic and monoaminergic neurons,2.31248811378339
SOX5,3.7918e-09,SRY-box transcription factor 5,++-+,--------,Filtered_Out,0.978846087164455,0.00232069939815421,-,0.00464,2.33335111471061,0.040092956,Labonte,1.25,1,-0.0416,0.496,0.654,SRY-box transcription factor 5,central glial substance,central glial substance <  myelencephalon  < gray matter,central glial substance <  myelencephalon  < gray matter,Telencephalon projecting excitatory neurons,3.00573519111546,Telencephalon projecting excitatory neurons,3.23285881562931
CTNND1,7.753e-08,catenin delta 1,-+-+,----+-+-,----+-,0.962358468310127,0.00239159859870603,-,0.00478,2.3202817140512,0.001687079,Ding,1.29,1,-0.0416,0.496,Not_Available,catenin delta 1,central glial substance,central glial substance <  myelencephalon  < gray matter,central glial substance <  myelencephalon  < gray matter,Pericytes,3.14436050159554,Peripheral sensory non-peptidergic neurons,3.04181193393998
KDM3A,1.7641e-09,lysine demethylase 3A,-++-,+++-----,Not_Available,0.901479705876983,0.00252764020363303,-,0.00506,2.29625474987499,0.005746965,Labonte,1.36,1,-0.0416,0.496,0.316,lysine demethylase 3A,globus pallidus internal segment,globus pallidus internal segment <  globus pallidus  <  basal ganglia  <  cerebral nuclei  <  telencephalon  < gray matter,globus pallidus internal segment <  globus pallidus  < basal ganglia,Ependymal cells,3.98128113265545,Ependymal cells,3.59907718503345
MYRF,1.6847e-08,myelin regulatory factor,-+--,-+++---+,---+-+,0.361172898562982,0.00283492568747575,-,0.00567,2.24642832521369,0.006945037,Not_Available,1.53,1,-0.0416,0.496,0.801,myelin regulatory factor,corpus callosum,corpus callosum <  telencephalic commissures  <  telencephalic white matter  < white matter,corpus callosum < telencephalic commissures,Oligodendrocytes,5.5090002866212,Oligodendrocytes,6.01454099812577
PCDH9,3.5314e-10,protocadherin 9,-+-+,-+++----,-+++++,0.00380151105655154,0.0907696265932349,+,0.0076,2.11901374638229,0.004988764,Ding,2.05,1,-0.0416,0.496,0.94,protocadherin 9,corpus callosum,corpus callosum <  telencephalic commissures  <  telencephalic white matter  < white matter,corpus callosum < telencephalic commissures,Oligodendrocytes,3.70140632202485,Oligodendrocytes,3.84835815637682
RERE,1.4299e-11,arginine-glutamic acid dipeptide repeats,++++,----++++,+++-+-,0.00499058085752127,0.151552358628388,+,0.00998,2.00081890790398,0.00061161,Ding,2.68,1,-0.0416,0.496,0.53,arginine-glutamic acid dipeptide repeats,V lateral hemisphere,V lateral hemisphere <  V  <  Anterior Lobe  <  cerebellar hemispheres  <  cerebellar cortex  <  cerebellum  <  metencephalon  < gray matter,V lateral hemisphere <  V  <  Anterior Lobe  <  cerebellar hemispheres  < cerebellar cortex,Cholinergic and monoaminergic neurons,4.01214474981103,Sympathetic cholinergic neurons,2.97042255583533
SCYL1,6.1112e-08,SCY1 like pseudokinase 1,+++-,++++++++,-++---,0.00550958458628508,0.654760230861098,+,0.011,1.95785114934727,0.001734011,Labonte,2.96,1,-0.0416,0.496,0.207,SCY1 like pseudokinase 1,dorsal lateral geniculate nucleus,dorsal lateral geniculate nucleus <  dorsal lateral geneiculate nucleus  <  dorsal thalamus  <  thalamus  <  diencephalon  < gray matter,dorsal lateral geniculate nucleus <  dorsal lateral geneiculate nucleus  < dorsal thalamus,Hindbrain neurons,3.09359475213099,Sympathetic cholinergic neurons,2.96996663171946
YLPM1,3.52e-10,YLP motif containing 1,-+--,----+--+,Not_Available,0.994928448163197,0.00586760845105757,-,0.0117,1.93050887892255,0.001039362,Labonte,3.16,1,-0.0416,0.496,0.157,YLP motif containing 1,dentate gyrus,dentate gyrus <  hippocampal formation  <  limbic lobe  <  cerebral cortex  <  telencephalon  < gray matter,dentate gyrus <  hippocampal formation  < limbic lobe,Cholinergic and monoaminergic neurons,2.78122141791888,Cholinergic and monoaminergic neurons,2.74398735586121
TMEM106B,1.2176e-12,transmembrane protein 106B,-+-+,++++----,---+-+,0.0915071270429838,0.005938135887814,-,0.0119,1.92531987260302,0.000216239,Labonte,3.19,1,-0.0416,0.496,0.857,transmembrane protein 106B,reticular nucleus of thalamus,reticular nucleus of thalamus <  ventral thalamus  <  thalamus  <  diencephalon  < gray matter,reticular nucleus of thalamus < ventral thalamus,Cholinergic and monoaminergic neurons,3.25405600017945,Cholinergic and monoaminergic neurons,3.26841697346521
HIST1H2BO,9.6505e-08,Not_Available,----,Not_Available,Filtered_Out,0.968517391314429,0.00594654114713516,-,0.0119,1.92470557600244,0.00607244484267725,Ramaker,3.2,1,-0.0416,0.496,0.528,Not_Available,III paravermis,III paravermis <  III  <  Anterior Lobe  <  cerebellar hemispheres  <  cerebellar cortex  <  cerebellum  <  metencephalon  < gray matter,III paravermis <  III  <  Anterior Lobe  <  cerebellar hemispheres  < cerebellar cortex,Ependymal cells,4.29415142421203,Ependymal cells,4.47946094136428
RTN1,1.7109e-08,reticulon 1,++++,++-+-+++,-+--++,0.00604735752154142,0.67620613411918,+,0.0121,1.91740435935457,0.006195693,Ding,3.25,1,-0.0416,0.496,0.963,reticulon 1,superior rostral gyrus,superior rostral gyrus <  frontal lobe  <  cerebral cortex  <  telencephalon  < gray matter,superior rostral gyrus < frontal lobe,Cholinergic and monoaminergic neurons,3.3682122135607,Sympathetic noradrenergic neurons,4.27437476304621
CELF2,7.5152e-08,CUGBP Elav-like family member 2,++++,--------,+-+---,0.576733226902404,0.00626793485635055,-,0.0125,1.90184553020802,0.016642978,Not_Available,3.37,1,-0.0416,0.496,0.948,CUGBP Elav-like family member 2,lateral group of nuclei ventral division,lateral group of nuclei ventral division <  lateral group of nuclei  <  dorsal thalamus  <  thalamus  <  diencephalon  < gray matter,lateral group of nuclei ventral division <  lateral group of nuclei  < dorsal thalamus,Telencephalon projecting excitatory neurons,3.19408551876449,Telencephalon projecting excitatory neurons,3.45968749332584
PSORS1C1,1.7445e-08,psoriasis susceptibility 1 candidate 1,+---,Missing_P_Values,Filtered_Out,0.956704730372664,0.00637712152052214,-,0.0128,1.89434531148404,0.00563886258224023,Ramaker,3.43,1,-0.0416,0.496,0.0512,psoriasis susceptibility 1 candidate 1,temporal pole superior aspect,temporal pole superior aspect <  temporal pole  <  temporal lobe  <  cerebral cortex  <  telencephalon  < gray matter,temporal pole superior aspect <  temporal pole  < temporal lobe,Not_Available,Not_Available,Not_Available,Not_Available
MGAT4C,1.2237e-06,MGAT4 family member C,-+++,++------,--+--+,0.774079158950473,0.00678604036384691,-,0.0136,1.86735356580501,0.002131326,Labonte,3.65,1,-0.0416,0.496,0.272,MGAT4 family member C,dorsal motor nucleus of the vagus,dorsal motor nucleus of the vagus <  myelencephalon  < gray matter,dorsal motor nucleus of the vagus <  myelencephalon  < gray matter,Cholinergic and monoaminergic neurons,4.24420568019863,Cholinergic and monoaminergic neurons,3.66053389443231
NRD1,2.6643e-08,Not_Available,Not_Available,Not_Available,Not_Available,0.997307739447455,0.00727462076513013,-,0.0145,1.83715964639,0.015242509,Ding,3.91,1,-0.0416,0.496,Not_Available,Not_Available,dorsal lateral geniculate nucleus,dorsal lateral geniculate nucleus <  dorsal lateral geneiculate nucleus  <  dorsal thalamus  <  thalamus  <  diencephalon  < gray matter,dorsal lateral geniculate nucleus <  dorsal lateral geneiculate nucleus  < dorsal thalamus,Cholinergic and monoaminergic neurons,2.99464039255866,Enteric neurons,2.59847808488664
BAD,1.3523e-06,BCL2 associated agonist of cell death,--+-,++++-+++,------,0.00810199371189509,0.0843629927031966,+,0.0162,1.79037810255218,0.001132037,Labonte,4.36,1,-0.0416,0.496,0.264,BCL2 associated agonist of cell death,superior rostral gyrus,superior rostral gyrus <  frontal lobe  <  cerebral cortex  <  telencephalon  < gray matter,superior rostral gyrus < frontal lobe,Spinal cord inhibitory neurons,2.00196292077959,Sympathetic cholinergic neurons,4.23641507854015
METTL9,1.7424e-10,methyltransferase like 9,++++,+++++-+-,-++-++,0.00866255418187171,0.998926877594845,+,0.0173,1.76132404031623,0.019618914,Ding,4.66,1,-0.0416,0.496,0.218,methyltransferase like 9,body of caudate nucleus,body of caudate nucleus <  body of the caudate nucleus  <  caudate nucleus  <  striatum  <  basal ganglia  <  cerebral nuclei  <  telencephalon  < gray matter,body of the caudate nucleus  <  caudate nucleus  <  striatum  < basal ganglia,Schwann cells,3.2002380803631,Schwann cells,3.07976530243268
ZDHHC21,7.4997e-09,zinc finger DHHC-type palmitoyltransferase 21,++++,-+------,---++-,0.540492946956843,0.0089578672148236,-,0.0179,1.74676538385816,0.014756273,Ding,4.82,1,-0.0416,0.496,0.752,zinc finger DHHC-type palmitoyltransferase 21,VIIIB lateral hemisphere,VIIIB lateral hemisphere <  VIIIB  <  Posterior Lobe  <  cerebellar hemispheres  <  cerebellar cortex  <  cerebellum  <  metencephalon  < gray matter,VIIIB lateral hemisphere <  VIIIB  <  Posterior Lobe  <  cerebellar hemispheres  < cerebellar cortex,Hindbrain neurons,3.49567526804951,Peripheral sensory neurofilament neurons,2.82392946322424
POGZ,3.1579e-07,pogo transposable element derived with ZNF domain,-+-+,--+-+---,--+++-,0.886845069159735,0.00902144075089975,-,0.018,1.74369410313565,0.023772846,Ding,4.85,1,-0.0416,0.496,0.0413,pogo transposable element derived with ZNF domain,corpus callosum,corpus callosum <  telencephalic commissures  <  telencephalic white matter  < white matter,corpus callosum < telencephalic commissures,Cholinergic and monoaminergic neurons,2.69090360960431,Enteric neurons,2.55794199138711
BEND4,1.2982e-07,BEN domain containing 4,-+++,---+----,Not_Available,0.70548177975198,0.00926779521834692,-,0.0185,1.73199357530402,0.003839183,Labonte,4.99,1,-0.0416,0.496,0.855,BEN domain containing 4,substantia nigra pars compacta,substantia nigra pars compacta <  substantia nigra  <  midbrain tegmentum  <  mesencephalon  < gray matter,substantia nigra pars compacta < substantia nigra,Cholinergic and monoaminergic neurons,4.22990046520913,Cholinergic and monoaminergic neurons,3.2158369602427
SEMA6D,4.0971e-09,semaphorin 6D,-++-,-++-----,+-+-+-,0.160373997845996,0.00950516750756621,-,0.019,1.72101022958688,0.00427009,Labonte,5.11,1,-0.0416,0.496,0.981,semaphorin 6D,substantia nigra pars compacta,substantia nigra pars compacta <  substantia nigra  <  midbrain tegmentum  <  mesencephalon  < gray matter,substantia nigra pars compacta < substantia nigra,Hindbrain neurons,2.92414767067453,Sympathetic cholinergic neurons,3.0507872490882
RFTN2,5.4058e-07,raftlin family member 2,----,++++----,---+++,0.492045351255212,0.00981752390512912,-,0.0196,1.70696803690917,0.0363944585616798,Ramaker,5.28,1,-0.0416,0.496,0.444,raftlin family member 2,corpus callosum,corpus callosum <  telencephalic commissures  <  telencephalic white matter  < white matter,corpus callosum < telencephalic commissures,Enteric glia,3.07228894242944,Enteric glia,3.28226436108575
HLA-B,4.3342e-11,"major histocompatibility complex, class I, B",+-+-,++++++++,+--+--,0.0102298491416708,0.112235901745754,+,0.0205,1.68910077506404,0.005617603,Ding,5.5,1,-0.0416,0.496,0.771,"major histocompatibility complex, class I, B",supraoptic nucleus,supraoptic nucleus <  anterior hypothalamic region  <  hypothalamus  <  diencephalon  < gray matter,supraoptic nucleus < anterior hypothalamic region,Not_Available,Not_Available,Not_Available,Not_Available
CHD6,1.3778e-10,chromodomain helicase DNA binding protein 6,-+-+,++++++++,++++-+,0.0104541070358086,0.831516042833296,+,0.0209,1.67968306196791,0.01774485,Ding,5.62,1,-0.0416,0.496,0.655,chromodomain helicase DNA binding protein 6,central glial substance,central glial substance <  myelencephalon  < gray matter,central glial substance <  myelencephalon  < gray matter,Cholinergic and monoaminergic neurons,3.31170008709823,Cholinergic and monoaminergic neurons,3.19207777428948
PAX6,1.6677e-09,paired box 6,++++,+-+-----,-----+,0.794104648008843,0.0106638205426311,-,0.0213,1.67105717644492,0.002175936,Ding,5.74,1,-0.0416,0.496,0.825,paired box 6,IX paravermis,IX paravermis <  IX  <  Posterior Lobe  <  cerebellar hemispheres  <  cerebellar cortex  <  cerebellum  <  metencephalon  < gray matter,IX paravermis <  IX  <  Posterior Lobe  <  cerebellar hemispheres  < cerebellar cortex,Subcommissural organ hypendymal cells,3.57040004683164,Subcommissural organ hypendymal cells,3.87975115204495
ETFDH,1.4397e-06,electron transfer flavoprotein dehydrogenase,++-+,+++-+---,+-+-++,0.0107123597123527,0.704368266414736,+,0.0214,1.66908485683067,0.007798596,Ding,5.76,1,-0.0416,0.496,0.678,electron transfer flavoprotein dehydrogenase,globus pallidus internal segment,globus pallidus internal segment <  globus pallidus  <  basal ganglia  <  cerebral nuclei  <  telencephalon  < gray matter,globus pallidus internal segment <  globus pallidus  < basal ganglia,Choroid epithelial cells,3.66003261839083,Sympathetic cholinergic neurons,4.06593704014729
TMEM42,4.8697e-07,transmembrane protein 42,+-+-,++++-+++,Not_Available,0.0109770256887426,0.93810033221758,+,0.022,1.65848532378046,0.024523215,Labonte,5.91,1,-0.0416,0.496,0.325,transmembrane protein 42,corpus callosum,corpus callosum <  telencephalic commissures  <  telencephalic white matter  < white matter,corpus callosum < telencephalic commissures,Telencephalon projecting excitatory neurons,3.87566283100583,Peripheral sensory non-peptidergic neurons,2.85212076708556
OLFM4,1.6991e-12,olfactomedin 4,++++,++-++++-,Filtered_Out,0.0113042406774013,0.998267995907225,+,0.0226,1.64572860887887,0.0449306657323324,Ramaker,6.08,1,-0.0416,0.496,0.99,olfactomedin 4,supraoptic nucleus,supraoptic nucleus <  anterior hypothalamic region  <  hypothalamus  <  diencephalon  < gray matter,supraoptic nucleus < anterior hypothalamic region,Peptidergic neurons,4.1737192292522,Peptidergic neurons,4.56491232412
EXT1,1.2011e-06,exostosin glycosyltransferase 1,-+++,----+++-,++++-+,0.0342908501746129,0.011333134966831,-,0.0227,1.64461994350442,0.010276231,Labonte,6.1,1,-0.0416,0.496,0.81,exostosin glycosyltransferase 1,CA1 field,CA1 field <  hippocampal formation  <  limbic lobe  <  cerebral cortex  <  telencephalon  < gray matter,CA1 field <  hippocampal formation  < limbic lobe,Ependymal cells,3.73397788580322,Ependymal cells,3.69044701771994
SGIP1,1.6751e-09,SH3GL interacting endocytic adaptor 1,-+-+,--------,-+---+,0.894093951432583,0.0113818842087065,-,0.0228,1.64275584124818,0.009448596,Ding,6.12,1,-0.0416,0.496,0.823,SH3GL interacting endocytic adaptor 1,CA4 field,CA4 field <  hippocampal formation  <  limbic lobe  <  cerebral cortex  <  telencephalon  < gray matter,CA4 field <  hippocampal formation  < limbic lobe,Cholinergic and monoaminergic neurons,2.60562290254158,Enteric neurons,3.3600428279968
ACVR1B,5.281e-07,activin A receptor type 1B,++++,---+--++,++++--,0.0117257967008558,0.82863083709562,+,0.0235,1.62982764411899,0.0169283788508056,Ramaker,6.31,1,-0.0416,0.496,0.523,activin A receptor type 1B,CA3 field,CA3 field <  hippocampal formation  <  limbic lobe  <  cerebral cortex  <  telencephalon  < gray matter,CA3 field <  hippocampal formation  < limbic lobe,Cholinergic and monoaminergic neurons,3.24965263686334,Cholinergic and monoaminergic neurons,3.23201938751616
RSRC1,2.5991e-14,arginine and serine rich coiled-coil 1,++--,+++++--+,+--+++,0.0120902882240802,0.829616898782038,+,0.0242,1.6165333500728,0.011802341,Ding,6.5,1,-0.0416,0.496,0.582,arginine and serine rich coiled-coil 1,dorsal lateral geniculate nucleus,dorsal lateral geniculate nucleus <  dorsal lateral geneiculate nucleus  <  dorsal thalamus  <  thalamus  <  diencephalon  < gray matter,dorsal lateral geniculate nucleus <  dorsal lateral geneiculate nucleus  < dorsal thalamus,Di- and mesencephalon excitatory neurons,2.62208686879822,Sympathetic cholinergic neurons,4.67423024890706
SLC4A9,2.6577e-06,solute carrier family 4 member 9,----,-++----+,Filtered_Out,0.894366678263817,0.0123338426551136,-,0.0247,1.60787160057748,0.020928616,Labonte,6.64,1,-0.0416,0.496,0.393,solute carrier family 4 member 9,principal sensory nucleus of trigeminal nerve,principal sensory nucleus of trigeminal nerve <  trigeminal nuclei  <  pontine tegmentum  <  pons  <  metencephalon  < gray matter,principal sensory nucleus of trigeminal nerve <  trigeminal nuclei  < pontine tegmentum,Hindbrain neurons,4.39906864973554,Hindbrain neurons,4.77984052043041
VPS41,1.9375e-06,VPS41 subunit of HOPS complex,-+++,++-+--+-,-+-+++,0.0123498767791977,0.852695772282304,+,0.0247,1.60730737988863,0.005660112,Ding,6.64,1,-0.0416,0.496,0.376,VPS41 subunit of HOPS complex,fusiform gyrus lateral bank of gyrus,fusiform gyrus lateral bank of gyrus <  fusiform gyrus  <  temporal lobe  <  cerebral cortex  <  telencephalon  < gray matter,fusiform gyrus lateral bank of gyrus <  fusiform gyrus  < temporal lobe,Cholinergic and monoaminergic neurons,3.2294752200861,Peripheral sensory neurofilament neurons,3.86058381099991
VRK2,9.9697e-09,VRK serine/threonine kinase 2,----,++++---+,---+++,0.305034792748233,0.0132487883630779,-,0.0265,1.57679384163226,0.0260458185966635,Ramaker,7.13,1,-0.0416,0.496,0.546,VRK serine/threonine kinase 2,corpus callosum,corpus callosum <  telencephalic commissures  <  telencephalic white matter  < white matter,corpus callosum < telencephalic commissures,Microglia,3.92241044956466,Microglia,4.24111531018962
HS6ST3,1.6614e-08,heparan sulfate 6-O-sulfotransferase 3,++++,-+-++++-,-+---+,0.0136667536951994,0.0293081569130813,+,0.0273,1.56330463678293,0.000472472,Ding,7.35,1,-0.0416,0.496,0.72,heparan sulfate 6-O-sulfotransferase 3,dorsal lateral geniculate nucleus,dorsal lateral geniculate nucleus <  dorsal lateral geneiculate nucleus  <  dorsal thalamus  <  thalamus  <  diencephalon  < gray matter,dorsal lateral geniculate nucleus <  dorsal lateral geneiculate nucleus  < dorsal thalamus,Spinal cord inhibitory neurons,3.97261952437629,Spinal cord inhibitory neurons,3.85813019687383
ANKS1B,1.5029e-06,ankyrin repeat and sterile alpha motif domain containing 1B,-+++,----++--,--++++,0.0139723029866414,0.344983385391768,+,0.0279,1.5537020096779,0.008015543,Ding,7.52,1,-0.0416,0.496,0.695,ankyrin repeat and sterile alpha motif domain containing 1B,CA1 field,CA1 field <  hippocampal formation  <  limbic lobe  <  cerebral cortex  <  telencephalon  < gray matter,CA1 field <  hippocampal formation  < limbic lobe,Oligodendrocytes,3.46016684887029,Oligodendrocytes,3.62757275479769
C11orf31,5.1084e-07,Not_Available,Not_Available,Not_Available,Not_Available,0.925226833207497,0.0141153739359034,-,0.0282,1.54927761663535,0.023441292,Ding,7.59,1,-0.0416,0.496,Not_Available,Not_Available,superior temporal gyrus lateral bank of gyrus,superior temporal gyrus lateral bank of gyrus <  superior temporal gyrus  <  temporal lobe  <  cerebral cortex  <  telencephalon  < gray matter,superior temporal gyrus lateral bank of gyrus <  superior temporal gyrus  < temporal lobe,Telencephalon inhibitory interneurons,2.4749246859468,Sympathetic cholinergic neurons,2.47081378820764
PTPRS,2.2969e-06,protein tyrosine phosphatase receptor type S,-+--,---+++++,------,0.981131973800036,0.0142666298707263,-,0.0285,1.54464861015661,0.066284551,Ding,7.68,1,-0.0416,0.496,0.624,protein tyrosine phosphatase receptor type S,dorsal lateral geniculate nucleus,dorsal lateral geniculate nucleus <  dorsal lateral geneiculate nucleus  <  dorsal thalamus  <  thalamus  <  diencephalon  < gray matter,dorsal lateral geniculate nucleus <  dorsal lateral geneiculate nucleus  < dorsal thalamus,Hindbrain neurons,3.52618069083407,Hindbrain neurons,3.41680827717013
LST1,5.4242e-09,leukocyte specific transcript 1,----,+-++++++,----++,0.0144159650852544,0.0276848115422856,+,0.0288,1.54012628253925,0.003058614,Ding,7.76,1,-0.0416,0.496,0.765,leukocyte specific transcript 1,substantia nigra pars reticulata,substantia nigra pars reticulata <  substantia nigra  <  midbrain tegmentum  <  mesencephalon  < gray matter,substantia nigra pars reticulata < substantia nigra,Not_Available,Not_Available,Not_Available,Not_Available
ZMAT2,2.4426e-06,zinc finger matrin-type 2,+-+-,++++++++,-+---+,0.0158605774703195,0.605494156956103,+,0.0317,1.49865100876883,0.024694837,Labonte,8.53,1,-0.0416,0.496,0.203,zinc finger matrin-type 2,putamen,putamen <  striatum  <  basal ganglia  <  cerebral nuclei  <  telencephalon  < gray matter,putamen <  striatum  < basal ganglia,Telencephalon projecting excitatory neurons,2.96086767032053,Sympathetic cholinergic neurons,3.38506255416219
ZKSCAN4,7.5101e-14,zinc finger with KRAB and SCAN domains 4,-+-+,+++-+-++,+--+++,0.0172513147497118,0.790413895111763,+,0.0345,1.46214780540288,0.009869007,Ding,9.28,1,-0.0416,0.496,0.353,zinc finger with KRAB and SCAN domains 4,dentate gyrus,dentate gyrus <  hippocampal formation  <  limbic lobe  <  cerebral cortex  <  telencephalon  < gray matter,dentate gyrus <  hippocampal formation  < limbic lobe,Not_Available,Not_Available,Not_Available,Not_Available
