gene_symbol,Howard_pvalue,gene_name,RamakerDir,LabonteDir,DingDir,meta_meta_higher_in_MDD_pvalue,meta_meta_lower_in_MDD_pvalue,meta_direction,meta_p,signed_log_meta,minp,min_p_study,Corrected_p,Bonferroni_meta_p,Spearman_corr,Spearman_p,DE_Prior_Rank,brain_region,region_location,slim_region_location,cns_cell_type_taxon,cns_cell_type_taxon_zscore,cell_type_taxon,cell_type_taxon_zscore
BTN1A1,7.4e-09,butyrophilin subfamily 1 member A1,--,Not_Available,Filtered_Out,0.991344799040282,0.00865520095971776,-,0.0173,1.76169284839459,0.0173104019194355,Ramaker,4.66,1,-0.00264,0.966,0.0995,CA2 field,CA2 field <  hippocampal formation  <  limbic lobe  <  cerebral cortex  <  telencephalon  < gray matter,CA2 field <  hippocampal formation  < limbic lobe,Di- and mesencephalon inhibitory neurons,3.97528722444647,Di- and mesencephalon inhibitory neurons,4.33940339359627
HMGN4,1.07e-06,high mobility group nucleosomal binding domain 4,+-,----,--,0.99956069558026,0.0103128328254759,-,0.0206,1.68559202659038,0.03756133,Ding,5.55,1,-0.00264,0.966,0.208,lateral mammillary nucleus,lateral mammillary nucleus <  mammillary body  <  mammillary region  <  hypothalamus  <  diencephalon  < gray matter,lateral mammillary nucleus <  mammillary body  < mammillary region,Not_Available,Not_Available,Not_Available,Not_Available
AP3B1,3.15e-07,adaptor related protein complex 3 subunit beta 1,-+,++++,+-,0.0110370910850372,0.927655933080332,+,0.0221,1.65611537769845,0.023224813,Ding,5.94,1,-0.00264,0.966,0.379,corpus callosum,corpus callosum <  telencephalic commissures  <  telencephalic white matter  < white matter,corpus callosum < telencephalic commissures,Choroid epithelial cells,2.82888960953247,Sympathetic noradrenergic neurons,2.41682075189858
NOX4,1.16e-06,NADPH oxidase 4,-+,++++,Filtered_Out,0.0118439053661471,0.991870634637073,+,0.0237,1.62547507565627,0.015699898,Labonte,6.37,1,-0.00264,0.966,0.906,abducens nucleus,abducens nucleus <  pontine tegmentum  <  pons  <  metencephalon  < gray matter,abducens nucleus < pontine tegmentum,Spinal cord inhibitory neurons,3.06461486056945,Enteric neurons,4.55638009065575
CRB1,2.5e-07,crumbs cell polarity complex component 1,--,+++-,++,0.0134395384883735,0.654970473076404,+,0.0269,1.57058564896599,0.001253558,Ding,7.23,1,-0.00264,0.966,0.623,central glial substance,central glial substance <  myelencephalon  < gray matter,central glial substance <  myelencephalon  < gray matter,Cholinergic and monoaminergic neurons,4.97477673825537,Cholinergic and monoaminergic neurons,5.4162160540302
ESRRG,1.31e-07,estrogen related receptor gamma,--,-+-+,--,0.923837966441158,0.0144057040325492,-,0.0288,1.540435516452,0.004561798,Ding,7.75,1,-0.00264,0.966,0.79,pontine nuclei,pontine nuclei <  basal part of pons  <  pons  <  metencephalon  < gray matter,pontine nuclei < basal part of pons,Hindbrain neurons,5.40182093186018,Hindbrain neurons,5.83466932445449
RTN1,1.71e-08,reticulon 1,+-,-+-+,--,0.971639839822046,0.0147477679032578,-,0.0295,1.53024371016784,0.016725,Ding,7.93,1,-0.00264,0.966,0.963,superior rostral gyrus,superior rostral gyrus <  frontal lobe  <  cerebral cortex  <  telencephalon  < gray matter,superior rostral gyrus < frontal lobe,Cholinergic and monoaminergic neurons,3.3682122135607,Sympathetic noradrenergic neurons,4.27437476304621
PPP6C,1.1e-06,protein phosphatase 6 catalytic subunit,+-,-+--,--,0.989237403748963,0.0161124306026515,-,0.0322,1.49180894450678,0.050149438,Ding,8.67,1,-0.00264,0.966,0.577,reticular nucleus of thalamus,reticular nucleus of thalamus <  ventral thalamus  <  thalamus  <  diencephalon  < gray matter,reticular nucleus of thalamus < ventral thalamus,Cholinergic and monoaminergic neurons,3.92426142099383,Sympathetic cholinergic neurons,2.94432522454954
SERPING1,2.45e-06,serpin family G member 1,++,+-++,++,0.0164262736096046,0.974551978123139,+,0.0329,1.48343095181624,0.0215217578097327,Ramaker,8.84,1,-0.00264,0.966,0.983,central glial substance,central glial substance <  myelencephalon  < gray matter,central glial substance <  myelencephalon  < gray matter,Vascular and leptomeningeal cells,5.32011632751613,Vascular and leptomeningeal cells,4.13708695278917
PHF2,2.32e-06,PHD finger protein 2,+-,+-++,+-,0.0168889115241435,0.748248705881486,+,0.0338,1.47136834376981,0.001404682,Ding,9.09,1,-0.00264,0.966,0.125,central glial substance,central glial substance <  myelencephalon  < gray matter,central glial substance <  myelencephalon  < gray matter,Cholinergic and monoaminergic neurons,2.84681986991091,Enteric neurons,3.35069240040798
KMT2A,1.28e-07,lysine methyltransferase 2A,--,+-++,++,0.0217829446875979,0.964188556411387,+,0.0436,1.36085341564122,0.047283708,Not_Available,11.7,1,-0.00264,0.966,0.42,VIIIB lateral hemisphere,VIIIB lateral hemisphere <  VIIIB  <  Posterior Lobe  <  cerebellar hemispheres  <  cerebellar cortex  <  cerebellum  <  metencephalon  < gray matter,VIIIB lateral hemisphere <  VIIIB  <  Posterior Lobe  <  cerebellar hemispheres  < cerebellar cortex,Cholinergic and monoaminergic neurons,3.78730180389794,Cholinergic and monoaminergic neurons,3.17745070473879
SLC30A9,2.62e-07,solute carrier family 30 member 9,+-,-+--,--,0.986322985291227,0.0230899730602947,-,0.0462,1.33554657812184,0.098996348,Ding,12.4,1,-0.00264,0.966,0.345,lateral mammillary nucleus,lateral mammillary nucleus <  mammillary body  <  mammillary region  <  hypothalamus  <  diencephalon  < gray matter,lateral mammillary nucleus <  mammillary body  < mammillary region,Cholinergic and monoaminergic neurons,4.20604828764965,Cholinergic and monoaminergic neurons,2.53826229017514
BEND4,1.3e-07,BEN domain containing 4,--,----,Not_Available,0.99152406369403,0.0238557574818001,-,0.0477,1.32137679325273,0.042191113,Labonte,12.8,1,-0.00264,0.966,0.855,substantia nigra pars compacta,substantia nigra pars compacta <  substantia nigra  <  midbrain tegmentum  <  mesencephalon  < gray matter,substantia nigra pars compacta < substantia nigra,Cholinergic and monoaminergic neurons,4.22990046520913,Cholinergic and monoaminergic neurons,3.2158369602427
RAB27B,1.39e-09,"RAB27B, member RAS oncogene family",+-,---+,Filtered_Out,0.96988273219333,0.0248039190156181,-,0.0496,1.30444969962303,0.022688391,Labonte,13.3,1,-0.00264,0.966,0.948,parahippocampal gyrus lateral bank of gyrus,parahippocampal gyrus lateral bank of gyrus <  parahippocampal gyrus  <  limbic lobe  <  cerebral cortex  <  telencephalon  < gray matter,parahippocampal gyrus lateral bank of gyrus <  parahippocampal gyrus  < limbic lobe,Cholinergic and monoaminergic neurons,4.79270573437319,Peripheral sensory non-peptidergic neurons,5.27957924833239
TCF4,4.55e-16,transcription factor 4,-+,+---,++,0.025672017635772,0.495873197863514,+,0.0513,1.28951000190345,0.004359551,Ding,13.8,1,-0.00264,0.966,0.968,VIIB,VIIB <  posterior lobe of the vermis  <  vermis  <  cerebellar cortex  <  cerebellum  <  metencephalon  < gray matter,VIIB <  posterior lobe of the vermis  <  vermis  < cerebellar cortex,Telencephalon inhibitory interneurons,4.0084051754747,Telencephalon inhibitory interneurons,3.77388307459323
NRD1,2.66e-08,nardilysin convertase,+-,++++,++,0.0291474839170327,0.79808464563757,+,0.0583,1.23436893299778,0.056802903,Ding,15.7,1,-0.00264,0.966,Not_Available,Not_Available,Not_Available,Not_Available,Not_Available,Not_Available,Not_Available,Not_Available
SPRY2,8.26e-07,sprouty RTK signaling antagonist 2,--,---+,--,0.99751191766753,0.0293948911540532,-,0.0588,1.23069814795113,0.064850647,Labonte,15.8,1,-0.00264,0.966,0.938,IX paravermis,IX paravermis <  IX  <  Posterior Lobe  <  cerebellar hemispheres  <  cerebellar cortex  <  cerebellum  <  metencephalon  < gray matter,IX paravermis <  IX  <  Posterior Lobe  <  cerebellar hemispheres  < cerebellar cortex,Enteric glia,4.11970794127568,Enteric neurons,3.47774007250763
RFWD2,7e-09,COP1 E3 ubiquitin ligase,+-,-++-,--,0.955942658306394,0.03168899676497,-,0.0634,1.19806151416226,0.116954758593085,Ramaker,17,1,-0.00264,0.966,0.202,Not_Available,Not_Available,Not_Available,Not_Available,Not_Available,Not_Available,Not_Available
METTL9,1.74e-10,methyltransferase like 9,+-,-+++,++,0.0340601089573467,0.812487100098376,+,0.0681,1.16672397141118,0.031269101,Ding,18.3,1,-0.00264,0.966,0.218,body of caudate nucleus,body of caudate nucleus <  body of the caudate nucleus  <  caudate nucleus  <  striatum  <  basal ganglia  <  cerebral nuclei  <  telencephalon  < gray matter,body of the caudate nucleus  <  caudate nucleus  <  striatum  < basal ganglia,Schwann cells,3.2002380803631,Schwann cells,3.07976530243268
MYRF,1.68e-08,myelin regulatory factor,-+,++++,++,0.0351895049806775,0.675498982756134,+,0.0704,1.15255684678393,0.010906561,Labonte,18.9,1,-0.00264,0.966,0.801,corpus callosum,corpus callosum <  telencephalic commissures  <  telencephalic white matter  < white matter,corpus callosum < telencephalic commissures,Oligodendrocytes,5.5090002866212,Oligodendrocytes,6.01454099812577
BTN2A1,6.69e-12,butyrophilin subfamily 2 member A1,+-,+++-,--,0.92269598929909,0.0353830458259123,-,0.0708,1.15017478942961,0.007663015,Ding,19,1,-0.00264,0.966,0.42,VIIIB lateral hemisphere,VIIIB lateral hemisphere <  VIIIB  <  Posterior Lobe  <  cerebellar hemispheres  <  cerebellar cortex  <  cerebellum  <  metencephalon  < gray matter,VIIIB lateral hemisphere <  VIIIB  <  Posterior Lobe  <  cerebellar hemispheres  < cerebellar cortex,Not_Available,Not_Available,Not_Available,Not_Available
SAMD5,1.21e-08,sterile alpha motif domain containing 5,-+,--++,++,0.0356491603690648,0.962913243620401,+,0.0713,1.14692069879824,0.031488945,Labonte,19.2,1,-0.00264,0.966,0.882,locus ceruleus,locus ceruleus <  pontine tegmentum  <  pons  <  metencephalon  < gray matter,locus ceruleus < pontine tegmentum,Di- and mesencephalon inhibitory neurons,2.31663627794291,Enteric neurons,3.41099224324459
FAM120A,3.67e-08,family with sequence similarity 120A,+-,--++,--,0.982796828013408,0.0375101968395193,-,0.075,1.1248206611639,0.043095599,Ding,20.2,1,-0.00264,0.966,0.649,inferior olivary complex,inferior olivary complex <  myelencephalon  < gray matter,inferior olivary complex <  myelencephalon  < gray matter,Cholinergic and monoaminergic neurons,3.35098614265464,Enteric neurons,2.57443704514341
SORBS3,4.46e-08,sorbin and SH3 domain containing 3,++,+-++,++,0.0386181618222283,0.942553162937871,+,0.0772,1.11217840629249,0.092673315,Ding,20.8,1,-0.00264,0.966,0.407,cuneate nucleus,cuneate nucleus <  myelencephalon  < gray matter,cuneate nucleus <  myelencephalon  < gray matter,Choroid epithelial cells,2.44984791056423,Choroid epithelial cells,2.69134398604954
TRMT10C,1.08e-07,"tRNA methyltransferase 10C, mitochondrial RNase P subunit",-+,-+--,-+,0.871481154796724,0.0387204722365261,-,0.0774,1.11102935899339,0.01617191,Not_Available,20.8,1,-0.00264,0.966,0.618,subthalamic nucleus,subthalamic nucleus <  subthalamus  <  diencephalon  < gray matter,subthalamic nucleus < subthalamus,Schwann cells,2.50977744130317,Sympathetic noradrenergic neurons,3.92726443641264
PLA2R1,3.98e-07,phospholipase A2 receptor 1,-+,-+++,Filtered_Out,0.0405810387710376,0.966168356646333,+,0.0812,1.09064684466591,0.05886881,Labonte,21.8,1,-0.00264,0.966,0.687,IV lateral hemisphere,IV lateral hemisphere <  IV  <  Anterior Lobe  <  cerebellar hemispheres  <  cerebellar cortex  <  cerebellum  <  metencephalon  < gray matter,IV lateral hemisphere <  IV  <  Anterior Lobe  <  cerebellar hemispheres  < cerebellar cortex,Vascular smooth muscle cells,4.20559977089751,Vascular smooth muscle cells,3.97582009590131
FH,1.47e-06,fumarate hydratase,+-,-+--,--,0.954689550217591,0.0406252181240748,-,0.0813,1.09017429853794,0.030791292,Ding,21.9,1,-0.00264,0.966,0.609,dentate gyrus,dentate gyrus <  hippocampal formation  <  limbic lobe  <  cerebral cortex  <  telencephalon  < gray matter,dentate gyrus <  hippocampal formation  < limbic lobe,Hindbrain neurons,2.1607250056768,Sympathetic cholinergic neurons,3.39436911319744
CCDC36,6.57e-07,coiled-coil domain containing 36,-+,+-+-,Filtered_Out,0.0410633414702268,0.967220401125622,+,0.0821,1.08551571777599,0.043414667,Labonte,22.1,1,-0.00264,0.966,0.054,Not_Available,Not_Available,Not_Available,Not_Available,Not_Available,Not_Available,Not_Available
ASTN2,2.19e-11,astrotactin 2,++,+-++,+-,0.0417571455940452,0.762119612556763,+,0.0835,1.07823920052773,0.0824226536700612,Ramaker,22.5,1,-0.00264,0.966,0.744,central glial substance,central glial substance <  myelencephalon  < gray matter,central glial substance <  myelencephalon  < gray matter,Glutamatergic neuroblasts,2.84826952671517,Enteric neurons,2.52990794163297
PMFBP1,3.65e-07,polyamine modulated factor 1 binding protein 1,++,-+++,Filtered_Out,0.0424702853580144,0.985375523675586,+,0.0849,1.0708848253092,0.0715659214446759,Ramaker,22.8,1,-0.00264,0.966,0.356,locus ceruleus,locus ceruleus <  pontine tegmentum  <  pons  <  metencephalon  < gray matter,locus ceruleus < pontine tegmentum,Cholinergic and monoaminergic neurons,3.63211686499626,Peripheral sensory neurofilament neurons,5.32364599048966
SOX5,3.79e-09,SRY-box 5,--,---+,Filtered_Out,0.960188084193,0.0459199459856394,-,0.0918,1.03696863579437,0.057630408,Labonte,24.7,1,-0.00264,0.966,0.654,Not_Available,Not_Available,Not_Available,Not_Available,Not_Available,Not_Available,Not_Available
ERBB4,1.29e-13,erb-b2 receptor tyrosine kinase 4,--,+--+,--,0.995796871349508,0.046960205196319,-,0.0939,1.02724001840834,0.095065862,Labonte,25.3,1,-0.00264,0.966,0.894,substantia nigra pars compacta,substantia nigra pars compacta <  substantia nigra  <  midbrain tegmentum  <  mesencephalon  < gray matter,substantia nigra pars compacta < substantia nigra,Telencephalon inhibitory interneurons,4.38370811436805,Telencephalon inhibitory interneurons,4.76943202691819
ITPR3,1.55e-06,"inositol 1,4,5-trisphosphate receptor type 3",++,+-++,Filtered_Out,0.0482621969750443,0.910050731008723,+,0.0965,1.01536291651001,0.053712766,Labonte,26,1,-0.00264,0.966,0.733,supraoptic nucleus,supraoptic nucleus <  anterior hypothalamic region  <  hypothalamus  <  diencephalon  < gray matter,supraoptic nucleus < anterior hypothalamic region,Satellite glia,3.93754857362934,Satellite glia,4.27437577594778
NICN1,5.99e-07,nicolin 1,--,--+-,--,0.909697260595608,0.0494716994690518,-,0.0989,1.00461317468027,0.016099719,Ding,26.6,1,-0.00264,0.966,0.231,fusiform gyrus bank of cos,fusiform gyrus bank of cos <  fusiform gyrus  <  temporal lobe  <  cerebral cortex  <  telencephalon  < gray matter,fusiform gyrus bank of cos <  fusiform gyrus  < temporal lobe,Cholinergic and monoaminergic neurons,3.71992601052375,Sympathetic noradrenergic neurons,2.48723259765726
PGBD1,5.95e-14,piggyBac transposable element derived 1,--,+++-,--,0.385777598251743,0.0536782063020375,-,0.107,0.969172009212015,0.026554307,Ding,28.9,1,-0.00264,0.966,0.438,VIIB,VIIB <  posterior lobe of the vermis  <  vermis  <  cerebellar cortex  <  cerebellum  <  metencephalon  < gray matter,VIIB <  posterior lobe of the vermis  <  vermis  < cerebellar cortex,Cholinergic and monoaminergic neurons,2.54124528680014,Cholinergic and monoaminergic neurons,2.67936848883206
SLC44A4,7.98e-07,solute carrier family 44 member 4,-+,Not_Available,Filtered_Out,0.060235144306787,0.939764855693213,+,0.12,0.919120049207179,0.120470288613574,Ramaker,32.4,1,-0.00264,0.966,0.863,central glial substance,central glial substance <  myelencephalon  < gray matter,central glial substance <  myelencephalon  < gray matter,Subcommissural organ hypendymal cells,5.36266914880441,Subcommissural organ hypendymal cells,5.85408230025674
ZDHHC21,7.5e-09,zinc finger DHHC-type containing 21,+-,-+--,--,0.98795017081527,0.0611061062707172,-,0.122,0.912885393321431,0.149253341609399,Ramaker,32.9,1,-0.00264,0.966,0.752,Not_Available,Not_Available,Not_Available,Not_Available,Not_Available,Not_Available,Not_Available
SCYL1,6.11e-08,SCY1 like pseudokinase 1,++,---+,-+,0.5170499301622,0.0616099375974285,-,0.123,0.909319235424222,0.006742978,Ding,33.1,1,-0.00264,0.966,0.207,dorsal lateral geniculate nucleus,dorsal lateral geniculate nucleus <  dorsal lateral geneiculate nucleus  <  dorsal thalamus  <  thalamus  <  diencephalon  < gray matter,dorsal lateral geniculate nucleus <  dorsal lateral geneiculate nucleus  < dorsal thalamus,Hindbrain neurons,3.09359475213099,Sympathetic cholinergic neurons,2.96996663171946
SLC4A9,2.66e-06,solute carrier family 4 member 9,-+,++++,Filtered_Out,0.0618952129448945,0.648851575600395,+,0.124,0.907312942908966,0.074527071,Labonte,33.3,1,-0.00264,0.966,0.393,principal sensory nucleus of trigeminal nerve,principal sensory nucleus of trigeminal nerve <  trigeminal nuclei  <  pontine tegmentum  <  pons  <  metencephalon  < gray matter,principal sensory nucleus of trigeminal nerve <  trigeminal nuclei  < pontine tegmentum,Hindbrain neurons,4.39906864973554,Hindbrain neurons,4.77984052043041
PCDHA5,4.3e-07,protocadherin alpha 5,+-,--++,Filtered_Out,0.843724880673977,0.0622258870505747,-,0.124,0.904998907999962,0.005902507,Labonte,33.5,1,-0.00264,0.966,0.168,midbrain raphe nuclei,midbrain raphe nuclei <  midbrain tegmentum  <  mesencephalon  < gray matter,midbrain raphe nuclei < midbrain tegmentum,Telencephalon projecting excitatory neurons,3.09301432512295,Telencephalon projecting excitatory neurons,3.15373800849243
PROX2,7.55e-10,prospero homeobox 2,--,Missing_P_Values,Not_Available,0.937178296549597,0.0628217034504034,-,0.126,0.900860295943061,0.125643406900807,Ramaker,33.8,1,-0.00264,0.966,0.148,globose nucleus,globose nucleus <  cerebellar nuclei  <  cerebellum  <  metencephalon  < gray matter,globose nucleus < cerebellar nuclei,Olfactory ensheathing cells,4.22036091305781,Olfactory ensheathing cells,4.28919804920121
FADS1,1.25e-07,fatty acid desaturase 1,--,++--,++,0.0670441501145616,0.810484810772674,+,0.134,0.872609114524244,0.052192182,Labonte,36.1,1,-0.00264,0.966,0.866,central glial substance,central glial substance <  myelencephalon  < gray matter,central glial substance <  myelencephalon  < gray matter,Satellite glia,3.13385409696618,Satellite glia,2.64161538223522
CCS,2.3e-06,copper chaperone for superoxide dismutase,-+,-+++,++,0.0699335685436292,0.98405353922815,+,0.14,0.854284314516134,0.061848783,Ding,37.6,1,-0.00264,0.966,0.214,zona incerta,zona incerta <  ventral thalamus  <  thalamus  <  diencephalon  < gray matter,zona incerta <  ventral thalamus  < thalamus,Satellite glia,3.67842258355835,Sympathetic cholinergic neurons,3.02968969462692
CDK14,2.93e-07,cyclin dependent kinase 14,+-,-+--,--,0.986038194603932,0.0712208929622115,-,0.142,0.846362589812024,0.076106726,Labonte,38.3,1,-0.00264,0.966,0.772,CA4 field,CA4 field <  hippocampal formation  <  limbic lobe  <  cerebral cortex  <  telencephalon  < gray matter,CA4 field <  hippocampal formation  < limbic lobe,Cholinergic and monoaminergic neurons,3.61532643878443,Cholinergic and monoaminergic neurons,3.23817115049914
PCDH9,3.53e-10,protocadherin 9,--,+--+,++,0.0715450125028924,0.638444438380122,+,0.143,0.84439064042568,0.090510581,Ding,38.5,1,-0.00264,0.966,0.94,corpus callosum,corpus callosum <  telencephalic commissures  <  telencephalic white matter  < white matter,corpus callosum < telencephalic commissures,Oligodendrocytes,3.70140632202485,Oligodendrocytes,3.84835815637682
CELF4,8.75e-10,CUGBP Elav-like family member 4,++,----,--,0.898446009916634,0.0730933833652621,-,0.146,0.835091939252489,0.078722159,Labonte,39.3,1,-0.00264,0.966,0.739,dentate gyrus,dentate gyrus <  hippocampal formation  <  limbic lobe  <  cerebral cortex  <  telencephalon  < gray matter,dentate gyrus <  hippocampal formation  < limbic lobe,Cholinergic and monoaminergic neurons,3.77580205597784,Cholinergic and monoaminergic neurons,3.48238762624301
MICB,2.62e-07,MHC class I polypeptide-related sequence B,-+,-++-,Filtered_Out,0.07650469845886,0.896143912287623,+,0.153,0.81528189660597,0.0750966929648062,Ramaker,41.2,1,-0.00264,0.966,0.774,dentate gyrus,dentate gyrus <  hippocampal formation  <  limbic lobe  <  cerebral cortex  <  telencephalon  < gray matter,dentate gyrus <  hippocampal formation  < limbic lobe,Pericytes,3.40195572479199,Sympathetic noradrenergic neurons,4.63295825716416
LPIN3,1.01e-06,lipin 3,-+,++++,Filtered_Out,0.0785964663726919,0.993996763652392,+,0.157,0.803566983351807,0.129702510027764,Ramaker,42.3,1,-0.00264,0.966,0.0659,oculomotor nuclear complex,oculomotor nuclear complex <  midbrain tegmentum  <  mesencephalon  < gray matter,oculomotor nuclear complex < midbrain tegmentum,Vascular and leptomeningeal cells,4.95893978803052,Vascular and leptomeningeal cells,5.39737143526353
LRP1B,2.73e-09,LDL receptor related protein 1B,+-,---+,-+,0.814657100376001,0.0822967508863527,-,0.165,0.783587314931557,0.081677154,Ding,44.3,1,-0.00264,0.966,0.865,parolfactory gyri,parolfactory gyri <  frontal lobe  <  cerebral cortex  <  telencephalon  < gray matter,parolfactory gyri < frontal lobe,Dentate gyrus granule neurons,2.87143582823708,Dentate gyrus granule neurons,3.14664401885536
DCDC1,7.46e-09,doublecortin domain containing 1,-+,+++-,Filtered_Out,0.0880603964177421,0.792449714808998,+,0.176,0.754189368163109,0.052293358,Labonte,47.4,1,-0.00264,0.966,Not_Available,central glial substance,central glial substance <  myelencephalon  < gray matter,central glial substance <  myelencephalon  < gray matter,Not_Available,Not_Available,Not_Available,Not_Available
DCDC5,2.49e-09,doublecortin domain containing 1,-+,+++-,Filtered_Out,0.0880603964177421,0.792449714808998,+,0.176,0.754189368163109,0.052293358,Labonte,47.4,1,-0.00264,0.966,0.306,Not_Available,Not_Available,Not_Available,Not_Available,Not_Available,Not_Available,Not_Available
CTNND1,7.75e-08,catenin delta 1,+-,+--+,+-,0.0884553328186634,0.341558362806575,+,0.177,0.752245983439594,0.005485019,Ding,47.6,1,-0.00264,0.966,Not_Available,central glial substance,central glial substance <  myelencephalon  < gray matter,central glial substance <  myelencephalon  < gray matter,Pericytes,3.14436050159554,Peripheral sensory non-peptidergic neurons,3.04181193393998
HSPE1-MOB4,2.29e-07,HSPE1-MOB4 readthrough,++,Not_Available,Not_Available,0.0926803087705869,0.907319691229413,+,0.185,0.731982532334841,0.185360617541174,Ramaker,49.9,1,-0.00264,0.966,Not_Available,medial mammillary nucleus,medial mammillary nucleus <  mammillary body  <  mammillary region  <  hypothalamus  <  diencephalon  < gray matter,medial mammillary nucleus <  mammillary body  < mammillary region,Not_Available,Not_Available,Not_Available,Not_Available
IGSF6,1.56e-09,immunoglobulin superfamily member 6,-+,-+++,Filtered_Out,0.0938098991753962,0.976406966639309,+,0.188,0.726721335142345,0.12964726302045,Ramaker,50.5,1,-0.00264,0.966,0.904,substantia nigra pars reticulata,substantia nigra pars reticulata <  substantia nigra  <  midbrain tegmentum  <  mesencephalon  < gray matter,substantia nigra pars reticulata < substantia nigra,Perivascular macrophages,5.21106831203813,Perivascular macrophages,5.69320947447033
