gene_symbol,Howard_pvalue,gene_name,RamakerDir,LabonteDir,DingDir,meta_meta_higher_in_MDD_pvalue,meta_meta_lower_in_MDD_pvalue,meta_direction,meta_p,signed_log_meta,minp,min_p_study,Corrected_p,Bonferroni_meta_p,Spearman_corr,Spearman_p,DE_Prior_Rank,brain_region,region_location,slim_region_location,cns_cell_type_taxon,cns_cell_type_taxon_zscore,cell_type_taxon,cell_type_taxon_zscore
C1QTNF7,2.61e-06,C1q and TNF related 7,--+-,----+++-,Filtered_Out,0.99068131931168,0.00133232661543979,-,0.00266,2.57435930060152,0.0176287570112155,Ramaker,0.717,0.717,-0.114,0.0627,0.915,central nucleus,central nucleus <  amygdala  <  cerebral nuclei  <  telencephalon  < gray matter,central nucleus < amygdala,Vascular smooth muscle cells,5.39118336166938,Sympathetic cholinergic neurons,5.94818233010013
VRK2,9.97e-09,VRK serine/threonine kinase 2,----,++++---+,---+++,0.14719802238194,0.00148549423972725,-,0.00297,2.52709903224852,0.027645506,Ding,0.799,0.799,-0.114,0.0627,0.546,corpus callosum,corpus callosum <  telencephalic commissures  <  telencephalic white matter  < white matter,corpus callosum < telencephalic commissures,Microglia,3.92241044956466,Microglia,4.24111531018962
ZNF638,1.83e-07,zinc finger protein 638,-+--,+++-+---,Not_Available,0.00153152770772355,0.400658461023316,+,0.00306,2.51384514605821,0.001959458,Labonte,0.824,0.824,-0.114,0.0627,0.685,VIIIB lateral hemisphere,VIIIB lateral hemisphere <  VIIIB  <  Posterior Lobe  <  cerebellar hemispheres  <  cerebellar cortex  <  cerebellum  <  metencephalon  < gray matter,VIIIB lateral hemisphere <  VIIIB  <  Posterior Lobe  <  cerebellar hemispheres  < cerebellar cortex,Not_Available,Not_Available,Not_Available,Not_Available
HIST1H2BN,6.9e-17,histone cluster 1 H2B family member n,----,----++++,Filtered_Out,0.75648752278245,0.00154087150473208,-,0.00308,2.51120358048623,0.005129735,Labonte,0.829,0.829,-0.114,0.0627,0.121,Not_Available,Not_Available,Not_Available,Not_Available,Not_Available,Not_Available,Not_Available
ZC3H7B,2.91e-08,zinc finger CCCH-type containing 7B,+-++,----++++,+++++-,0.0257993920537692,0.00158379955013935,-,0.00317,2.49926978906301,0.002430993,Ding,0.852,0.852,-0.114,0.0627,0.183,pontine nuclei,pontine nuclei <  basal part of pons  <  pons  <  metencephalon  < gray matter,pontine nuclei < basal part of pons,Cholinergic and monoaminergic neurons,3.77444321120833,Sympathetic cholinergic neurons,2.36603288386083
CDH22,1.88e-07,cadherin 22,+-+-,+---++++,+++--+,0.19398784368785,0.00195107238644142,-,0.0039,2.40869662194873,0.012128409,Labonte,1.05,1,-0.114,0.0627,0.324,IV,IV <  anterior lobe of the vermis  <  vermis  <  cerebellar cortex  <  cerebellum  <  metencephalon  < gray matter,IV <  anterior lobe of the vermis  <  vermis  < cerebellar cortex,Cholinergic and monoaminergic neurons,4.41250955554672,Cholinergic and monoaminergic neurons,4.79293229388837
MYRF,1.68e-08,myelin regulatory factor,-+--,-+++---+,---+-+,0.0375736696791056,0.00203517294428562,-,0.00407,2.3903686838669,0.006945037,Ding,1.09,1,-0.114,0.0627,0.801,corpus callosum,corpus callosum <  telencephalic commissures  <  telencephalic white matter  < white matter,corpus callosum < telencephalic commissures,Oligodendrocytes,5.5090002866212,Oligodendrocytes,6.01454099812577
SEMA6D,4.1e-09,semaphorin 6D,-++-,-++-----,+-+-+-,0.00223344524554363,0.599954798645692,+,0.00447,2.34999469442753,0.00427009,Labonte,1.2,1,-0.114,0.0627,0.981,substantia nigra pars compacta,substantia nigra pars compacta <  substantia nigra  <  midbrain tegmentum  <  mesencephalon  < gray matter,substantia nigra pars compacta < substantia nigra,Hindbrain neurons,2.92414767067453,Sympathetic cholinergic neurons,3.0507872490882
SAMD5,1.21e-08,sterile alpha motif domain containing 5,----,--------,--+---,0.491365484216639,0.00224748395460516,-,0.00449,2.34727340446526,0.001158159,Labonte,1.21,1,-0.114,0.0627,0.882,locus ceruleus,locus ceruleus <  pontine tegmentum  <  pons  <  metencephalon  < gray matter,locus ceruleus < pontine tegmentum,Di- and mesencephalon inhibitory neurons,2.31663627794291,Enteric neurons,3.41099224324459
C16orf45,1.86e-09,BMERB Domain Containing 1,+-+-,---+++++,--++-+,0.445086693799803,0.00242226777751679,-,0.00484,2.3147478523706,0.000958753,Labonte,1.3,1,-0.114,0.0627,0.584,Not_Available,Not_Available,Not_Available,Not_Available,Not_Available,Not_Available,Not_Available
HS6ST3,1.66e-08,heparan sulfate 6-O-sulfotransferase 3,++++,-+-++++-,-+---+,0.0029859214744822,0.209831884335215,+,0.00597,2.22389162212836,0.000472472,Ding,1.61,1,-0.114,0.0627,0.72,dorsal lateral geniculate nucleus,dorsal lateral geniculate nucleus <  dorsal lateral geneiculate nucleus  <  dorsal thalamus  <  thalamus  <  diencephalon  < gray matter,dorsal lateral geniculate nucleus <  dorsal lateral geneiculate nucleus  < dorsal thalamus,Spinal cord inhibitory neurons,3.97261952437629,Spinal cord inhibitory neurons,3.85813019687383
GPC5,1.35e-07,glypican 5,++-+,++++----,++-+-+,0.00378447718872746,0.994760544613885,+,0.00757,2.12096411250345,0.026207921,Labonte,2.04,1,-0.114,0.0627,0.768,pontine nuclei,pontine nuclei <  basal part of pons  <  pons  <  metencephalon  < gray matter,pontine nuclei < basal part of pons,Astrocytes,3.27197638308806,Peripheral sensory non-peptidergic neurons,4.29845432769986
MIER1,2.62e-06,MIER1 transcriptional regulator,-+--,++++----,Filtered_Out,0.00423431839209886,0.932624303980461,+,0.00847,2.07218649341768,0.024035521,Labonte,2.28,1,-0.114,0.0627,0.398,globus pallidus external segment,globus pallidus external segment <  globus pallidus  <  basal ganglia  <  cerebral nuclei  <  telencephalon  < gray matter,globus pallidus external segment <  globus pallidus  < basal ganglia,Pericytes,2.90738502916842,Enteric neurons,3.30656856842405
ZNF536,1.62e-06,zinc finger protein 536,----,-+++---+,---+++,0.342956130633678,0.00450663915668238,-,0.00901,2.04511721851608,0.0027198308153863,Ramaker,2.42,1,-0.114,0.0627,0.527,corpus callosum,corpus callosum <  telencephalic commissures  <  telencephalic white matter  < white matter,corpus callosum < telencephalic commissures,Telencephalon inhibitory interneurons,2.76402611732913,Telencephalon inhibitory interneurons,2.84477685813301
SGCZ,9.76e-10,sarcoglycan zeta,-+++,----++++,Filtered_Out,0.947315846685082,0.00479166425080913,-,0.00958,2.01848362465621,0.003670155,Labonte,2.58,1,-0.114,0.0627,0.271,ventromedial hypothalamic nucleus,ventromedial hypothalamic nucleus <  tuberal region  <  hypothalamus  <  diencephalon  < gray matter,ventromedial hypothalamic nucleus < tuberal region,Cholinergic and monoaminergic neurons,3.49288894731675,Enteric neurons,2.99594245710222
MR1,6.25e-08,"major histocompatibility complex, class I-related",++++,++++----,--+-++,0.00520697951063457,0.271926814705957,+,0.0104,1.9823841355975,0.03582915938807,Ramaker,2.8,1,-0.114,0.0627,0.814,central glial substance,central glial substance <  myelencephalon  < gray matter,central glial substance <  myelencephalon  < gray matter,Choroid epithelial cells,3.60550676538055,Choroid epithelial cells,3.9352029346417
SPRY2,8.26e-07,sprouty RTK signaling antagonist 2,+---,--------,++-+--,0.463762999654239,0.00524526623070118,-,0.0105,1.97920246803331,0.00653533,Labonte,2.82,1,-0.114,0.0627,0.938,IX paravermis,IX paravermis <  IX  <  Posterior Lobe  <  cerebellar hemispheres  <  cerebellar cortex  <  cerebellum  <  metencephalon  < gray matter,IX paravermis <  IX  <  Posterior Lobe  <  cerebellar hemispheres  < cerebellar cortex,Enteric glia,4.11970794127568,Enteric neurons,3.47774007250763
MGAT4C,1.22e-06,MGAT4 family member C,-+++,++------,--+--+,0.00559861517241114,0.896496767576604,+,0.0112,1.9508893875719,0.002131326,Labonte,3.01,1,-0.114,0.0627,0.272,dorsal motor nucleus of the vagus,dorsal motor nucleus of the vagus <  myelencephalon  < gray matter,dorsal motor nucleus of the vagus <  myelencephalon  < gray matter,Cholinergic and monoaminergic neurons,4.24420568019863,Cholinergic and monoaminergic neurons,3.66053389443231
ZKSCAN8,2.01e-13,zinc finger with KRAB and SCAN domains 8,-+-+,+++-----,Filtered_Out,0.0058238543551451,0.973723605194808,+,0.0116,1.93375949887371,0.037615917,Labonte,3.13,1,-0.114,0.0627,0.45,globus pallidus external segment,globus pallidus external segment <  globus pallidus  <  basal ganglia  <  cerebral nuclei  <  telencephalon  < gray matter,globus pallidus external segment <  globus pallidus  < basal ganglia,Hindbrain neurons,4.01943544922757,Hindbrain neurons,4.10962598131774
PCDH9,3.53e-10,protocadherin 9,-+-+,-+++----,-+++++,0.00585413709697555,0.0603976504629525,+,0.0117,1.9315071154554,0.004988764,Ding,3.15,1,-0.114,0.0627,0.94,corpus callosum,corpus callosum <  telencephalic commissures  <  telencephalic white matter  < white matter,corpus callosum < telencephalic commissures,Oligodendrocytes,3.70140632202485,Oligodendrocytes,3.84835815637682
EMILIN3,3.37e-09,elastin microfibril interfacer 3,++++,----++++,-++---,0.00608519132063701,0.588472425616625,+,0.0122,1.9146957671782,0.02957294,Ding,3.27,1,-0.114,0.0627,0.351,cuneus striate,cuneus striate <  cuneus  <  occipital lobe  <  cerebral cortex  <  telencephalon  < gray matter,cuneus striate <  cuneus  < occipital lobe,Hindbrain neurons,4.9238999417661,Peripheral sensory peptidergic neurons,3.998151794001
ZNF165,1.95e-12,zinc finger protein 165,--++,--+-++++,Filtered_Out,0.999419716055649,0.00654088465484309,-,0.0131,1.88333351369769,0.058737725,Labonte,3.52,1,-0.114,0.0627,0.958,dentate nucleus,dentate nucleus <  cerebellar nuclei  <  cerebellum  <  metencephalon  < gray matter,dentate nucleus < cerebellar nuclei,Not_Available,Not_Available,Not_Available,Not_Available
RERE,1.43e-11,arginine-glutamic acid dipeptide repeats,++++,----++++,+++-+-,0.00706493825300711,0.0103115038305385,+,0.0141,1.84986163383374,0.00061161,Ding,3.8,1,-0.114,0.0627,0.53,V lateral hemisphere,V lateral hemisphere <  V  <  Anterior Lobe  <  cerebellar hemispheres  <  cerebellar cortex  <  cerebellum  <  metencephalon  < gray matter,V lateral hemisphere <  V  <  Anterior Lobe  <  cerebellar hemispheres  < cerebellar cortex,Cholinergic and monoaminergic neurons,4.01214474981103,Sympathetic cholinergic neurons,2.97042255583533
RFTN2,5.41e-07,raftlin family member 2,----,++++----,---+++,0.033166164956789,0.00777022883351452,-,0.0155,1.80853619535888,0.0124360073754275,Ramaker,4.18,1,-0.114,0.0627,0.444,corpus callosum,corpus callosum <  telencephalic commissures  <  telencephalic white matter  < white matter,corpus callosum < telencephalic commissures,Enteric glia,3.07228894242944,Enteric glia,3.28226436108575
CRB1,2.5e-07,crumbs cell polarity complex component 1,++-+,+++-----,++-+-+,0.00777064919610453,0.970339061777031,+,0.0155,1.80851270104242,0.000989607,Ding,4.18,1,-0.114,0.0627,0.623,central glial substance,central glial substance <  myelencephalon  < gray matter,central glial substance <  myelencephalon  < gray matter,Cholinergic and monoaminergic neurons,4.97477673825537,Cholinergic and monoaminergic neurons,5.4162160540302
HIST1H2BF,3.58e-08,histone cluster 1 H2B family member f,--++,++++++++,Filtered_Out,0.984224010374289,0.00870182527908634,-,0.0174,1.75935964533915,0.01036763,Labonte,4.68,1,-0.114,0.0627,Not_Available,Not_Available,Not_Available,Not_Available,Not_Available,Not_Available,Not_Available,Not_Available
CTNND1,7.75e-08,catenin delta 1,-+-+,----+-+-,----+-,0.549817839164186,0.00964922527836749,-,0.0193,1.71447755843642,0.001687079,Ding,5.19,1,-0.114,0.0627,Not_Available,central glial substance,central glial substance <  myelencephalon  < gray matter,central glial substance <  myelencephalon  < gray matter,Pericytes,3.14436050159554,Peripheral sensory non-peptidergic neurons,3.04181193393998
CAMKK2,1.88e-06,calcium/calmodulin dependent protein kinase kinase 2,+++-,-+-+++++,++----,0.0112066635001301,0.201628735226378,+,0.0224,1.64949367266575,0.002338858,Ding,6.03,1,-0.114,0.0627,0.565,IX paravermis,IX paravermis <  IX  <  Posterior Lobe  <  cerebellar hemispheres  <  cerebellar cortex  <  cerebellum  <  metencephalon  < gray matter,IX paravermis <  IX  <  Posterior Lobe  <  cerebellar hemispheres  < cerebellar cortex,Telencephalon projecting excitatory neurons,4.55248354135044,Telencephalon projecting excitatory neurons,4.56797675895
RBFOX1,6.09e-17,RNA binding fox-1 homolog 1,++++,---+++++,++----,0.0121486474544125,0.43935892343116,+,0.0243,1.61444207502577,0.027298127,Ding,6.54,1,-0.114,0.0627,0.717,dentate gyrus,dentate gyrus <  hippocampal formation  <  limbic lobe  <  cerebral cortex  <  telencephalon  < gray matter,dentate gyrus <  hippocampal formation  < limbic lobe,Telencephalon projecting excitatory neurons,3.00782697103188,Peripheral sensory non-peptidergic neurons,3.48888258302817
PLCL1,7.79e-07,phospholipase C like 1 (inactive),-+--,++++----,-----+,0.0127292443666422,0.225669818740638,+,0.0255,1.59416738050466,0.019769308,Labonte,6.85,1,-0.114,0.0627,0.831,inferior olivary complex,inferior olivary complex <  myelencephalon  < gray matter,inferior olivary complex <  myelencephalon  < gray matter,Oligodendrocytes,3.74231229931164,Oligodendrocytes,3.5006278468572
PCNP,2.33e-07,PEST proteolytic signal containing nuclear protein,-+++,++-+-+-+,---+-+,0.644919266166728,0.012767118050389,-,0.0255,1.59287713025721,0.013082865,Ding,6.87,1,-0.114,0.0627,0.406,globus pallidus external segment,globus pallidus external segment <  globus pallidus  <  basal ganglia  <  cerebral nuclei  <  telencephalon  < gray matter,globus pallidus external segment <  globus pallidus  < basal ganglia,Cholinergic and monoaminergic neurons,3.77531494749186,Enteric neurons,4.12396423066094
ANKS1B,1.5e-06,ankyrin repeat and sterile alpha motif domain containing 1B,-+++,----++--,--++++,0.754293044287807,0.0133651384822094,-,0.0267,1.57299654129974,0.008015543,Ding,7.19,1,-0.114,0.0627,0.695,CA1 field,CA1 field <  hippocampal formation  <  limbic lobe  <  cerebral cortex  <  telencephalon  < gray matter,CA1 field <  hippocampal formation  < limbic lobe,Oligodendrocytes,3.46016684887029,Oligodendrocytes,3.62757275479769
FADS1,1.25e-07,fatty acid desaturase 1,++--,+++-----,--++-+,0.0146636031923265,0.647198181132259,+,0.0293,1.53272930454462,0.071401741,Labonte,7.89,1,-0.114,0.0627,0.866,central glial substance,central glial substance <  myelencephalon  < gray matter,central glial substance <  myelencephalon  < gray matter,Satellite glia,3.13385409696618,Satellite glia,2.64161538223522
C11orf31,5.11e-07,selenoprotein H,+-+-,--+++++-,+-----,0.429145268659166,0.016867382730116,-,0.0337,1.47192230491527,0.002668892,Labonte,9.07,1,-0.114,0.0627,Not_Available,Not_Available,Not_Available,Not_Available,Not_Available,Not_Available,Not_Available,Not_Available
MARK3,2.68e-07,microtubule affinity regulating kinase 3,+++-,+-+-+---,+-++--,0.0172602215453493,0.944888620710555,+,0.0345,1.46192363848955,0.034033973,Labonte,9.29,1,-0.114,0.0627,0.125,III paravermis,III paravermis <  III  <  Anterior Lobe  <  cerebellar hemispheres  <  cerebellar cortex  <  cerebellum  <  metencephalon  < gray matter,III paravermis <  III  <  Anterior Lobe  <  cerebellar hemispheres  < cerebellar cortex,Hindbrain neurons,2.44971169933105,Peripheral sensory neurofilament neurons,2.27828077755344
HLA-B,4.33e-11,"major histocompatibility complex, class I, B",+-+-,++++++++,+--+--,0.423208621467463,0.0180076677982794,-,0.036,1.44351253404418,0.005617603,Ding,9.69,1,-0.114,0.0627,0.771,supraoptic nucleus,supraoptic nucleus <  anterior hypothalamic region  <  hypothalamus  <  diencephalon  < gray matter,supraoptic nucleus < anterior hypothalamic region,Not_Available,Not_Available,Not_Available,Not_Available
RABEPK,1.56e-06,Rab9 effector protein with kelch motifs,+-+-,-++-++++,-----+,0.639807677657255,0.018398194232636,-,0.0368,1.43419480487466,0.011639513,Ding,9.9,1,-0.114,0.0627,0.136,zona incerta,zona incerta <  ventral thalamus  <  thalamus  <  diencephalon  < gray matter,zona incerta <  ventral thalamus  < thalamus,Telencephalon inhibitory interneurons,1.92644249067401,Sympathetic cholinergic neurons,3.30391231298682
ETFDH,1.44e-06,electron transfer flavoprotein dehydrogenase,++-+,+++-+---,+-+-++,0.0217655953225317,0.366317895921566,+,0.0435,1.36119945405764,0.007798596,Ding,11.7,1,-0.114,0.0627,0.678,globus pallidus internal segment,globus pallidus internal segment <  globus pallidus  <  basal ganglia  <  cerebral nuclei  <  telencephalon  < gray matter,globus pallidus internal segment <  globus pallidus  < basal ganglia,Choroid epithelial cells,3.66003261839083,Sympathetic cholinergic neurons,4.06593704014729
AREL1,3.04e-08,apoptosis resistant E3 ubiquitin protein ligase 1,++++,--------,-+++--,0.023028195550518,0.903784029083508,+,0.0461,1.33671009560129,0.023507959,Ding,12.4,1,-0.114,0.0627,0.305,V,V <  anterior lobe of the vermis  <  vermis  <  cerebellar cortex  <  cerebellum  <  metencephalon  < gray matter,V <  anterior lobe of the vermis  <  vermis  < cerebellar cortex,Telencephalon projecting inhibitory neurons,3.74135869975321,Sympathetic noradrenergic neurons,3.69940043835784
MEGF11,1.78e-10,multiple EGF like domains 11,++-+,+++-++--,Filtered_Out,0.0232253808352923,0.921604707356406,+,0.0465,1.33300716032223,0.0156899468749612,Ramaker,12.5,1,-0.114,0.0627,0.84,lateral mammillary nucleus,lateral mammillary nucleus <  mammillary body  <  mammillary region  <  hypothalamus  <  diencephalon  < gray matter,lateral mammillary nucleus <  mammillary body  < mammillary region,Oligodendrocyte precursor cells,2.9008516052024,Oligodendrocyte precursor cells,3.17340914325478
RPS6KL1,1.01e-07,ribosomal protein S6 kinase like 1,+-+-,----++++,--++--,0.328263967541023,0.0232886857511899,-,0.0466,1.33182502362061,0.008210583,Labonte,12.5,1,-0.114,0.0627,0.242,V,V <  anterior lobe of the vermis  <  vermis  <  cerebellar cortex  <  cerebellum  <  metencephalon  < gray matter,V <  anterior lobe of the vermis  <  vermis  < cerebellar cortex,Cholinergic and monoaminergic neurons,2.17759813980319,Sympathetic noradrenergic neurons,3.20011359192157
CELF4,8.75e-10,CUGBP Elav-like family member 4,+--+,+----+++,-+-+-+,0.893741098361468,0.0235648256610189,-,0.0471,1.32670577325702,0.032633708,Ding,12.7,1,-0.114,0.0627,0.739,dentate gyrus,dentate gyrus <  hippocampal formation  <  limbic lobe  <  cerebral cortex  <  telencephalon  < gray matter,dentate gyrus <  hippocampal formation  < limbic lobe,Cholinergic and monoaminergic neurons,3.77580205597784,Cholinergic and monoaminergic neurons,3.48238762624301
ZDHHC21,7.5e-09,zinc finger DHHC-type containing 21,++++,-+------,---++-,0.0238319137130882,0.242807626651096,+,0.0477,1.32181108655256,0.014756273,Ding,12.8,1,-0.114,0.0627,0.752,Not_Available,Not_Available,Not_Available,Not_Available,Not_Available,Not_Available,Not_Available
HARS2,1.35e-06,"histidyl-tRNA synthetase 2, mitochondrial",++++,+++--++-,+++---,0.0245114597453278,0.990877349755551,+,0.049,1.30960082851996,0.03920618,Ding,13.2,1,-0.114,0.0627,0.143,VIIIB lateral hemisphere,VIIIB lateral hemisphere <  VIIIB  <  Posterior Lobe  <  cerebellar hemispheres  <  cerebellar cortex  <  cerebellum  <  metencephalon  < gray matter,VIIIB lateral hemisphere <  VIIIB  <  Posterior Lobe  <  cerebellar hemispheres  < cerebellar cortex,Cholinergic and monoaminergic neurons,2.57552851139088,Cholinergic and monoaminergic neurons,2.17146476079399
USP3,2.49e-06,ubiquitin specific peptidase 3,-+--,+++-----,--++--,0.0257587330376334,0.902787329018568,+,0.0515,1.28804550621875,0.012310163,Labonte,13.9,1,-0.114,0.0627,0.564,V lateral hemisphere,V lateral hemisphere <  V  <  Anterior Lobe  <  cerebellar hemispheres  <  cerebellar cortex  <  cerebellum  <  metencephalon  < gray matter,V lateral hemisphere <  V  <  Anterior Lobe  <  cerebellar hemispheres  < cerebellar cortex,Hindbrain neurons,2.61965211656607,Enteric neurons,3.21797612618307
NOX4,1.16e-06,NADPH oxidase 4,++--,+++++++-,Filtered_Out,0.0259650065425914,0.996718235899971,+,0.0519,1.28458156797259,0.036399682,Labonte,14,1,-0.114,0.0627,0.906,abducens nucleus,abducens nucleus <  pontine tegmentum  <  pons  <  metencephalon  < gray matter,abducens nucleus < pontine tegmentum,Spinal cord inhibitory neurons,3.06461486056945,Enteric neurons,4.55638009065575
EYS,1.32e-06,eyes shut homolog,++-+,+--++++-,Not_Available,0.828155521640959,0.0263834215304603,-,0.0528,1.27763888805207,0.063425252,Labonte,14.2,1,-0.114,0.0627,0.00999,VIIIB lateral hemisphere,VIIIB lateral hemisphere <  VIIIB  <  Posterior Lobe  <  cerebellar hemispheres  <  cerebellar cortex  <  cerebellum  <  metencephalon  < gray matter,VIIIB lateral hemisphere <  VIIIB  <  Posterior Lobe  <  cerebellar hemispheres  < cerebellar cortex,Not_Available,Not_Available,Not_Available,Not_Available
