gene_symbol,Howard_pvalue,gene_name.x,RamakerDir,LabonteDir,DingDir,meta_meta_higher_in_MDD_pvalue,meta_meta_lower_in_MDD_pvalue,meta_direction,meta_p,signed_log_p,minp,min_p_study,Corrected_p,Bonferroni_meta_p,Spearman_corr,Spearman_p,DE_Prior_Rank,gene_name.y,brain_region,region_location,slim_region_location,cns_cell_type_taxon,cns_cell_type_taxon_zscore,cell_type_taxon,cell_type_taxon_zscore
ZC3H7B,2.9108e-08,zinc finger CCCH-type containing 7B,++-,------,++-+,0.00470346506753656,0.198267957638114,+,0.00941,2.02655208145236,0.002430993,Ding,2.53,1,-0.082,0.18,0.183,zinc finger CCCH-type containing 7B,pontine nuclei,pontine nuclei <  basal part of pons  <  pons  <  metencephalon  < gray matter,pontine nuclei < basal part of pons,Cholinergic and monoaminergic neurons,3.77444321120833,Sympathetic cholinergic neurons,2.36603288386083
DENND1A,1.5351e-14,DENN domain containing 1A,++-,------,-+-+,0.252226655696984,0.00519935760631337,-,0.0104,1.98302031556034,0.007451938,Labonte,2.8,1,-0.082,0.18,0.599,DENN domain containing 1A,basolateral nucleus,basolateral nucleus <  amygdala  <  cerebral nuclei  <  telencephalon  < gray matter,basolateral nucleus < amygdala,Cholinergic and monoaminergic neurons,2.87396729572261,Cholinergic and monoaminergic neurons,2.84876785804461
ZNF184,3.3378e-08,zinc finger protein 184,+++,------,++-+,0.219853068183463,0.00552303661199407,-,0.011,1.95679208218163,0.016954203,Labonte,2.97,1,-0.082,0.18,0.368,zinc finger protein 184,CA1 field,CA1 field <  hippocampal formation  <  limbic lobe  <  cerebral cortex  <  telencephalon  < gray matter,CA1 field <  hippocampal formation  < limbic lobe,Non-glutamatergic neuroblasts,3.29333983815876,Non-glutamatergic neuroblasts,3.28351880097876
DCDC1,7.4612e-09,doublecortin domain containing 1,+-+,++++++,Filtered_Out,0.00569363411201455,0.999320409343214,+,0.0114,1.94358044954032,0.026863188,Labonte,3.06,1,-0.082,0.18,Not_Available,doublecortin domain containing 1,central glial substance,central glial substance <  myelencephalon  < gray matter,central glial substance <  myelencephalon  < gray matter,Not_Available,Not_Available,Not_Available,Not_Available
DCDC5,2.4868e-09,Not_Available,Not_Available,Not_Available,Not_Available,0.00569363411201455,0.999320409343214,+,0.0114,1.94358044954032,0.026863188,Labonte,3.06,1,-0.082,0.18,0.306,Not_Available,central glial substance,central glial substance <  myelencephalon  < gray matter,central glial substance <  myelencephalon  < gray matter,Not_Available,Not_Available,Not_Available,Not_Available
PCDH9,3.5314e-10,protocadherin 9,--+,-++++-,-+++,0.00617215390248071,0.2844345397999,+,0.0123,1.90853325768943,0.004988764,Ding,3.32,1,-0.082,0.18,0.94,protocadherin 9,corpus callosum,corpus callosum <  telencephalic commissures  <  telencephalic white matter  < white matter,corpus callosum < telencephalic commissures,Oligodendrocytes,3.70140632202485,Oligodendrocytes,3.84835815637682
SERPING1,2.4511e-06,serpin family G member 1,+++,---++-,-+++,0.00694157076280539,0.67535441553744,+,0.0139,1.85751224909289,0.00213185191944307,Ramaker,3.73,1,-0.082,0.18,0.983,serpin family G member 1,central glial substance,central glial substance <  myelencephalon  < gray matter,central glial substance <  myelencephalon  < gray matter,Vascular and leptomeningeal cells,5.32011632751613,Vascular and leptomeningeal cells,4.13708695278917
CAMKK2,1.8833e-06,calcium/calmodulin dependent protein kinase kinase 2,+++,-+-++-,+++-,0.00715467399130766,0.36811506465939,+,0.0143,1.84438015477995,0.002338858,Ding,3.85,1,-0.082,0.18,0.565,calcium/calmodulin dependent protein kinase kinase 2,IX paravermis,IX paravermis <  IX  <  Posterior Lobe  <  cerebellar hemispheres  <  cerebellar cortex  <  cerebellum  <  metencephalon  < gray matter,IX paravermis <  IX  <  Posterior Lobe  <  cerebellar hemispheres  < cerebellar cortex,Telencephalon projecting excitatory neurons,4.55248354135044,Telencephalon projecting excitatory neurons,4.56797675895
TRAF3,3.1737e-07,TNF receptor associated factor 3,+--,------,+-+-,0.843236009642878,0.00809055439463661,-,0.0162,1.79099172224389,0.011555865,Labonte,4.35,1,-0.082,0.18,0.428,TNF receptor associated factor 3,central glial substance,central glial substance <  myelencephalon  < gray matter,central glial substance <  myelencephalon  < gray matter,Hindbrain neurons,3.26811898489611,Hindbrain neurons,2.9800683009023
CHD6,1.3778e-10,chromodomain helicase DNA binding protein 6,--+,+++++-,++++,0.00845915660075744,0.976245819607204,+,0.0169,1.77164293939347,0.01774485,Ding,4.55,1,-0.082,0.18,0.655,chromodomain helicase DNA binding protein 6,central glial substance,central glial substance <  myelencephalon  < gray matter,central glial substance <  myelencephalon  < gray matter,Cholinergic and monoaminergic neurons,3.31170008709823,Cholinergic and monoaminergic neurons,3.19207777428948
TMEM106B,1.2176e-12,transmembrane protein 106B,--+,++++++,--+-,0.00859209771581966,0.118615240611201,+,0.0172,1.76487079682784,0.004060218,Labonte,4.62,1,-0.082,0.18,0.857,transmembrane protein 106B,reticular nucleus of thalamus,reticular nucleus of thalamus <  ventral thalamus  <  thalamus  <  diencephalon  < gray matter,reticular nucleus of thalamus < ventral thalamus,Cholinergic and monoaminergic neurons,3.25405600017945,Cholinergic and monoaminergic neurons,3.26841697346521
TMEM42,4.8697e-07,transmembrane protein 42,+--,++++++,Not_Available,0.00902082303479359,0.8484954383278,+,0.018,1.74372384116626,0.024523215,Labonte,4.85,1,-0.082,0.18,0.325,transmembrane protein 42,corpus callosum,corpus callosum <  telencephalic commissures  <  telencephalic white matter  < white matter,corpus callosum < telencephalic commissures,Telencephalon projecting excitatory neurons,3.87566283100583,Peripheral sensory non-peptidergic neurons,2.85212076708556
RABEPK,1.5581e-06,Rab9 effector protein with kelch motifs,+--,-++---,----,0.84568826970422,0.00941530954064422,-,0.0188,1.72513540174819,0.011639513,Ding,5.07,1,-0.082,0.18,0.136,Rab9 effector protein with kelch motifs,zona incerta,zona incerta <  ventral thalamus  <  thalamus  <  diencephalon  < gray matter,zona incerta <  ventral thalamus  < thalamus,Telencephalon inhibitory interneurons,1.92644249067401,Sympathetic cholinergic neurons,3.30391231298682
VRK2,9.9697e-09,VRK serine/threonine kinase 2,---,++++++,--+-,0.360948831896036,0.0102167016196233,-,0.0204,1.6896592944084,0.027645506,Ding,5.5,1,-0.082,0.18,0.546,VRK serine/threonine kinase 2,corpus callosum,corpus callosum <  telencephalic commissures  <  telencephalic white matter  < white matter,corpus callosum < telencephalic commissures,Microglia,3.92241044956466,Microglia,4.24111531018962
ZNF322,3.7203e-07,zinc finger protein 322,-++,--++--,++++,0.0103705983209227,0.953551389258878,+,0.0207,1.6831661910541,0.0253223896340091,Ramaker,5.58,1,-0.082,0.18,0.256,zinc finger protein 322,zona incerta,zona incerta <  ventral thalamus  <  thalamus  <  diencephalon  < gray matter,zona incerta <  ventral thalamus  < thalamus,Cholinergic and monoaminergic neurons,3.00407509957772,Cholinergic and monoaminergic neurons,2.88376454481502
STAU1,1.335e-06,staufen double-stranded RNA binding protein 1,+++,+-+++-,++-+,0.0119688743903349,0.974962748351983,+,0.0239,1.62091669512028,0.004673783,Ding,6.44,1,-0.082,0.18,0.258,staufen double-stranded RNA binding protein 1,motor nucleus of trigeminal nerve,motor nucleus of trigeminal nerve <  trigeminal nuclei  <  pontine tegmentum  <  pons  <  metencephalon  < gray matter,motor nucleus of trigeminal nerve <  trigeminal nuclei  < pontine tegmentum,Cholinergic and monoaminergic neurons,3.64372187714201,Cholinergic and monoaminergic neurons,2.27957428896524
PSORS1C2,2.9773e-07,psoriasis susceptibility 1 candidate 2,++-,Not_Available,Filtered_Out,0.0120636034635069,0.439163895512422,+,0.0241,1.61749295104583,0.00882830866567363,Ramaker,6.49,1,-0.082,0.18,0.622,psoriasis susceptibility 1 candidate 2,lateral parabrachial nucleus,lateral parabrachial nucleus <  pontine tegmentum  <  pons  <  metencephalon  < gray matter,lateral parabrachial nucleus < pontine tegmentum,Vascular endothelial cells,4.61719413561084,Vascular endothelial cells,5.0468346698786
CELF4,8.7511e-10,CUGBP Elav-like family member 4,++-,+-----,-+--,0.706899017732405,0.0124092183752655,-,0.0248,1.60522557706772,0.042071816,Not_Available,6.68,1,-0.082,0.18,0.739,CUGBP Elav-like family member 4,dentate gyrus,dentate gyrus <  hippocampal formation  <  limbic lobe  <  cerebral cortex  <  telencephalon  < gray matter,dentate gyrus <  hippocampal formation  < limbic lobe,Cholinergic and monoaminergic neurons,3.77580205597784,Cholinergic and monoaminergic neurons,3.48238762624301
PLA2R1,3.9805e-07,phospholipase A2 receptor 1,---,--+--+,Filtered_Out,0.991327094711953,0.0132796492195805,-,0.0266,1.57578340099171,0.001639741,Labonte,7.14,1,-0.082,0.18,0.687,phospholipase A2 receptor 1,IV lateral hemisphere,IV lateral hemisphere <  IV  <  Anterior Lobe  <  cerebellar hemispheres  <  cerebellar cortex  <  cerebellum  <  metencephalon  < gray matter,IV lateral hemisphere <  IV  <  Anterior Lobe  <  cerebellar hemispheres  < cerebellar cortex,Vascular smooth muscle cells,4.20559977089751,Vascular smooth muscle cells,3.97582009590131
POGZ,3.1579e-07,pogo transposable element derived with ZNF domain,--+,--+-+-,--++,0.0287669499757012,0.0138742366620986,-,0.0277,1.55676090605899,0.000341011,Ding,7.46,1,-0.082,0.18,0.0413,pogo transposable element derived with ZNF domain,corpus callosum,corpus callosum <  telencephalic commissures  <  telencephalic white matter  < white matter,corpus callosum < telencephalic commissures,Cholinergic and monoaminergic neurons,2.69090360960431,Enteric neurons,2.55794199138711
HARS2,1.3511e-06,"histidyl-tRNA synthetase 2, mitochondrial",+++,+++-++,++-+,0.0140561303006393,0.915650273373791,+,0.0281,1.55110422991065,0.03920618,Ding,7.56,1,-0.082,0.18,0.143,"histidyl-tRNA synthetase 2, mitochondrial",VIIIB lateral hemisphere,VIIIB lateral hemisphere <  VIIIB  <  Posterior Lobe  <  cerebellar hemispheres  <  cerebellar cortex  <  cerebellum  <  metencephalon  < gray matter,VIIIB lateral hemisphere <  VIIIB  <  Posterior Lobe  <  cerebellar hemispheres  < cerebellar cortex,Cholinergic and monoaminergic neurons,2.57552851139088,Cholinergic and monoaminergic neurons,2.17146476079399
RFTN2,5.4058e-07,raftlin family member 2,---,++++++,--+-,0.614642188007971,0.0143926496335108,-,0.0288,1.54082925103287,0.0124360073754275,Ramaker,7.74,1,-0.082,0.18,0.444,raftlin family member 2,corpus callosum,corpus callosum <  telencephalic commissures  <  telencephalic white matter  < white matter,corpus callosum < telencephalic commissures,Enteric glia,3.07228894242944,Enteric glia,3.28226436108575
LRFN5,2.0372e-12,leucine rich repeat and fibronectin type III domain containing 5,+++,------,++-+,0.198442703813042,0.0153792893002752,-,0.0308,1.51203373779781,0.006606209,Labonte,8.27,1,-0.082,0.18,0.77,leucine rich repeat and fibronectin type III domain containing 5,dentate gyrus,dentate gyrus <  hippocampal formation  <  limbic lobe  <  cerebral cortex  <  telencephalon  < gray matter,dentate gyrus <  hippocampal formation  < limbic lobe,Di- and mesencephalon excitatory neurons,2.2127027690198,Peripheral sensory non-peptidergic neurons,2.43755385014259
KLC1,2.4595e-10,kinesin light chain 1,++-,+++-++,---+,0.0154231131662398,0.283838342246834,+,0.0308,1.51079795912589,0.003812079,Ding,8.3,1,-0.082,0.18,0.629,kinesin light chain 1,corpus callosum,corpus callosum <  telencephalic commissures  <  telencephalic white matter  < white matter,corpus callosum < telencephalic commissures,Cholinergic and monoaminergic neurons,3.53810712032724,Sympathetic cholinergic neurons,2.98086183940725
ANKS1B,1.5029e-06,ankyrin repeat and sterile alpha motif domain containing 1B,-++,------,---+,0.176921246032487,0.0154416755265262,-,0.0309,1.51027558188264,0.008015543,Ding,8.31,1,-0.082,0.18,0.695,ankyrin repeat and sterile alpha motif domain containing 1B,CA1 field,CA1 field <  hippocampal formation  <  limbic lobe  <  cerebral cortex  <  telencephalon  < gray matter,CA1 field <  hippocampal formation  < limbic lobe,Oligodendrocytes,3.46016684887029,Oligodendrocytes,3.62757275479769
YLPM1,3.52e-10,YLP motif containing 1,-++,----+-,Not_Available,0.886380043419034,0.0158615621163983,-,0.0317,1.49862404801749,0.001039362,Labonte,8.53,1,-0.082,0.18,0.157,YLP motif containing 1,dentate gyrus,dentate gyrus <  hippocampal formation  <  limbic lobe  <  cerebral cortex  <  telencephalon  < gray matter,dentate gyrus <  hippocampal formation  < limbic lobe,Cholinergic and monoaminergic neurons,2.78122141791888,Cholinergic and monoaminergic neurons,2.74398735586121
HLA-B,4.3342e-11,"major histocompatibility complex, class I, B",+--,++++++,+-+-,0.0161046415771547,0.0485299714213037,+,0.0322,1.49201894067525,0.005617603,Ding,8.66,1,-0.082,0.18,0.771,"major histocompatibility complex, class I, B",supraoptic nucleus,supraoptic nucleus <  anterior hypothalamic region  <  hypothalamus  <  diencephalon  < gray matter,supraoptic nucleus < anterior hypothalamic region,Not_Available,Not_Available,Not_Available,Not_Available
BAD,1.3523e-06,BCL2 associated agonist of cell death,---,+++++-,----,0.0541223636660322,0.0166635480359963,-,0.0333,1.47720252656908,0.007651586,Labonte,8.96,1,-0.082,0.18,0.264,BCL2 associated agonist of cell death,superior rostral gyrus,superior rostral gyrus <  frontal lobe  <  cerebral cortex  <  telencephalon  < gray matter,superior rostral gyrus < frontal lobe,Spinal cord inhibitory neurons,2.00196292077959,Sympathetic cholinergic neurons,4.23641507854015
LTBP3,8.1362e-07,latent transforming growth factor beta binding protein 3,---,----+-,+-++,0.0168183577986501,0.0493791611720996,+,0.0336,1.47318641678631,0.000514888,Ding,9.05,1,-0.082,0.18,0.827,latent transforming growth factor beta binding protein 3,central glial substance,central glial substance <  myelencephalon  < gray matter,central glial substance <  myelencephalon  < gray matter,Choroid epithelial cells,4.66919716502908,Choroid epithelial cells,4.40627315983146
HIST1H2BN,6.9e-17,Not_Available,---,------,Filtered_Out,0.991466057750812,0.0171790872650693,-,0.0344,1.46396991854708,0.006573579,Labonte,9.24,1,-0.082,0.18,0.121,Not_Available,III paravermis,III paravermis <  III  <  Anterior Lobe  <  cerebellar hemispheres  <  cerebellar cortex  <  cerebellum  <  metencephalon  < gray matter,III paravermis <  III  <  Anterior Lobe  <  cerebellar hemispheres  < cerebellar cortex,Non-glutamatergic neuroblasts,4.20253334705021,Non-glutamatergic neuroblasts,4.23101334443968
FH,1.4717e-06,fumarate hydratase,+++,++++-+,-+--,0.0182359589470511,0.0399205913305013,+,0.0365,1.4380413984925,0.002341199,Ding,9.81,1,-0.082,0.18,0.609,fumarate hydratase,dentate gyrus,dentate gyrus <  hippocampal formation  <  limbic lobe  <  cerebral cortex  <  telencephalon  < gray matter,dentate gyrus <  hippocampal formation  < limbic lobe,Hindbrain neurons,2.1607250056768,Sympathetic cholinergic neurons,3.39436911319744
RBFOX1,6.0939e-17,RNA binding fox-1 homolog 1,+++,---+++,+++-,0.0186892793877206,0.756331388704017,+,0.0374,1.4273774479529,0.027298127,Not_Available,10.1,1,-0.082,0.18,0.717,RNA binding fox-1 homolog 1,dentate gyrus,dentate gyrus <  hippocampal formation  <  limbic lobe  <  cerebral cortex  <  telencephalon  < gray matter,dentate gyrus <  hippocampal formation  < limbic lobe,Telencephalon projecting excitatory neurons,3.00782697103188,Peripheral sensory non-peptidergic neurons,3.48888258302817
PLCL1,7.7924e-07,phospholipase C like 1 (inactive),--+,++++++,--+-,0.0188264116113373,0.124438657083316,+,0.0377,1.4242024546808,0.019769308,Labonte,10.1,1,-0.082,0.18,0.831,phospholipase C like 1 (inactive),inferior olivary complex,inferior olivary complex <  myelencephalon  < gray matter,inferior olivary complex <  myelencephalon  < gray matter,Oligodendrocytes,3.74231229931164,Oligodendrocytes,3.5006278468572
FAM172A,7.7452e-10,family with sequence similarity 172 member A,-++,++-+-+,Not_Available,0.0188418636212887,0.884808755228236,+,0.0377,1.42384614832001,0.0180964473748065,Ramaker,10.1,1,-0.082,0.18,0.505,family with sequence similarity 172 member A,VIIIB lateral hemisphere,VIIIB lateral hemisphere <  VIIIB  <  Posterior Lobe  <  cerebellar hemispheres  <  cerebellar cortex  <  cerebellum  <  metencephalon  < gray matter,VIIIB lateral hemisphere <  VIIIB  <  Posterior Lobe  <  cerebellar hemispheres  < cerebellar cortex,Oligodendrocytes,2.54488343707848,Peripheral sensory non-peptidergic neurons,2.68221919989064
HS6ST3,1.6614e-08,heparan sulfate 6-O-sulfotransferase 3,+++,-+-++-,-++-,0.0192549568146131,0.607405836673387,+,0.0385,1.41442745542018,0.001631929,Ding,10.4,1,-0.082,0.18,0.72,heparan sulfate 6-O-sulfotransferase 3,dorsal lateral geniculate nucleus,dorsal lateral geniculate nucleus <  dorsal lateral geneiculate nucleus  <  dorsal thalamus  <  thalamus  <  diencephalon  < gray matter,dorsal lateral geniculate nucleus <  dorsal lateral geneiculate nucleus  < dorsal thalamus,Spinal cord inhibitory neurons,3.97261952437629,Spinal cord inhibitory neurons,3.85813019687383
