gene_symbol,Howard.pvalue,gene_name,RamakerDir,LabonteDir,DingDir,meta_direction,meta_p,Bonferroni_meta_p,slim_region_location,cell_type_taxon,DE_Prior_Rank
HIST1H2BO,9.65e-08,histone cluster 1 H2B family member o,----,Not_Available,Filtered_Out,-,0.0119,1,III paravermis <  III  <  Anterior Lobe  <  cerebellar hemispheres  < cerebellar cortex,Ependymal cells,0.528
RTN1,1.71e-08,reticulon 1,++++,++-+-+++,-+--++,+,0.0121,1,superior rostral gyrus < frontal lobe,Sympathetic noradrenergic neurons,0.963
CELF2,7.52e-08,CUGBP Elav-like family member 2,++++,--------,+-+---,-,0.0125,1,lateral group of nuclei ventral division <  lateral group of nuclei  < dorsal thalamus,Telencephalon projecting excitatory neurons,0.948
PSORS1C1,1.74e-08,psoriasis susceptibility 1 candidate 1,+---,Missing_P_Values,Filtered_Out,-,0.0128,1,temporal pole superior aspect <  temporal pole  < temporal lobe,Not_Available,0.0512
MGAT4C,1.22e-06,MGAT4 family member C,-+++,++------,--+--+,-,0.0136,1,dorsal motor nucleus of the vagus <  myelencephalon  < gray matter,Cholinergic and monoaminergic neurons,0.272
BAD,1.35e-06,BCL2 associated agonist of cell death,--+-,++++-+++,------,+,0.0162,1,superior rostral gyrus < frontal lobe,Sympathetic cholinergic neurons,0.264
METTL9,1.74e-10,methyltransferase like 9,++++,+++++-+-,-++-++,+,0.0173,1,body of the caudate nucleus  <  caudate nucleus  <  striatum  < basal ganglia,Schwann cells,0.218
ZDHHC21,7.5e-09,zinc finger DHHC-type containing 21,++++,-+------,---++-,-,0.0179,1,VIIIB lateral hemisphere <  VIIIB  <  Posterior Lobe  <  cerebellar hemispheres  < cerebellar cortex,Peripheral sensory neurofilament neurons,0.752
POGZ,3.16e-07,pogo transposable element derived with ZNF domain,-+-+,--+-+---,--+++-,-,0.018,1,corpus callosum < telencephalic commissures,Enteric neurons,0.0413
BEND4,1.3e-07,BEN domain containing 4,-+++,---+----,Not_Available,-,0.0185,1,substantia nigra pars compacta < substantia nigra,Cholinergic and monoaminergic neurons,0.855
SEMA6D,4.1e-09,semaphorin 6D,-++-,-++-----,+-+-+-,-,0.019,1,substantia nigra pars compacta < substantia nigra,Sympathetic cholinergic neurons,0.981
RFTN2,5.41e-07,raftlin family member 2,----,++++----,---+++,-,0.0196,1,corpus callosum < telencephalic commissures,Enteric glia,0.444
HLA-B,4.33e-11,"major histocompatibility complex, class I, B",+-+-,++++++++,+--+--,+,0.0205,1,supraoptic nucleus < anterior hypothalamic region,Not_Available,0.771
CHD6,1.38e-10,chromodomain helicase DNA binding protein 6,-+-+,++++++++,++++-+,+,0.0209,1,central glial substance <  myelencephalon  < gray matter,Cholinergic and monoaminergic neurons,0.655
PAX6,1.67e-09,paired box 6,++++,+-+-----,-----+,-,0.0213,1,IX paravermis <  IX  <  Posterior Lobe  <  cerebellar hemispheres  < cerebellar cortex,Subcommissural organ hypendymal cells,0.825
ETFDH,1.44e-06,electron transfer flavoprotein dehydrogenase,++-+,+++-+---,+-+-++,+,0.0214,1,globus pallidus internal segment <  globus pallidus  < basal ganglia,Sympathetic cholinergic neurons,0.678
TMEM42,4.87e-07,transmembrane protein 42,+-+-,++++-+++,Not_Available,+,0.022,1,corpus callosum < telencephalic commissures,Peripheral sensory non-peptidergic neurons,0.325
OLFM4,1.7e-12,olfactomedin 4,++++,++-++++-,Filtered_Out,+,0.0226,1,supraoptic nucleus < anterior hypothalamic region,Peptidergic neurons,0.99
EXT1,1.2e-06,exostosin glycosyltransferase 1,-+++,----+++-,++++-+,-,0.0227,1,CA1 field <  hippocampal formation  < limbic lobe,Ependymal cells,0.81
SGIP1,1.68e-09,SH3 domain GRB2 like endophilin interacting protein 1,-+-+,--------,-+---+,-,0.0228,1,CA4 field <  hippocampal formation  < limbic lobe,Enteric neurons,0.823
ACVR1B,5.28e-07,activin A receptor type 1B,++++,---+--++,++++--,+,0.0235,1,CA3 field <  hippocampal formation  < limbic lobe,Cholinergic and monoaminergic neurons,0.523
RSRC1,2.6e-14,arginine and serine rich coiled-coil 1,++--,+++++--+,+--+++,+,0.0242,1,dorsal lateral geniculate nucleus <  dorsal lateral geneiculate nucleus  < dorsal thalamus,Sympathetic cholinergic neurons,0.582
SLC4A9,2.66e-06,solute carrier family 4 member 9,----,-++----+,Filtered_Out,-,0.0247,1,principal sensory nucleus of trigeminal nerve <  trigeminal nuclei  < pontine tegmentum,Hindbrain neurons,0.393
VPS41,1.94e-06,VPS41 subunit of HOPS complex,-+++,++-+--+-,-+-+++,+,0.0247,1,fusiform gyrus lateral bank of gyrus <  fusiform gyrus  < temporal lobe,Peripheral sensory neurofilament neurons,0.376
VRK2,9.97e-09,VRK serine/threonine kinase 2,----,++++---+,---+++,-,0.0265,1,corpus callosum < telencephalic commissures,Microglia,0.546
HS6ST3,1.66e-08,heparan sulfate 6-O-sulfotransferase 3,++++,-+-++++-,-+---+,+,0.0273,1,dorsal lateral geniculate nucleus <  dorsal lateral geneiculate nucleus  < dorsal thalamus,Spinal cord inhibitory neurons,0.72
ANKS1B,1.5e-06,ankyrin repeat and sterile alpha motif domain containing 1B,-+++,----++--,--++++,+,0.0279,1,CA1 field <  hippocampal formation  < limbic lobe,Oligodendrocytes,0.695
PTPRS,2.3e-06,protein tyrosine phosphatase receptor type S,-+--,---+++++,------,-,0.0285,1,dorsal lateral geniculate nucleus <  dorsal lateral geneiculate nucleus  < dorsal thalamus,Hindbrain neurons,0.624
LST1,5.42e-09,leukocyte specific transcript 1,----,+-++++++,----++,+,0.0288,1,substantia nigra pars reticulata < substantia nigra,Not_Available,0.765
ZMAT2,2.44e-06,zinc finger matrin-type 2,+-+-,++++++++,-+---+,+,0.0317,1,putamen <  striatum  < basal ganglia,Sympathetic cholinergic neurons,0.203
ZKSCAN4,7.51e-14,zinc finger with KRAB and SCAN domains 4,-+-+,+++-+-++,+--+++,+,0.0345,1,dentate gyrus <  hippocampal formation  < limbic lobe,Not_Available,0.353
BAZ2B,1.32e-07,bromodomain adjacent to zinc finger domain 2B,----,+-+-+---,--++--,-,0.0356,1,corpus callosum < telencephalic commissures,Enteric neurons,0.588
SERPING1,2.45e-06,serpin family G member 1,++++,---+++++,-++-++,+,0.0367,1,central glial substance <  myelencephalon  < gray matter,Vascular and leptomeningeal cells,0.983
STAU1,1.34e-06,staufen double-stranded RNA binding protein 1,+++-,+-++++++,+++-+-,+,0.0379,1,motor nucleus of trigeminal nerve <  trigeminal nuclei  < pontine tegmentum,Cholinergic and monoaminergic neurons,0.258
ZHX3,2.34e-07,zinc fingers and homeoboxes 3,++++,--------,--++--,-,0.0391,1,globus pallidus internal segment <  globus pallidus  < basal ganglia,Cholinergic and monoaminergic neurons,0.409
HSPA1A,8.13e-08,heat shock protein family A (Hsp70) member 1A,----,--+-----,----++,-,0.0403,1,corpus callosum < telencephalic commissures,Enteric glia,0.983
HARS,2.1e-07,histidyl-tRNA synthetase,+-+-,+-+-++++,+++-+-,+,0.0407,1,dorsal lateral geniculate nucleus <  dorsal lateral geneiculate nucleus  < dorsal thalamus,Sympathetic noradrenergic neurons,0.113
INPP4B,3.71e-07,inositol polyphosphate-4-phosphatase type II B,-+++,-+--++--,-+-+--,-,0.041,1,basal nucleus of meynert <  substantia innominata  < basal forebrain,Cholinergic and monoaminergic neurons,0.888
KLC1,2.46e-10,kinesin light chain 1,+-+-,+++---+-,--+-++,+,0.0424,1,corpus callosum < telencephalic commissures,Sympathetic cholinergic neurons,0.629
RHOA,7.1e-07,ras homolog family member A,-++-,-+++++-+,+--+++,+,0.0429,1,corpus callosum < telencephalic commissures,Sympathetic noradrenergic neurons,0.68
PPP6C,1.1e-06,protein phosphatase 6 catalytic subunit,++++,++++----,---+-+,-,0.0463,1,reticular nucleus of thalamus < ventral thalamus,Sympathetic cholinergic neurons,0.577
AREL1,3.04e-08,apoptosis resistant E3 ubiquitin protein ligase 1,++++,--------,-+++--,-,0.0467,1,V <  anterior lobe of the vermis  <  vermis  < cerebellar cortex,Sympathetic noradrenergic neurons,0.305
KMT2A,1.28e-07,lysine methyltransferase 2A,-+-+,----+---,+++---,+,0.0474,1,VIIIB lateral hemisphere <  VIIIB  <  Posterior Lobe  <  cerebellar hemispheres  < cerebellar cortex,Cholinergic and monoaminergic neurons,0.42
ZNF536,1.62e-06,zinc finger protein 536,----,-+++---+,---+++,-,0.0505,1,corpus callosum < telencephalic commissures,Telencephalon inhibitory interneurons,0.527
SLC30A9,2.62e-07,solute carrier family 30 member 9,-+++,++++--+-,++---+,+,0.0513,1,lateral mammillary nucleus <  mammillary body  < mammillary region,Cholinergic and monoaminergic neurons,0.345
ZDHHC5,3.47e-08,zinc finger DHHC-type containing 5,+++-,------+-,++----,-,0.0518,1,dorsal lateral geniculate nucleus <  dorsal lateral geneiculate nucleus  < dorsal thalamus,Sympathetic cholinergic neurons,0.262
HIST1H2BF,3.58e-08,histone cluster 1 H2B family member f,--++,++++++++,Filtered_Out,+,0.0561,1,central glial substance <  myelencephalon  < gray matter,Ependymal cells,Not_Available
ASXL3,2.06e-06,ASXL transcriptional regulator 3,-+-+,----+++-,+++--+,-,0.0574,1,superior rostral gyrus < frontal lobe,Peripheral sensory non-peptidergic neurons,0.787
TCF4,4.55e-16,transcription factor 4,++-+,-+----+-,+-++-+,+,0.0579,1,VIIB <  posterior lobe of the vermis  <  vermis  < cerebellar cortex,Telencephalon inhibitory interneurons,0.968
ZKSCAN8,2.01e-13,zinc finger with KRAB and SCAN domains 8,-+-+,+++-----,Filtered_Out,-,0.0609,1,globus pallidus external segment <  globus pallidus  < basal ganglia,Hindbrain neurons,0.45
MARK3,2.68e-07,microtubule affinity regulating kinase 3,+++-,+-+-+---,+-++--,-,0.061,1,III paravermis <  III  <  Anterior Lobe  <  cerebellar hemispheres  < cerebellar cortex,Peripheral sensory neurofilament neurons,0.125
C3orf84,2.53e-07,chromosome 3 open reading frame 84,+-++,Not_Available,Not_Available,+,0.0615,1,subcuneiform nucleus < midbrain reticular formation,Telencephalon projecting inhibitory neurons,Not_Available
CAMKK2,1.88e-06,calcium/calmodulin dependent protein kinase kinase 2,+++-,-+-+++++,++----,-,0.0624,1,IX paravermis <  IX  <  Posterior Lobe  <  cerebellar hemispheres  < cerebellar cortex,Telencephalon projecting excitatory neurons,0.565
CTTNBP2,1.26e-07,cortactin binding protein 2,-+-+,+-+-----,+--++-,-,0.0644,1,corpus callosum < telencephalic commissures,Telencephalon projecting excitatory neurons,0.808
RABEPK,1.56e-06,Rab9 effector protein with kelch motifs,+-+-,-++-++++,-----+,-,0.0652,1,zona incerta <  ventral thalamus  < thalamus,Sympathetic cholinergic neurons,0.136
MR1,6.25e-08,"major histocompatibility complex, class I-related",++++,++++----,--+-++,+,0.0719,1,central glial substance <  myelencephalon  < gray matter,Choroid epithelial cells,0.814
ZCCHC7,4.19e-12,zinc finger CCHC-type containing 7,++--,+---++++,+-++++,+,0.0725,1,dentate gyrus <  hippocampal formation  < limbic lobe,Hindbrain neurons,0.646
PLCL1,7.79e-07,phospholipase C like 1 (inactive),-+--,++++----,-----+,-,0.0743,1,inferior olivary complex <  myelencephalon  < gray matter,Oligodendrocytes,0.831
USP3,2.49e-06,ubiquitin specific peptidase 3,-+--,+++-----,--++--,-,0.0747,1,V lateral hemisphere <  V  <  Anterior Lobe  <  cerebellar hemispheres  < cerebellar cortex,Enteric neurons,0.564
PQLC2L,7.05e-09,PQ loop repeat containing 2 like,+++-,--+-----,Filtered_Out,-,0.0756,1,Not_Available,Not_Available,0.761
ZNF165,1.95e-12,zinc finger protein 165,--++,--+-++++,Filtered_Out,+,0.0761,1,dentate nucleus < cerebellar nuclei,Not_Available,0.958
DENND1A,1.54e-14,DENN domain containing 1A,+-++,----++++,-++---,-,0.0774,1,basolateral nucleus < amygdala,Cholinergic and monoaminergic neurons,0.599
FADS2,1.94e-08,fatty acid desaturase 2,++--,+-+-----,+-----,-,0.0822,1,central glial substance <  myelencephalon  < gray matter,Satellite glia,0.768
NOX4,1.16e-06,NADPH oxidase 4,++--,+++++++-,Filtered_Out,+,0.0837,1,abducens nucleus < pontine tegmentum,Enteric neurons,0.906
BTN2A1,6.69e-12,butyrophilin subfamily 2 member A1,--+-,--+-----,-+-+-+,-,0.0851,1,VIIIB lateral hemisphere <  VIIIB  <  Posterior Lobe  <  cerebellar hemispheres  < cerebellar cortex,Not_Available,0.42
BTN3A2,3.96e-13,butyrophilin subfamily 3 member A2,+---,+-+----+,------,-,0.0907,1,supraoptic nucleus < anterior hypothalamic region,Not_Available,0.845
ZFHX4,5.27e-09,zinc finger homeobox 4,----,--+-----,+-++++,-,0.0924,1,subthalamic nucleus < subthalamus,Cholinergic and monoaminergic neurons,0.799
BAG5,9.18e-07,BCL2 associated athanogene 5,-++-,-+++----,--+-+-,-,0.0961,1,VIIIB lateral hemisphere <  VIIIB  <  Posterior Lobe  <  cerebellar hemispheres  < cerebellar cortex,Sympathetic cholinergic neurons,0.595
C11orf31,5.11e-07,selenoprotein H,+-+-,--+++++-,+-----,-,0.102,1,superior temporal gyrus lateral bank of gyrus <  superior temporal gyrus  < temporal lobe,Sympathetic cholinergic neurons,Not_Available
C1QTNF7,2.61e-06,C1q and TNF related 7,--+-,----+++-,Filtered_Out,-,0.102,1,central nucleus < amygdala,Sympathetic cholinergic neurons,0.915
KIAA1143,5e-07,KIAA1143,-+--,++++-++-,--++++,+,0.103,1,locus ceruleus < pontine tegmentum,Sympathetic noradrenergic neurons,0.409
CHMP3,4e-07,charged multivesicular body protein 3,++++,++++++++,-+--++,+,0.103,1,claustrum < cerebral nuclei,Sympathetic cholinergic neurons,Not_Available
MED19,1.75e-07,mediator complex subunit 19,+-+-,++--++++,-+++-+,+,0.105,1,CA4 field <  hippocampal formation  < limbic lobe,Sympathetic cholinergic neurons,0.125
TMX2,1.49e-07,thioredoxin related transmembrane protein 2,+++-,++++---+,Not_Available,+,0.11,1,subthalamic nucleus < subthalamus,Sympathetic noradrenergic neurons,0.238
ZSCAN9,8.28e-13,zinc finger and SCAN domain containing 9,-+++,-++-++++,Filtered_Out,+,0.123,1,VIIIB lateral hemisphere <  VIIIB  <  Posterior Lobe  <  cerebellar hemispheres  < cerebellar cortex,Not_Available,0.315
ZNF501,5.35e-07,zinc finger protein 501,-+--,--+-+---,Filtered_Out,-,0.123,1,VIIIB lateral hemisphere <  VIIIB  <  Posterior Lobe  <  cerebellar hemispheres  < cerebellar cortex,Not_Available,0.179
FAM120A,3.67e-08,family with sequence similarity 120A,---+,----+-+-,+++-++,+,0.127,1,inferior olivary complex <  myelencephalon  < gray matter,Enteric neurons,0.649
HARS2,1.35e-06,"histidyl-tRNA synthetase 2, mitochondrial",++++,+++--++-,+++---,+,0.132,1,VIIIB lateral hemisphere <  VIIIB  <  Posterior Lobe  <  cerebellar hemispheres  < cerebellar cortex,Cholinergic and monoaminergic neurons,0.143
OR2B2,2.79e-12,olfactory receptor family 2 subfamily B member 2,+++-,Not_Available,Filtered_Out,+,0.135,1,hypoglossal nucleus <  myelencephalon  < gray matter,Hindbrain neurons,0.0751
PCDHA3,1.06e-07,protocadherin alpha 3,-+-+,+++++-+-,Filtered_Out,+,0.139,1,midbrain raphe nuclei < midbrain tegmentum,Cholinergic and monoaminergic neurons,0.0941
IGSF6,1.56e-09,immunoglobulin superfamily member 6,---+,++++++++,Filtered_Out,+,0.144,1,substantia nigra pars reticulata < substantia nigra,Perivascular macrophages,0.904
OR12D3,1.2e-09,olfactory receptor family 12 subfamily D member 3,-+++,Not_Available,Filtered_Out,+,0.149,1,lateral tuberal nucleus < tuberal region,Gene detected; No expression measured,0.0523
FADS1,1.25e-07,fatty acid desaturase 1,++--,+++-----,--++-+,-,0.149,1,central glial substance <  myelencephalon  < gray matter,Satellite glia,0.866
PCNP,2.33e-07,PEST proteolytic signal containing nuclear protein,-+++,++-+-+-+,---+-+,+,0.154,1,globus pallidus external segment <  globus pallidus  < basal ganglia,Enteric neurons,0.406
ZNF184,3.34e-08,zinc finger protein 184,+++-,----+-+-,+++---,-,0.155,1,CA1 field <  hippocampal formation  < limbic lobe,Non-glutamatergic neuroblasts,0.368
TMEM258,5.55e-07,transmembrane protein 258,----,+++-++++,---+--,-,0.155,1,corpus callosum < telencephalic commissures,Sympathetic noradrenergic neurons,0.218
MAP9,7.15e-07,microtubule associated protein 9,++++,++-+----,-+-+++,+,0.156,1,medial mammillary nucleus <  mammillary body  < mammillary region,Cholinergic and monoaminergic neurons,0.931
TOPAZ1,3.6e-07,testis and ovary specific PAZ domain containing 1,-+++,++++---+,Not_Available,+,0.156,1,CA1 field <  hippocampal formation  < limbic lobe,Peripheral sensory non-peptidergic neurons,Not_Available
NEGR1,3.55e-15,neuronal growth regulator 1,++++,-+-+--+-,++-+++,+,0.157,1,lingual gyrus striate <  lingual gyrus  < occipital lobe,Cholinergic and monoaminergic neurons,0.974
NRD1,2.66e-08,nardilysin convertase,++++,++--++--,--+---,-,0.163,1,dorsal lateral geniculate nucleus <  dorsal lateral geneiculate nucleus  < dorsal thalamus,Enteric neurons,Not_Available
TOP1,1.66e-06,DNA topoisomerase I,----,----+---,+-++-+,-,0.163,1,VIIIA <  posterior lobe of the vermis  <  vermis  < cerebellar cortex,Enteric neurons,0.618
CDH22,1.88e-07,cadherin 22,+-+-,+---++++,+++--+,+,0.169,1,IV <  anterior lobe of the vermis  <  vermis  < cerebellar cortex,Cholinergic and monoaminergic neurons,0.324
MEF2C,1.58e-12,myocyte enhancer factor 2C,++++,++-++++-,++---+,+,0.171,1,lingual gyrus striate <  lingual gyrus  < occipital lobe,Telencephalon projecting excitatory neurons,0.978
ASCC3,8.91e-08,activating signal cointegrator 1 complex subunit 3,++-+,+++-----,-+-+++,+,0.171,1,dentate gyrus <  hippocampal formation  < limbic lobe,Enteric neurons,0.774
RANGAP1,3.07e-08,Ran GTPase activating protein 1,+-+-,+-+++-++,++----,-,0.175,1,supramarginal gyrus superior bank of gyrus <  supramarginal gyrus  <  inferior parietal lobule  < parietal lobe,Cholinergic and monoaminergic neurons,0.525
ADCK3,1.43e-08,coenzyme Q8A,+++-,++++--+-,+-----,+,0.175,1,V lateral hemisphere <  V  <  Anterior Lobe  <  cerebellar hemispheres  < cerebellar cortex,Sympathetic noradrenergic neurons,Not_Available
PRSS16,6.41e-09,serine protease 16,+++-,Missing_P_Values,Filtered_Out,+,0.181,1,postcentral gyrus superior lateral aspect of gyrus <  postcentral gyrus  < parietal lobe,Sympathetic noradrenergic neurons,0.734
HIST1H3I,6.38e-10,histone cluster 1 H3 family member i,-+++,Not_Available,Filtered_Out,+,0.181,1,V <  anterior lobe of the vermis  <  vermis  < cerebellar cortex,Satellite glia,0.451
MARCH10,2.76e-07,membrane associated ring-CH-type finger 10,++--,+-++++-+,Not_Available,-,0.185,1,central glial substance <  myelencephalon  < gray matter,Ependymal cells,0.2
PLA2R1,3.98e-07,phospholipase A2 receptor 1,---+,--+-+++-,Filtered_Out,-,0.185,1,IV lateral hemisphere <  IV  <  Anterior Lobe  <  cerebellar hemispheres  < cerebellar cortex,Vascular smooth muscle cells,0.687
PPID,2.41e-06,peptidylprolyl isomerase D,-++-,+++++-++,---+-+,+,0.185,1,subthalamic nucleus < subthalamus,Sympathetic noradrenergic neurons,0.116
C7orf72,8.26e-07,spermatogenesis associated 48,----,Not_Available,Not_Available,-,0.187,1,Not_Available,Peripheral sensory non-peptidergic neurons,Not_Available
CDH9,9.7e-07,cadherin 9,-+++,+---+++-,++--++,+,0.19,1,dentate gyrus <  hippocampal formation  < limbic lobe,Dentate gyrus granule neurons,0.0139
RBFOX1,6.09e-17,RNA binding fox-1 homolog 1,++++,---+++++,++----,-,0.19,1,dentate gyrus <  hippocampal formation  < limbic lobe,Peripheral sensory non-peptidergic neurons,0.717
HIST1H1B,9.97e-14,histone cluster 1 H1 family member b,-++-,Not_Available,Filtered_Out,-,0.205,1,III paravermis <  III  <  Anterior Lobe  <  cerebellar hemispheres  < cerebellar cortex,Not_Available,0.491
ZNF322,3.72e-07,zinc finger protein 322,-+++,--++-+++,++++-+,+,0.206,1,zona incerta <  ventral thalamus  < thalamus,Cholinergic and monoaminergic neurons,0.256
FAM120AOS,2.42e-06,family with sequence similarity 120A opposite strand,+++-,++++-++-,Not_Available,+,0.209,1,caudal group of intralaminar nuclei < dorsal thalamus,Not_Available,0.504
ZNF660,2.47e-10,zinc finger protein 660,++-+,--------,Filtered_Out,-,0.212,1,central glial substance <  myelencephalon  < gray matter,Not_Available,0.142
HIST1H2BL,3.54e-12,histone cluster 1 H2B family member l,++-+,+++++++-,Not_Available,+,0.216,1,central glial substance <  myelencephalon  < gray matter,Non-glutamatergic neuroblasts,0.0554
ZNF445,3.53e-10,zinc finger protein 445,++--,--+-+---,++++++,-,0.216,1,dentate gyrus <  hippocampal formation  < limbic lobe,Enteric neurons,0.138
FH,1.47e-06,fumarate hydratase,+++-,+++++++-,-+-+-+,+,0.223,1,dentate gyrus <  hippocampal formation  < limbic lobe,Sympathetic cholinergic neurons,0.609
CDH13,1.59e-11,cadherin 13,-+++,---++-+-,+++--+,-,0.24,1,reticular nucleus of thalamus < ventral thalamus,Cholinergic and monoaminergic neurons,0.826
SF3B1,1.78e-08,splicing factor 3b subunit 1,-+-+,+++-+---,+--+++,+,0.241,1,corpus callosum < telencephalic commissures,Enteric neurons,0.542
GINM1,2.54e-06,glycoprotein integral membrane 1,-+--,+++++---,+--+++,+,0.241,1,corpus callosum < telencephalic commissures,Sympathetic noradrenergic neurons,0.416
SOX6,4.17e-07,SRY-box 6,-+-+,+++-+---,Filtered_Out,-,0.243,1,nucleus of the diagonal band horizontal division <  nucleus of the diagonal band  <  substantia innominata  < basal forebrain,Oligodendrocyte precursor cells,0.933
HIST1H2BN,6.9e-17,histone cluster 1 H2B family member n,----,----++++,Filtered_Out,+,0.243,1,III paravermis <  III  <  Anterior Lobe  <  cerebellar hemispheres  < cerebellar cortex,Non-glutamatergic neuroblasts,0.121
EPHB2,1.04e-06,EPH receptor B2,--+-,---+--+-,+++---,-,0.246,1,corpus callosum < telencephalic commissures,Enteric glia,0.805
B3GALTL,5.7e-12,beta 3-glucosyltransferase,-++-,-++-----,---+-+,-,0.247,1,lateral group of nuclei dorsal division <  lateral group of nuclei  < dorsal thalamus,Not_Available,Not_Available
CDK14,2.93e-07,cyclin dependent kinase 14,++++,++-+-+++,+----+,+,0.251,1,CA4 field <  hippocampal formation  < limbic lobe,Cholinergic and monoaminergic neurons,0.772
CCS,2.3e-06,copper chaperone for superoxide dismutase,+---,--+-++++,++-++-,+,0.252,1,zona incerta <  ventral thalamus  < thalamus,Sympathetic cholinergic neurons,0.214
KYNU,2.38e-06,kynureninase,+--+,-++++-++,Filtered_Out,+,0.256,1,supraoptic nucleus < anterior hypothalamic region,Peripheral sensory neurofilament neurons,0.993
DLST,8.87e-10,dihydrolipoamide S-succinyltransferase,+++-,--+-+---,Not_Available,+,0.269,1,dorsal lateral geniculate nucleus <  dorsal lateral geneiculate nucleus  < dorsal thalamus,Peripheral sensory neurofilament neurons,0.26
GTF2IRD1,2.15e-08,GTF2I repeat domain containing 1,----,+---++++,-+++--,-,0.28,1,dorsal lateral geniculate nucleus <  dorsal lateral geneiculate nucleus  < dorsal thalamus,Enteric neurons,0.528
BCHE,2.39e-07,butyrylcholinesterase,----,++++----,-+-+++,-,0.282,1,lateral group of nuclei dorsal division <  lateral group of nuclei  < dorsal thalamus,Enteric neurons,0.992
