gene_symbol,Howard_pvalue,gene_name,RamakerDir,LabonteDir,DingDir,meta_meta_higher_in_MDD_genome_percentile_rank,meta_meta_lower_in_MDD_genome_percentile_rank,meta_direction,meta_empirical_p,minp,Spearman_corr,Spearman_p,Corrected_meta_empirical_p,Bonferroni_meta_empirical_p,DE_Prior_Rank,brain_region,region_location,slim_region_location,cns_cell_type_taxon,cns_cell_type_taxon_zscore,cell_type_taxon,cell_type_taxon_zscore
ZNF638,1.83e-07,zinc finger protein 638,-+--,+++-+---,Not_Available,0.00701236137946454,0.00602799724695934,-,0.0121,0.001959458,-0.0253,0.68,3.24,1,0.685,VIIIB lateral hemisphere,VIIIB lateral hemisphere <  VIIIB  <  Posterior Lobe  <  cerebellar hemispheres  <  cerebellar cortex  <  cerebellum  <  metencephalon  < gray matter,VIIIB lateral hemisphere <  VIIIB  <  Posterior Lobe  <  cerebellar hemispheres  < cerebellar cortex,Not_Available,Not_Available,Not_Available,Not_Available
SPRY2,8.26e-07,sprouty RTK signaling antagonist 2,+---,--------,++-+--,0.00719863968763482,0.00796426853038854,+,0.0144,0.00653533,-0.0253,0.68,3.87,1,0.938,IX paravermis,IX paravermis <  IX  <  Posterior Lobe  <  cerebellar hemispheres  <  cerebellar cortex  <  cerebellum  <  metencephalon  < gray matter,IX paravermis <  IX  <  Posterior Lobe  <  cerebellar hemispheres  < cerebellar cortex,Enteric glia,4.11970794127568,Enteric neurons,3.47774007250763
CKB,1.76e-08,creatine kinase B,+-+-,++--++++,-++-+-,0.00728829986854737,0.00839578703588375,+,0.0146,1.82118e-05,-0.0253,0.68,3.92,1,0.864,dorsal lateral geniculate nucleus,dorsal lateral geniculate nucleus <  dorsal lateral geneiculate nucleus  <  dorsal thalamus  <  thalamus  <  diencephalon  < gray matter,dorsal lateral geniculate nucleus <  dorsal lateral geneiculate nucleus  < dorsal thalamus,Subcommissural organ hypendymal cells,2.33869058684455,Peripheral sensory neurofilament neurons,2.2233114665496
BAD,1.35e-06,BCL2 associated agonist of cell death,--+-,++++-+++,------,0.00946410350344158,0.00857537781824974,-,0.0172,0.001132037,-0.0253,0.68,4.61,1,0.264,superior rostral gyrus,superior rostral gyrus <  frontal lobe  <  cerebral cortex  <  telencephalon  < gray matter,superior rostral gyrus < frontal lobe,Spinal cord inhibitory neurons,2.00196292077959,Sympathetic cholinergic neurons,4.23641507854015
RERE,1.43e-11,arginine-glutamic acid dipeptide repeats,++++,----++++,+++-+-,0.0108714132806723,0.00875814260331678,-,0.0175,0.00061161,-0.0253,0.68,4.71,1,0.53,V lateral hemisphere,V lateral hemisphere <  V  <  Anterior Lobe  <  cerebellar hemispheres  <  cerebellar cortex  <  cerebellum  <  metencephalon  < gray matter,V lateral hemisphere <  V  <  Anterior Lobe  <  cerebellar hemispheres  < cerebellar cortex,Cholinergic and monoaminergic neurons,4.01214474981103,Sympathetic cholinergic neurons,2.97042255583533
EXT1,1.2e-06,exostosin glycosyltransferase 1,-+++,----+++-,++++-+,0.0144335451465694,0.0105308887955898,-,0.0211,0.010276231,-0.0253,0.68,5.67,1,0.81,CA1 field,CA1 field <  hippocampal formation  <  limbic lobe  <  cerebral cortex  <  telencephalon  < gray matter,CA1 field <  hippocampal formation  < limbic lobe,Ependymal cells,3.73397788580322,Ependymal cells,3.69044701771994
SERPING1,2.45e-06,serpin family G member 1,++++,---+++++,-++-++,0.0110589879840681,0.0121190862288983,+,0.0221,0.00408470453012042,-0.0253,0.68,5.95,1,0.983,central glial substance,central glial substance <  myelencephalon  < gray matter,central glial substance <  myelencephalon  < gray matter,Vascular and leptomeningeal cells,5.32011632751613,Vascular and leptomeningeal cells,4.13708695278917
ITPR3,1.55e-06,"inositol 1,4,5-trisphosphate receptor type 3",++--,++--++++,Filtered_Out,0.0156587391504492,0.0114963261144706,-,0.023,0.001833984,-0.0253,0.68,6.19,1,0.733,supraoptic nucleus,supraoptic nucleus <  anterior hypothalamic region  <  hypothalamus  <  diencephalon  < gray matter,supraoptic nucleus < anterior hypothalamic region,Satellite glia,3.93754857362934,Satellite glia,4.27437577594778
ANKS1B,1.5e-06,ankyrin repeat and sterile alpha motif domain containing 1B,-+++,----++--,--++++,0.0125125647772502,0.0144526117849798,+,0.025,0.008015543,-0.0253,0.68,6.73,1,0.695,CA1 field,CA1 field <  hippocampal formation  <  limbic lobe  <  cerebral cortex  <  telencephalon  < gray matter,CA1 field <  hippocampal formation  < limbic lobe,Oligodendrocytes,3.46016684887029,Oligodendrocytes,3.62757275479769
TCF4,4.55e-16,transcription factor 4,++-+,-+----+-,+-++-+,0.0154200106408179,0.0125580787010261,-,0.0251,0.002236053,-0.0253,0.68,6.76,1,0.968,VIIB,VIIB <  posterior lobe of the vermis  <  vermis  <  cerebellar cortex  <  cerebellum  <  metencephalon  < gray matter,VIIB <  posterior lobe of the vermis  <  vermis  < cerebellar cortex,Telencephalon inhibitory interneurons,4.0084051754747,Telencephalon inhibitory interneurons,3.77388307459323
VRK2,9.97e-09,VRK serine/threonine kinase 2,----,++++---+,---+++,0.0126871350121248,0.0210401526228251,+,0.0254,0.0260458185966635,-0.0253,0.68,6.83,1,0.546,corpus callosum,corpus callosum <  telencephalic commissures  <  telencephalic white matter  < white matter,corpus callosum < telencephalic commissures,Microglia,3.92241044956466,Microglia,4.24111531018962
ZNF536,1.62e-06,zinc finger protein 536,----,-+++---+,---+++,0.0129287128562478,0.0198282398609239,+,0.0259,0.0126016847177931,-0.0253,0.68,6.96,1,0.527,corpus callosum,corpus callosum <  telencephalic commissures  <  telencephalic white matter  < white matter,corpus callosum < telencephalic commissures,Telencephalon inhibitory interneurons,2.76402611732913,Telencephalon inhibitory interneurons,2.84477685813301
HLA-B,4.33e-11,"major histocompatibility complex, class I, B",+-+-,++++++++,+--+--,0.0174760257911998,0.0132220467106299,-,0.0264,0.005617603,-0.0253,0.68,7.11,1,0.771,supraoptic nucleus,supraoptic nucleus <  anterior hypothalamic region  <  hypothalamus  <  diencephalon  < gray matter,supraoptic nucleus < anterior hypothalamic region,Not_Available,Not_Available,Not_Available,Not_Available
ARHGEF25,1.9e-06,Rho guanine nucleotide exchange factor 25,+-++,+---++++,Not_Available,0.022878680627079,0.0138433750490658,-,0.0277,0.00242952,-0.0253,0.68,7.45,1,0.292,VI paravermis,VI paravermis <  VI  <  Posterior Lobe  <  cerebellar hemispheres  <  cerebellar cortex  <  cerebellum  <  metencephalon  < gray matter,VI paravermis <  VI  <  Posterior Lobe  <  cerebellar hemispheres  < cerebellar cortex,Telencephalon projecting excitatory neurons,3.01383272171116,Peripheral sensory neurofilament neurons,2.86825843392875
RFTN2,5.41e-07,raftlin family member 2,----,++++----,---+++,0.0144410835453203,0.0198647628328748,+,0.0289,0.0363944585616798,-0.0253,0.68,7.77,1,0.444,corpus callosum,corpus callosum <  telencephalic commissures  <  telencephalic white matter  < white matter,corpus callosum < telencephalic commissures,Enteric glia,3.07228894242944,Enteric glia,3.28226436108575
UBE2M,8.89e-07,ubiquitin conjugating enzyme E2 M,+-+-,-+--++++,+---++,0.0148048847793157,0.0158877599955504,+,0.0296,4.9052e-05,-0.0253,0.68,7.97,1,Not_Available,parolfactory gyri,parolfactory gyri <  frontal lobe  <  cerebral cortex  <  telencephalon  < gray matter,parolfactory gyri < frontal lobe,Cholinergic and monoaminergic neurons,3.22987670847492,Peripheral sensory neurofilament neurons,3.17743122694966
TRAF3,3.17e-07,TNF receptor associated factor 3,+-++,-----++-,+-----,0.017196172354301,0.0154571292855384,-,0.0309,0.011555865,-0.0253,0.68,8.32,1,0.428,central glial substance,central glial substance <  myelencephalon  < gray matter,central glial substance <  myelencephalon  < gray matter,Hindbrain neurons,3.26811898489611,Hindbrain neurons,2.9800683009023
ACVR1B,5.28e-07,activin A receptor type 1B,++++,---+--++,++++--,0.0154882864750651,0.0266849913053887,+,0.031,0.0169283788508056,-0.0253,0.68,8.33,1,0.523,CA3 field,CA3 field <  hippocampal formation  <  limbic lobe  <  cerebral cortex  <  telencephalon  < gray matter,CA3 field <  hippocampal formation  < limbic lobe,Cholinergic and monoaminergic neurons,3.24965263686334,Cholinergic and monoaminergic neurons,3.23201938751616
C3orf84,2.53e-07,chromosome 3 open reading frame 84,+-++,Not_Available,Not_Available,0.0161419119324663,0.0310842411452689,+,0.0323,0.0366523586087485,-0.0253,0.68,8.68,1,Not_Available,subcuneiform nucleus,subcuneiform nucleus <  midbrain reticular formation  <  midbrain tegmentum  <  mesencephalon  < gray matter,subcuneiform nucleus < midbrain reticular formation,Telencephalon projecting inhibitory neurons,4.07045432829706,Telencephalon projecting inhibitory neurons,4.45555292702574
C11orf31,5.11e-07,selenoprotein H,+-+-,--+++++-,+-----,0.0256390185150226,0.0186543627517743,-,0.0373,0.002668892,-0.0253,0.68,10,1,Not_Available,Not_Available,Not_Available,Not_Available,Not_Available,Not_Available,Not_Available,Not_Available
SLC4A9,2.66e-06,solute carrier family 4 member 9,----,-++----+,Filtered_Out,0.0187210945058269,0.0202533875636281,+,0.0374,0.020928616,-0.0253,0.68,10.1,1,0.393,principal sensory nucleus of trigeminal nerve,principal sensory nucleus of trigeminal nerve <  trigeminal nuclei  <  pontine tegmentum  <  pons  <  metencephalon  < gray matter,principal sensory nucleus of trigeminal nerve <  trigeminal nuclei  < pontine tegmentum,Hindbrain neurons,4.39906864973554,Hindbrain neurons,4.77984052043041
YLPM1,3.52e-10,YLP motif containing 1,-+--,----+--+,Not_Available,0.0260359371983981,0.0194719577021747,-,0.0389,0.001039362,-0.0253,0.68,10.5,1,0.157,dentate gyrus,dentate gyrus <  hippocampal formation  <  limbic lobe  <  cerebral cortex  <  telencephalon  < gray matter,dentate gyrus <  hippocampal formation  < limbic lobe,Cholinergic and monoaminergic neurons,2.78122141791888,Cholinergic and monoaminergic neurons,2.74398735586121
FAM120A,3.67e-08,family with sequence similarity 120A,---+,----+-+-,+++-++,0.019530919860486,0.0198915438178114,+,0.0391,0.037996298,-0.0253,0.68,10.5,1,0.649,inferior olivary complex,inferior olivary complex <  myelencephalon  < gray matter,inferior olivary complex <  myelencephalon  < gray matter,Cholinergic and monoaminergic neurons,3.35098614265464,Enteric neurons,2.57443704514341
MARCH10,2.76e-07,membrane associated ring-CH-type finger 10,++--,+-++++-+,Not_Available,0.0195612282585038,0.0205645694124954,+,0.0391,0.017448756,-0.0253,0.68,10.5,1,0.2,Not_Available,Not_Available,Not_Available,Not_Available,Not_Available,Not_Available,Not_Available
C16orf45,1.86e-09,BMERB Domain Containing 1,+-+-,---+++++,--++-+,0.0250275126759651,0.0210449800074826,-,0.0421,0.000958753,-0.0253,0.68,11.3,1,0.584,Not_Available,Not_Available,Not_Available,Not_Available,Not_Available,Not_Available,Not_Available
SEMA6D,4.1e-09,semaphorin 6D,-++-,-++-----,+-+-+-,0.0280310678824091,0.02144302951109,-,0.0429,0.00427009,-0.0253,0.68,11.5,1,0.981,substantia nigra pars compacta,substantia nigra pars compacta <  substantia nigra  <  midbrain tegmentum  <  mesencephalon  < gray matter,substantia nigra pars compacta < substantia nigra,Hindbrain neurons,2.92414767067453,Sympathetic cholinergic neurons,3.0507872490882
ZDHHC21,7.5e-09,zinc finger DHHC-type containing 21,++++,-+------,---++-,0.0240566698832058,0.0215296838410788,-,0.0431,0.014756273,-0.0253,0.68,11.6,1,0.752,Not_Available,Not_Available,Not_Available,Not_Available,Not_Available,Not_Available,Not_Available
OLFM4,1.7e-12,olfactomedin 4,++++,++-++++-,Filtered_Out,0.0239941386656784,0.0229300005845038,-,0.0459,0.0449306657323324,-0.0253,0.68,12.3,1,0.99,supraoptic nucleus,supraoptic nucleus <  anterior hypothalamic region  <  hypothalamus  <  diencephalon  < gray matter,supraoptic nucleus < anterior hypothalamic region,Peptidergic neurons,4.1737192292522,Peptidergic neurons,4.56491232412
RABEPK,1.56e-06,Rab9 effector protein with kelch motifs,+-+-,-++-++++,-----+,0.0246592117712494,0.0231201101567038,-,0.0462,0.011639513,-0.0253,0.68,12.4,1,0.136,zona incerta,zona incerta <  ventral thalamus  <  thalamus  <  diencephalon  < gray matter,zona incerta <  ventral thalamus  < thalamus,Telencephalon inhibitory interneurons,1.92644249067401,Sympathetic cholinergic neurons,3.30391231298682
PLCL1,7.79e-07,phospholipase C like 1 (inactive),-+--,++++----,-----+,0.0242437859596308,0.0313407721235899,+,0.0485,0.019769308,-0.0253,0.68,13,1,0.831,inferior olivary complex,inferior olivary complex <  myelencephalon  < gray matter,inferior olivary complex <  myelencephalon  < gray matter,Oligodendrocytes,3.74231229931164,Oligodendrocytes,3.5006278468572
SOX5,3.79e-09,SRY-box 5,++-+,--------,Filtered_Out,0.0461860016273284,0.025379260248266,-,0.0508,0.040092956,-0.0253,0.68,13.7,1,0.654,Not_Available,Not_Available,Not_Available,Not_Available,Not_Available,Not_Available,Not_Available
SCYL1,6.11e-08,SCY1 like pseudokinase 1,+++-,++++++++,-++---,0.026671643576567,0.0264966322173644,-,0.053,0.001734011,-0.0253,0.68,14.3,1,0.207,dorsal lateral geniculate nucleus,dorsal lateral geniculate nucleus <  dorsal lateral geneiculate nucleus  <  dorsal thalamus  <  thalamus  <  diencephalon  < gray matter,dorsal lateral geniculate nucleus <  dorsal lateral geneiculate nucleus  < dorsal thalamus,Hindbrain neurons,3.09359475213099,Sympathetic cholinergic neurons,2.96996663171946
CELF2,7.52e-08,CUGBP Elav-like family member 2,++++,--------,+-+---,0.0346579307678933,0.027107175092454,-,0.0542,0.016642978,-0.0253,0.68,14.6,1,0.948,lateral group of nuclei ventral division,lateral group of nuclei ventral division <  lateral group of nuclei  <  dorsal thalamus  <  thalamus  <  diencephalon  < gray matter,lateral group of nuclei ventral division <  lateral group of nuclei  < dorsal thalamus,Telencephalon projecting excitatory neurons,3.19408551876449,Telencephalon projecting excitatory neurons,3.45968749332584
HARS,2.1e-07,histidyl-tRNA synthetase,+-+-,+-+-++++,+++-+-,0.0274632620822028,0.0435340532965892,+,0.0549,0.005687828,-0.0253,0.68,14.8,1,0.113,Not_Available,Not_Available,Not_Available,Not_Available,Not_Available,Not_Available,Not_Available
CAMKK2,1.88e-06,calcium/calmodulin dependent protein kinase kinase 2,+++-,-+-+++++,++----,0.0279323753607604,0.0288272558886929,+,0.0559,0.002338858,-0.0253,0.68,15,1,0.565,IX paravermis,IX paravermis <  IX  <  Posterior Lobe  <  cerebellar hemispheres  <  cerebellar cortex  <  cerebellum  <  metencephalon  < gray matter,IX paravermis <  IX  <  Posterior Lobe  <  cerebellar hemispheres  < cerebellar cortex,Telencephalon projecting excitatory neurons,4.55248354135044,Telencephalon projecting excitatory neurons,4.56797675895
KDM3A,1.76e-09,lysine demethylase 3A,-++-,+++-----,Not_Available,0.0543668667313169,0.0294060996068416,-,0.0588,0.005746965,-0.0253,0.68,15.8,1,0.316,globus pallidus internal segment,globus pallidus internal segment <  globus pallidus  <  basal ganglia  <  cerebral nuclei  <  telencephalon  < gray matter,globus pallidus internal segment <  globus pallidus  < basal ganglia,Ependymal cells,3.98128113265545,Ependymal cells,3.59907718503345
CTNND1,7.75e-08,catenin delta 1,-+-+,----+-+-,----+-,0.0302993298074096,0.0294148705653218,-,0.0588,0.001687079,-0.0253,0.68,15.8,1,Not_Available,central glial substance,central glial substance <  myelencephalon  < gray matter,central glial substance <  myelencephalon  < gray matter,Pericytes,3.14436050159554,Peripheral sensory non-peptidergic neurons,3.04181193393998
KMT2A,1.28e-07,lysine methyltransferase 2A,-+-+,----+---,+++---,0.0315899170572903,0.0295847253924532,-,0.0592,0.001785206,-0.0253,0.68,15.9,1,0.42,VIIIB lateral hemisphere,VIIIB lateral hemisphere <  VIIIB  <  Posterior Lobe  <  cerebellar hemispheres  <  cerebellar cortex  <  cerebellum  <  metencephalon  < gray matter,VIIIB lateral hemisphere <  VIIIB  <  Posterior Lobe  <  cerebellar hemispheres  < cerebellar cortex,Cholinergic and monoaminergic neurons,3.78730180389794,Cholinergic and monoaminergic neurons,3.17745070473879
RTN1,1.71e-08,reticulon 1,++++,++-+-+++,-+--++,0.029672738329658,0.0335156427192954,+,0.0593,0.006195693,-0.0253,0.68,16,1,0.963,superior rostral gyrus,superior rostral gyrus <  frontal lobe  <  cerebral cortex  <  telencephalon  < gray matter,superior rostral gyrus < frontal lobe,Cholinergic and monoaminergic neurons,3.3682122135607,Sympathetic noradrenergic neurons,4.27437476304621
PCNP,2.33e-07,PEST proteolytic signal containing nuclear protein,-+++,++-+-+-+,---+-+,0.0340068267681828,0.0310927851045431,-,0.0622,0.013082865,-0.0253,0.68,16.7,1,0.406,globus pallidus external segment,globus pallidus external segment <  globus pallidus  <  basal ganglia  <  cerebral nuclei  <  telencephalon  < gray matter,globus pallidus external segment <  globus pallidus  < basal ganglia,Cholinergic and monoaminergic neurons,3.77531494749186,Enteric neurons,4.12396423066094
METTL9,1.74e-10,methyltransferase like 9,++++,+++++-+-,-++-++,0.0314465622295678,0.0411501189725586,+,0.0629,0.019618914,-0.0253,0.68,16.9,1,0.218,body of caudate nucleus,body of caudate nucleus <  body of the caudate nucleus  <  caudate nucleus  <  striatum  <  basal ganglia  <  cerebral nuclei  <  telencephalon  < gray matter,body of the caudate nucleus  <  caudate nucleus  <  striatum  < basal ganglia,Schwann cells,3.2002380803631,Schwann cells,3.07976530243268
PAX6,1.67e-09,paired box 6,++++,+-+-----,-----+,0.0325876843537113,0.03325856491951,+,0.0652,0.002175936,-0.0253,0.68,17.5,1,0.825,IX paravermis,IX paravermis <  IX  <  Posterior Lobe  <  cerebellar hemispheres  <  cerebellar cortex  <  cerebellum  <  metencephalon  < gray matter,IX paravermis <  IX  <  Posterior Lobe  <  cerebellar hemispheres  < cerebellar cortex,Subcommissural organ hypendymal cells,3.57040004683164,Subcommissural organ hypendymal cells,3.87975115204495
PPP6C,1.1e-06,protein phosphatase 6 catalytic subunit,++++,++++----,---+-+,0.0326055559623141,0.0380474861134596,+,0.0652,0.005052903,-0.0253,0.68,17.5,1,0.577,reticular nucleus of thalamus,reticular nucleus of thalamus <  ventral thalamus  <  thalamus  <  diencephalon  < gray matter,reticular nucleus of thalamus < ventral thalamus,Cholinergic and monoaminergic neurons,3.92426142099383,Sympathetic cholinergic neurons,2.94432522454954
ASXL3,2.06e-06,ASXL transcriptional regulator 3,-+-+,----+++-,+++--+,0.0450905591574222,0.033101876836889,-,0.0662,0.002256491,-0.0253,0.68,17.8,1,0.787,superior rostral gyrus,superior rostral gyrus <  frontal lobe  <  cerebral cortex  <  telencephalon  < gray matter,superior rostral gyrus < frontal lobe,Cholinergic and monoaminergic neurons,2.93661225160883,Peripheral sensory non-peptidergic neurons,3.94108342751378
BEND4,1.3e-07,BEN domain containing 4,-+++,---+----,Not_Available,0.0657521556060199,0.0349238959954124,-,0.0698,0.003839183,-0.0253,0.68,18.8,1,0.855,substantia nigra pars compacta,substantia nigra pars compacta <  substantia nigra  <  midbrain tegmentum  <  mesencephalon  < gray matter,substantia nigra pars compacta < substantia nigra,Cholinergic and monoaminergic neurons,4.22990046520913,Cholinergic and monoaminergic neurons,3.2158369602427
CHD6,1.38e-10,chromodomain helicase DNA binding protein 6,-+-+,++++++++,++++-+,0.0444245635145011,0.0380464536270065,-,0.0761,0.01774485,-0.0253,0.68,20.5,1,0.655,central glial substance,central glial substance <  myelencephalon  < gray matter,central glial substance <  myelencephalon  < gray matter,Cholinergic and monoaminergic neurons,3.31170008709823,Cholinergic and monoaminergic neurons,3.19207777428948
RBFOX1,6.09e-17,RNA binding fox-1 homolog 1,++++,---+++++,++----,0.0386547066057704,0.044548093012632,+,0.0773,0.027298127,-0.0253,0.68,20.8,1,0.717,dentate gyrus,dentate gyrus <  hippocampal formation  <  limbic lobe  <  cerebral cortex  <  telencephalon  < gray matter,dentate gyrus <  hippocampal formation  < limbic lobe,Telencephalon projecting excitatory neurons,3.00782697103188,Peripheral sensory non-peptidergic neurons,3.48888258302817
MGAT4C,1.22e-06,MGAT4 family member C,-+++,++------,--+--+,0.0503770434476829,0.0393758043708168,-,0.0788,0.002131326,-0.0253,0.68,21.2,1,0.272,dorsal motor nucleus of the vagus,dorsal motor nucleus of the vagus <  myelencephalon  < gray matter,dorsal motor nucleus of the vagus <  myelencephalon  < gray matter,Cholinergic and monoaminergic neurons,4.24420568019863,Cholinergic and monoaminergic neurons,3.66053389443231
ETFDH,1.44e-06,electron transfer flavoprotein dehydrogenase,++-+,+++-+---,+-+-++,0.0396110727633104,0.0461043758949748,+,0.0792,0.007798596,-0.0253,0.68,21.3,1,0.678,globus pallidus internal segment,globus pallidus internal segment <  globus pallidus  <  basal ganglia  <  cerebral nuclei  <  telencephalon  < gray matter,globus pallidus internal segment <  globus pallidus  < basal ganglia,Choroid epithelial cells,3.66003261839083,Sympathetic cholinergic neurons,4.06593704014729
BCHE,2.39e-07,butyrylcholinesterase,----,++++----,-+-+++,0.0410776277227608,0.0591642033941672,+,0.0822,0.0244277379407601,-0.0253,0.68,22.1,1,0.992,lateral group of nuclei dorsal division,lateral group of nuclei dorsal division <  lateral group of nuclei  <  dorsal thalamus  <  thalamus  <  diencephalon  < gray matter,lateral group of nuclei dorsal division <  lateral group of nuclei  < dorsal thalamus,Cholinergic and monoaminergic neurons,3.65495392504729,Enteric neurons,4.87376600228417
RANGAP1,3.07e-08,Ran GTPase activating protein 1,+-+-,+-+++-++,++----,0.0503634976744533,0.0418187982047615,-,0.0836,0.00819691,-0.0253,0.68,22.5,1,0.525,supramarginal gyrus superior bank of gyrus,supramarginal gyrus superior bank of gyrus <  supramarginal gyrus  <  inferior parietal lobule  <  parietal lobe  <  cerebral cortex  <  telencephalon  < gray matter,supramarginal gyrus superior bank of gyrus <  supramarginal gyrus  <  inferior parietal lobule  < parietal lobe,Cholinergic and monoaminergic neurons,3.86589602972963,Cholinergic and monoaminergic neurons,2.64465890210927
OR2B2,2.79e-12,olfactory receptor family 2 subfamily B member 2,+++-,Not_Available,Filtered_Out,0.0440337668263746,0.0630240118633434,+,0.0881,0.0336096061073688,-0.0253,0.68,23.7,1,0.0751,hypoglossal nucleus,hypoglossal nucleus <  myelencephalon  < gray matter,hypoglossal nucleus <  myelencephalon  < gray matter,Hindbrain neurons,5.57048499058233,Hindbrain neurons,6.08486984459331
ZMAT2,2.44e-06,zinc finger matrin-type 2,+-+-,++++++++,-+---+,0.0580200441444894,0.044116931219224,-,0.0882,0.024694837,-0.0253,0.68,23.7,1,0.203,putamen,putamen <  striatum  <  basal ganglia  <  cerebral nuclei  <  telencephalon  < gray matter,putamen <  striatum  < basal ganglia,Telencephalon projecting excitatory neurons,2.96086767032053,Sympathetic cholinergic neurons,3.38506255416219
PTPRS,2.3e-06,protein tyrosine phosphatase receptor type S,-+--,---+++++,------,0.0486093233426908,0.055441268095736,+,0.0972,0.066284551,-0.0253,0.68,26.2,1,0.624,dorsal lateral geniculate nucleus,dorsal lateral geniculate nucleus <  dorsal lateral geneiculate nucleus  <  dorsal thalamus  <  thalamus  <  diencephalon  < gray matter,dorsal lateral geniculate nucleus <  dorsal lateral geneiculate nucleus  < dorsal thalamus,Hindbrain neurons,3.52618069083407,Hindbrain neurons,3.41680827717013
