gene_symbol,Howard_pvalue,gene_name,RamakerDir,LabonteDir,DingDir,meta_meta_higher_in_MDD_genome_percentile_rank,meta_meta_lower_in_MDD_genome_percentile_rank,meta_direction,meta_empirical_p,minp,Spearman_corr,Spearman_p,Corrected_meta_empirical_p,Bonferroni_meta_empirical_p,DE_Prior_Rank,brain_region,region_location,slim_region_location,cns_cell_type_taxon,cns_cell_type_taxon_zscore,cell_type_taxon,cell_type_taxon_zscore
HMGN4,1.07e-06,high mobility group nucleosomal binding domain 4,+-,----,--,0.999222468427311,0.0155225332732544,-,0.031,0.03756133,0.0234,0.702,8.35,1,0.208,lateral mammillary nucleus,lateral mammillary nucleus <  mammillary body  <  mammillary region  <  hypothalamus  <  diencephalon  < gray matter,lateral mammillary nucleus <  mammillary body  < mammillary region,Not_Available,Not_Available,Not_Available,Not_Available
NOX4,1.16e-06,NADPH oxidase 4,-+,++++,Filtered_Out,0.0160525489655665,0.988736294074538,+,0.0321,0.015699898,0.0234,0.702,8.64,1,0.906,abducens nucleus,abducens nucleus <  pontine tegmentum  <  pons  <  metencephalon  < gray matter,abducens nucleus < pontine tegmentum,Spinal cord inhibitory neurons,3.06461486056945,Enteric neurons,4.55638009065575
RAB27B,1.39e-09,"RAB27B, member RAS oncogene family",+-,---+,Filtered_Out,0.97488939591172,0.0169408763149659,-,0.0339,0.022688391,0.0234,0.702,9.11,1,0.948,parahippocampal gyrus lateral bank of gyrus,parahippocampal gyrus lateral bank of gyrus <  parahippocampal gyrus  <  limbic lobe  <  cerebral cortex  <  telencephalon  < gray matter,parahippocampal gyrus lateral bank of gyrus <  parahippocampal gyrus  < limbic lobe,Cholinergic and monoaminergic neurons,4.79270573437319,Peripheral sensory non-peptidergic neurons,5.27957924833239
LTBP3,8.14e-07,latent transforming growth factor beta binding protein 3,-+,+-++,++,0.0218026869496316,0.944999953960661,+,0.0436,0.000514888,0.0234,0.702,11.7,1,0.827,central glial substance,central glial substance <  myelencephalon  < gray matter,central glial substance <  myelencephalon  < gray matter,Choroid epithelial cells,4.66919716502908,Choroid epithelial cells,4.40627315983146
SERPING1,2.45e-06,serpin family G member 1,++,+-++,++,0.0219098344755399,0.95590904531328,+,0.0438,0.0215217578097327,0.0234,0.702,11.8,1,0.983,central glial substance,central glial substance <  myelencephalon  < gray matter,central glial substance <  myelencephalon  < gray matter,Vascular and leptomeningeal cells,5.32011632751613,Vascular and leptomeningeal cells,4.13708695278917
SPRY2,8.26e-07,sprouty RTK signaling antagonist 2,--,---+,--,0.995353163985534,0.0300690382283216,-,0.0601,0.064850647,0.0234,0.702,16.2,1,0.938,IX paravermis,IX paravermis <  IX  <  Posterior Lobe  <  cerebellar hemispheres  <  cerebellar cortex  <  cerebellum  <  metencephalon  < gray matter,IX paravermis <  IX  <  Posterior Lobe  <  cerebellar hemispheres  < cerebellar cortex,Enteric glia,4.11970794127568,Enteric neurons,3.47774007250763
AP3B1,3.15e-07,adaptor related protein complex 3 subunit beta 1,-+,++++,+-,0.0304919588508311,0.939714901727125,+,0.061,0.023224813,0.0234,0.702,16.4,1,0.379,corpus callosum,corpus callosum <  telencephalic commissures  <  telencephalic white matter  < white matter,corpus callosum < telencephalic commissures,Choroid epithelial cells,2.82888960953247,Sympathetic noradrenergic neurons,2.41682075189858
SOX5,3.79e-09,SRY-box 5,--,---+,Filtered_Out,0.969095359647787,0.0324969427094319,-,0.065,0.057630408,0.0234,0.702,17.5,1,0.654,Not_Available,Not_Available,Not_Available,Not_Available,Not_Available,Not_Available,Not_Available
POGZ,3.16e-07,pogo transposable element derived with ZNF domain,--,+-++,+-,0.0346780959521871,0.339476712593805,+,0.0694,0.000341011,0.0234,0.702,18.7,1,0.0413,corpus callosum,corpus callosum <  telencephalic commissures  <  telencephalic white matter  < white matter,corpus callosum < telencephalic commissures,Cholinergic and monoaminergic neurons,2.69090360960431,Enteric neurons,2.55794199138711
PMFBP1,3.65e-07,polyamine modulated factor 1 binding protein 1,++,-+++,Filtered_Out,0.0393368353934563,0.97372978965716,+,0.0787,0.0715659214446759,0.0234,0.702,21.2,1,0.356,locus ceruleus,locus ceruleus <  pontine tegmentum  <  pons  <  metencephalon  < gray matter,locus ceruleus < pontine tegmentum,Cholinergic and monoaminergic neurons,3.63211686499626,Peripheral sensory neurofilament neurons,5.32364599048966
RTN1,1.71e-08,reticulon 1,+-,-+-+,--,0.974102292118293,0.0417146560982543,-,0.0834,0.016725,0.0234,0.702,22.4,1,0.963,superior rostral gyrus,superior rostral gyrus <  frontal lobe  <  cerebral cortex  <  telencephalon  < gray matter,superior rostral gyrus < frontal lobe,Cholinergic and monoaminergic neurons,3.3682122135607,Sympathetic noradrenergic neurons,4.27437476304621
ESRRG,1.31e-07,estrogen related receptor gamma,--,-+-+,--,0.929170763336107,0.0432317418598734,-,0.0865,0.004561798,0.0234,0.702,23.3,1,0.79,pontine nuclei,pontine nuclei <  basal part of pons  <  pons  <  metencephalon  < gray matter,pontine nuclei < basal part of pons,Hindbrain neurons,5.40182093186018,Hindbrain neurons,5.83466932445449
CCDC36,6.57e-07,coiled-coil domain containing 36,-+,+-+-,Filtered_Out,0.0436811432905426,0.947444136937379,+,0.0874,0.043414667,0.0234,0.702,23.5,1,0.054,Not_Available,Not_Available,Not_Available,Not_Available,Not_Available,Not_Available,Not_Available
PPP6C,1.1e-06,protein phosphatase 6 catalytic subunit,+-,-+--,--,0.991578000258847,0.0437084867121308,-,0.0874,0.050149438,0.0234,0.702,23.5,1,0.577,reticular nucleus of thalamus,reticular nucleus of thalamus <  ventral thalamus  <  thalamus  <  diencephalon  < gray matter,reticular nucleus of thalamus < ventral thalamus,Cholinergic and monoaminergic neurons,3.92426142099383,Sympathetic cholinergic neurons,2.94432522454954
RFWD2,7e-09,COP1 E3 ubiquitin ligase,+-,-++-,--,0.964170107394316,0.0449718790649362,-,0.0899,0.116954758593085,0.0234,0.702,24.2,1,0.202,Not_Available,Not_Available,Not_Available,Not_Available,Not_Available,Not_Available,Not_Available
PROX2,7.55e-10,prospero homeobox 2,--,Missing_P_Values,Not_Available,0.953684690851015,0.04637234770705,-,0.0927,0.125643406900807,0.0234,0.702,24.9,1,0.148,globose nucleus,globose nucleus <  cerebellar nuclei  <  cerebellum  <  metencephalon  < gray matter,globose nucleus < cerebellar nuclei,Olfactory ensheathing cells,4.22036091305781,Olfactory ensheathing cells,4.28919804920121
PCDHA5,4.3e-07,protocadherin alpha 5,+-,--++,Filtered_Out,0.862988264712831,0.0468325142842921,-,0.0937,0.005902507,0.0234,0.702,25.2,1,0.168,midbrain raphe nuclei,midbrain raphe nuclei <  midbrain tegmentum  <  mesencephalon  < gray matter,midbrain raphe nuclei < midbrain tegmentum,Telencephalon projecting excitatory neurons,3.09301432512295,Telencephalon projecting excitatory neurons,3.15373800849243
ASTN2,2.19e-11,astrotactin 2,++,+-++,+-,0.0472472662810541,0.839722264291885,+,0.0945,0.0824226536700612,0.0234,0.702,25.4,1,0.744,central glial substance,central glial substance <  myelencephalon  < gray matter,central glial substance <  myelencephalon  < gray matter,Glutamatergic neuroblasts,2.84826952671517,Enteric neurons,2.52990794163297
SLC30A9,2.62e-07,solute carrier family 30 member 9,+-,-+--,--,0.988469477980669,0.048839875413808,-,0.0977,0.098996348,0.0234,0.702,26.3,1,0.345,lateral mammillary nucleus,lateral mammillary nucleus <  mammillary body  <  mammillary region  <  hypothalamus  <  diencephalon  < gray matter,lateral mammillary nucleus <  mammillary body  < mammillary region,Cholinergic and monoaminergic neurons,4.20604828764965,Cholinergic and monoaminergic neurons,2.53826229017514
ERBB4,1.29e-13,erb-b2 receptor tyrosine kinase 4,--,+--+,--,0.993981988339129,0.0493635009483058,-,0.0987,0.095065862,0.0234,0.702,26.6,1,0.894,substantia nigra pars compacta,substantia nigra pars compacta <  substantia nigra  <  midbrain tegmentum  <  mesencephalon  < gray matter,substantia nigra pars compacta < substantia nigra,Telencephalon inhibitory interneurons,4.38370811436805,Telencephalon inhibitory interneurons,4.76943202691819
PLA2R1,3.98e-07,phospholipase A2 receptor 1,-+,-+++,Filtered_Out,0.0509738138209626,0.94710346432555,+,0.102,0.05886881,0.0234,0.702,27.4,1,0.687,IV lateral hemisphere,IV lateral hemisphere <  IV  <  Anterior Lobe  <  cerebellar hemispheres  <  cerebellar cortex  <  cerebellum  <  metencephalon  < gray matter,IV lateral hemisphere <  IV  <  Anterior Lobe  <  cerebellar hemispheres  < cerebellar cortex,Vascular smooth muscle cells,4.20559977089751,Vascular smooth muscle cells,3.97582009590131
SLC44A4,7.98e-07,solute carrier family 44 member 4,-+,Not_Available,Filtered_Out,0.052931781884554,0.947125256673511,+,0.106,0.120470288613574,0.0234,0.702,28.5,1,0.863,central glial substance,central glial substance <  myelencephalon  < gray matter,central glial substance <  myelencephalon  < gray matter,Subcommissural organ hypendymal cells,5.36266914880441,Subcommissural organ hypendymal cells,5.85408230025674
SGCZ,9.76e-10,sarcoglycan zeta,--,--++,Filtered_Out,0.859069840168017,0.0553292452310551,-,0.111,0.0682251563492108,0.0234,0.702,29.8,1,0.271,ventromedial hypothalamic nucleus,ventromedial hypothalamic nucleus <  tuberal region  <  hypothalamus  <  diencephalon  < gray matter,ventromedial hypothalamic nucleus < tuberal region,Cholinergic and monoaminergic neurons,3.49288894731675,Enteric neurons,2.99594245710222
CRB1,2.5e-07,crumbs cell polarity complex component 1,--,+++-,++,0.05706919774331,0.61233358497408,+,0.114,0.001253558,0.0234,0.702,30.7,1,0.623,central glial substance,central glial substance <  myelencephalon  < gray matter,central glial substance <  myelencephalon  < gray matter,Cholinergic and monoaminergic neurons,4.97477673825537,Cholinergic and monoaminergic neurons,5.4162160540302
KDM3A,1.76e-09,lysine demethylase 3A,--,+++-,Not_Available,0.790774962829418,0.0614161852750961,-,0.123,0.0527109440608945,0.0234,0.702,33,1,0.316,globus pallidus internal segment,globus pallidus internal segment <  globus pallidus  <  basal ganglia  <  cerebral nuclei  <  telencephalon  < gray matter,globus pallidus internal segment <  globus pallidus  < basal ganglia,Ependymal cells,3.98128113265545,Ependymal cells,3.59907718503345
MYRF,1.68e-08,myelin regulatory factor,-+,++++,++,0.064204491604713,0.65461158696383,+,0.128,0.010906561,0.0234,0.702,34.5,1,0.801,corpus callosum,corpus callosum <  telencephalic commissures  <  telencephalic white matter  < white matter,corpus callosum < telencephalic commissures,Oligodendrocytes,5.5090002866212,Oligodendrocytes,6.01454099812577
PHF2,2.32e-06,PHD finger protein 2,+-,+-++,+-,0.065572432964188,0.724690953340611,+,0.131,0.001404682,0.0234,0.702,35.3,1,0.125,central glial substance,central glial substance <  myelencephalon  < gray matter,central glial substance <  myelencephalon  < gray matter,Cholinergic and monoaminergic neurons,2.84681986991091,Enteric neurons,3.35069240040798
ITPR3,1.55e-06,"inositol 1,4,5-trisphosphate receptor type 3",++,+-++,Filtered_Out,0.067161714304874,0.878391194413352,+,0.134,0.053712766,0.0234,0.702,36.1,1,0.733,supraoptic nucleus,supraoptic nucleus <  anterior hypothalamic region  <  hypothalamus  <  diencephalon  < gray matter,supraoptic nucleus < anterior hypothalamic region,Satellite glia,3.93754857362934,Satellite glia,4.27437577594778
MICB,2.62e-07,MHC class I polypeptide-related sequence B,-+,-++-,Filtered_Out,0.0675722909303851,0.861004345819486,+,0.135,0.0750966929648062,0.0234,0.702,36.4,1,0.774,dentate gyrus,dentate gyrus <  hippocampal formation  <  limbic lobe  <  cerebral cortex  <  telencephalon  < gray matter,dentate gyrus <  hippocampal formation  < limbic lobe,Pericytes,3.40195572479199,Sympathetic noradrenergic neurons,4.63295825716416
TRMT10C,1.08e-07,"tRNA methyltransferase 10C, mitochondrial RNase P subunit",-+,-+--,-+,0.868234294193205,0.0720698541248064,-,0.144,0.01617191,0.0234,0.702,38.8,1,0.618,subthalamic nucleus,subthalamic nucleus <  subthalamus  <  diencephalon  < gray matter,subthalamic nucleus < subthalamus,Schwann cells,2.50977744130317,Sympathetic noradrenergic neurons,3.92726443641264
KMT2A,1.28e-07,lysine methyltransferase 2A,--,+-++,++,0.0746775467369918,0.945652181506015,+,0.149,0.047283708,0.0234,0.702,40.2,1,0.42,VIIIB lateral hemisphere,VIIIB lateral hemisphere <  VIIIB  <  Posterior Lobe  <  cerebellar hemispheres  <  cerebellar cortex  <  cerebellum  <  metencephalon  < gray matter,VIIIB lateral hemisphere <  VIIIB  <  Posterior Lobe  <  cerebellar hemispheres  < cerebellar cortex,Cholinergic and monoaminergic neurons,3.78730180389794,Cholinergic and monoaminergic neurons,3.17745070473879
ZDHHC21,7.5e-09,zinc finger DHHC-type containing 21,+-,-+--,--,0.988009783592859,0.0768366125755266,-,0.154,0.149253341609399,0.0234,0.702,41.3,1,0.752,Not_Available,Not_Available,Not_Available,Not_Available,Not_Available,Not_Available,Not_Available
FH,1.47e-06,fumarate hydratase,+-,-+--,--,0.953138909160371,0.0798378426930259,-,0.16,0.030791292,0.0234,0.702,43,1,0.609,dentate gyrus,dentate gyrus <  hippocampal formation  <  limbic lobe  <  cerebral cortex  <  telencephalon  < gray matter,dentate gyrus <  hippocampal formation  < limbic lobe,Hindbrain neurons,2.1607250056768,Sympathetic cholinergic neurons,3.39436911319744
LPIN3,1.01e-06,lipin 3,-+,++++,Filtered_Out,0.0822705999069671,0.990134637425679,+,0.165,0.129702510027764,0.0234,0.702,44.3,1,0.0659,oculomotor nuclear complex,oculomotor nuclear complex <  midbrain tegmentum  <  mesencephalon  < gray matter,oculomotor nuclear complex < midbrain tegmentum,Vascular and leptomeningeal cells,4.95893978803052,Vascular and leptomeningeal cells,5.39737143526353
SLC4A9,2.66e-06,solute carrier family 4 member 9,-+,++++,Filtered_Out,0.0847303451368911,0.642907062280696,+,0.169,0.074527071,0.0234,0.702,45.6,1,0.393,principal sensory nucleus of trigeminal nerve,principal sensory nucleus of trigeminal nerve <  trigeminal nuclei  <  pontine tegmentum  <  pons  <  metencephalon  < gray matter,principal sensory nucleus of trigeminal nerve <  trigeminal nuclei  < pontine tegmentum,Hindbrain neurons,4.39906864973554,Hindbrain neurons,4.77984052043041
NRD1,2.66e-08,nardilysin convertase,+-,++++,++,0.0877940777374676,0.792765188045592,+,0.176,0.056802903,0.0234,0.702,47.2,1,Not_Available,Not_Available,Not_Available,Not_Available,Not_Available,Not_Available,Not_Available,Not_Available
SAMD5,1.21e-08,sterile alpha motif domain containing 5,-+,--++,++,0.0879185878481386,0.941674528106518,+,0.176,0.031488945,0.0234,0.702,47.3,1,0.882,locus ceruleus,locus ceruleus <  pontine tegmentum  <  pons  <  metencephalon  < gray matter,locus ceruleus < pontine tegmentum,Di- and mesencephalon inhibitory neurons,2.31663627794291,Enteric neurons,3.41099224324459
HSPE1-MOB4,2.29e-07,HSPE1-MOB4 readthrough,++,Not_Available,Not_Available,0.0897216518366416,0.910335386721424,+,0.179,0.185360617541174,0.0234,0.702,48.3,1,Not_Available,medial mammillary nucleus,medial mammillary nucleus <  mammillary body  <  mammillary region  <  hypothalamus  <  diencephalon  < gray matter,medial mammillary nucleus <  mammillary body  < mammillary region,Not_Available,Not_Available,Not_Available,Not_Available
TCAIM,1.4e-07,"T cell activation inhibitor, mitochondrial",+-,-+++,+-,0.899067202482897,0.0908623953444817,-,0.182,0.0508454518547142,0.0234,0.702,48.9,1,0.608,III paravermis,III paravermis <  III  <  Anterior Lobe  <  cerebellar hemispheres  <  cerebellar cortex  <  cerebellum  <  metencephalon  < gray matter,III paravermis <  III  <  Anterior Lobe  <  cerebellar hemispheres  < cerebellar cortex,Cholinergic and monoaminergic neurons,4.40168938019485,Peripheral sensory neurofilament neurons,3.06888058391449
ITGB6,2.03e-06,integrin subunit beta 6,++,Missing_P_Values,Filtered_Out,0.0922883869495779,0.907768651608487,+,0.185,0.190853416709858,0.0234,0.702,49.7,1,0.971,bed nucleus of stria terminalis,bed nucleus of stria terminalis <  substantia innominata  <  basal forebrain  <  cerebral nuclei  <  telencephalon  < gray matter,bed nucleus of stria terminalis <  substantia innominata  < basal forebrain,Choroid epithelial cells,5.16795646015945,Enteric neurons,5.12420563011828
FAM120A,3.67e-08,family with sequence similarity 120A,+-,--++,--,0.986491783011916,0.0930656645675472,-,0.186,0.043095599,0.0234,0.702,50.1,1,0.649,inferior olivary complex,inferior olivary complex <  myelencephalon  < gray matter,inferior olivary complex <  myelencephalon  < gray matter,Cholinergic and monoaminergic neurons,3.35098614265464,Enteric neurons,2.57443704514341
BTN2A1,6.69e-12,butyrophilin subfamily 2 member A1,+-,+++-,--,0.923052750618555,0.0949225351329885,-,0.19,0.007663015,0.0234,0.702,51.1,1,0.42,VIIIB lateral hemisphere,VIIIB lateral hemisphere <  VIIIB  <  Posterior Lobe  <  cerebellar hemispheres  <  cerebellar cortex  <  cerebellum  <  metencephalon  < gray matter,VIIIB lateral hemisphere <  VIIIB  <  Posterior Lobe  <  cerebellar hemispheres  < cerebellar cortex,Not_Available,Not_Available,Not_Available,Not_Available
MEGF11,1.78e-10,multiple EGF like domains 11,+-,+++-,Filtered_Out,0.853596226323785,0.0955229841208108,-,0.191,0.016479933,0.0234,0.702,51.4,1,0.84,lateral mammillary nucleus,lateral mammillary nucleus <  mammillary body  <  mammillary region  <  hypothalamus  <  diencephalon  < gray matter,lateral mammillary nucleus <  mammillary body  < mammillary region,Oligodendrocyte precursor cells,2.9008516052024,Oligodendrocyte precursor cells,3.17340914325478
TCF4,4.55e-16,transcription factor 4,-+,+---,++,0.0959498813048209,0.424056881466189,+,0.192,0.004359551,0.0234,0.702,51.6,1,0.968,VIIB,VIIB <  posterior lobe of the vermis  <  vermis  <  cerebellar cortex  <  cerebellum  <  metencephalon  < gray matter,VIIB <  posterior lobe of the vermis  <  vermis  < cerebellar cortex,Telencephalon inhibitory interneurons,4.0084051754747,Telencephalon inhibitory interneurons,3.77388307459323
IGSF6,1.56e-09,immunoglobulin superfamily member 6,-+,-+++,Filtered_Out,0.0963088887054553,0.960979605556189,+,0.193,0.12964726302045,0.0234,0.702,51.8,1,0.904,substantia nigra pars reticulata,substantia nigra pars reticulata <  substantia nigra  <  midbrain tegmentum  <  mesencephalon  < gray matter,substantia nigra pars reticulata < substantia nigra,Perivascular macrophages,5.21106831203813,Perivascular macrophages,5.69320947447033
MOB4,6.09e-07,"MOB family member 4, phocein",+-,-+--,Not_Available,0.893958467006458,0.0977381965253245,-,0.195,0.166643782,0.0234,0.702,52.6,1,Not_Available,medial geniculate complex,medial geniculate complex <  dorsal thalamus  <  thalamus  <  diencephalon  < gray matter,medial geniculate complex < dorsal thalamus,Cholinergic and monoaminergic neurons,3.75319945850413,Sympathetic noradrenergic neurons,2.82015204088842
MAP9,7.15e-07,microtubule associated protein 9,+-,-+--,++,0.895952698516601,0.100709998480416,-,0.201,0.062432235,0.0234,0.702,54.2,1,0.931,medial mammillary nucleus,medial mammillary nucleus <  mammillary body  <  mammillary region  <  hypothalamus  <  diencephalon  < gray matter,medial mammillary nucleus <  mammillary body  < mammillary region,Cholinergic and monoaminergic neurons,3.44191335187268,Cholinergic and monoaminergic neurons,2.81388160029267
SORBS3,4.46e-08,sorbin and SH3 domain containing 3,++,+-++,++,0.100970136317415,0.914493429756382,+,0.202,0.092673315,0.0234,0.702,54.3,1,0.407,cuneate nucleus,cuneate nucleus <  myelencephalon  < gray matter,cuneate nucleus <  myelencephalon  < gray matter,Choroid epithelial cells,2.44984791056423,Choroid epithelial cells,2.69134398604954
NICN1,5.99e-07,nicolin 1,--,--+-,--,0.906523851004129,0.101269508346354,-,0.203,0.016099719,0.0234,0.702,54.5,1,0.231,fusiform gyrus bank of cos,fusiform gyrus bank of cos <  fusiform gyrus  <  temporal lobe  <  cerebral cortex  <  telencephalon  < gray matter,fusiform gyrus bank of cos <  fusiform gyrus  < temporal lobe,Cholinergic and monoaminergic neurons,3.71992601052375,Sympathetic noradrenergic neurons,2.48723259765726
LRP1B,2.73e-09,LDL receptor related protein 1B,+-,---+,-+,0.852877809004734,0.104547059460465,-,0.209,0.081677154,0.0234,0.702,56.2,1,0.865,parolfactory gyri,parolfactory gyri <  frontal lobe  <  cerebral cortex  <  telencephalon  < gray matter,parolfactory gyri < frontal lobe,Dentate gyrus granule neurons,2.87143582823708,Dentate gyrus granule neurons,3.14664401885536
CDK14,2.93e-07,cyclin dependent kinase 14,+-,-+--,--,0.983865186536659,0.106092754311678,-,0.212,0.076106726,0.0234,0.702,57.1,1,0.772,CA4 field,CA4 field <  hippocampal formation  <  limbic lobe  <  cerebral cortex  <  telencephalon  < gray matter,CA4 field <  hippocampal formation  < limbic lobe,Cholinergic and monoaminergic neurons,3.61532643878443,Cholinergic and monoaminergic neurons,3.23817115049914
ZDHHC5,3.47e-08,zinc finger DHHC-type containing 5,+-,--++,--,0.986399315111739,0.1107457307733,-,0.221,0.101909476,0.0234,0.702,59.6,1,0.262,Not_Available,Not_Available,Not_Available,Not_Available,Not_Available,Not_Available,Not_Available
SCAI,1.19e-07,suppressor of cancer cell invasion,+-,--+-,Not_Available,0.968359403295342,0.111380166399207,-,0.223,0.102441871,0.0234,0.702,59.9,1,0.677,cuneus striate,cuneus striate <  cuneus  <  occipital lobe  <  cerebral cortex  <  telencephalon  < gray matter,cuneus striate <  cuneus  < occipital lobe,Cholinergic and monoaminergic neurons,2.94660481436602,Cholinergic and monoaminergic neurons,3.17519641074897
DCDC5,2.49e-09,doublecortin domain containing 1,-+,+++-,Filtered_Out,0.113641201420707,0.739613010821497,+,0.227,0.052293358,0.0234,0.702,61.1,1,0.306,Not_Available,Not_Available,Not_Available,Not_Available,Not_Available,Not_Available,Not_Available
DCDC1,7.46e-09,doublecortin domain containing 1,-+,+++-,Filtered_Out,0.113641201420707,0.739613010821497,+,0.227,0.052293358,0.0234,0.702,61.1,1,Not_Available,central glial substance,central glial substance <  myelencephalon  < gray matter,central glial substance <  myelencephalon  < gray matter,Not_Available,Not_Available,Not_Available,Not_Available
IQCJ-SCHIP1,1.37e-07,IQCJ-SCHIP1 readthrough,+-,+-+-,Not_Available,0.803310266580806,0.115033668572464,-,0.23,0.127269079028808,0.0234,0.702,61.9,1,Not_Available,CA3 field,CA3 field <  hippocampal formation  <  limbic lobe  <  cerebral cortex  <  telencephalon  < gray matter,CA3 field <  hippocampal formation  < limbic lobe,Not_Available,Not_Available,Not_Available,Not_Available
LST1,5.42e-09,leukocyte specific transcript 1,-+,++++,-+,0.118144004211973,0.676612748447547,+,0.236,0.025867041,0.0234,0.702,63.6,1,0.765,substantia nigra pars reticulata,substantia nigra pars reticulata <  substantia nigra  <  midbrain tegmentum  <  mesencephalon  < gray matter,substantia nigra pars reticulata < substantia nigra,Not_Available,Not_Available,Not_Available,Not_Available
METTL9,1.74e-10,methyltransferase like 9,+-,-+++,++,0.12115206997429,0.78344354224334,+,0.242,0.031269101,0.0234,0.702,65.2,1,0.218,body of caudate nucleus,body of caudate nucleus <  body of the caudate nucleus  <  caudate nucleus  <  striatum  <  basal ganglia  <  cerebral nuclei  <  telencephalon  < gray matter,body of the caudate nucleus  <  caudate nucleus  <  striatum  < basal ganglia,Schwann cells,3.2002380803631,Schwann cells,3.07976530243268
